GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Air Fuel Ratio(Commanded)(:1),Alcohol Fuel Percentage(%),Android device Battery Level(%),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel trim Bank 1 Sensor 2(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Positive Kinetic Energy (PKE)(km/hr²),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Wed Feb 15 06:39:58 GMT-03:00 2023,15-Feb-2023 06:40:01.139,-35.22080840921127,-5.8201288154349715,1.0631788969039917,8.0,41.30419644930941,283.264404296875,0.06,5.57,7.89,0,14.12,-0.01,0.03,0.03,-0.02,19.22,7.45,14.7,99.61,43,5.5,1.29,1007.36,14.5,609.7,1,-,-,479.58,7523,0,55,1.41,41.96,35.69,862,99.61,0.02,1.86,30.94,59.22,0.78,4.69,4.69,-,0.01,8,41.3,283.26,-5.82,-35.22,23,1.3,1.9,33,2.69,12.46,8.03,5.08,7.61,35.2,0.8,0.8,17.25,0,82.75,0,4.31,230,3.83,3,14.9,-1.5,15.25,5.96,16.78,16.83,0.01,588.05,25.15,7.5,17.65,-9.01,14.14,14.1,34
Wed Feb 15 06:39:59 GMT-03:00 2023,15-Feb-2023 06:40:02.136,-35.22081728195722,-5.82011863067743,0.8551619052886963,8.0,41.53797962849159,317.3058776855469,0.53,5.69,7.99,0.02,14.12,0,0.04,0.04,-0.02,19.22,9.8,14.7,99.61,43,5,1.39,1007.36,14.5,609.7,1,-,-,473.22,7523,0,55,-,40.78,35.29,1040.5,99.61,0.02,2.12,35.33,58.43,0.78,-0.78,4.69,-,0.01,8,41.54,317.31,-5.82,-35.22,20,0.08,-,33,1.42,12.46,8.03,5.8,4,35.2,0.8,0.8,16.55,0,83.45,0,4.31,233,3.08,3,14.9,-1.5,-,5.66,17.68,15.98,0.01,588.05,26.21,8.56,17.65,-8.05,14.14,14.1,37
Wed Feb 15 06:40:00 GMT-03:00 2023,15-Feb-2023 06:40:03.135,-35.22082344305452,-5.820108584657019,1.0000789165496826,8.0,41.64936499458397,331.17626953125,0.12,5.38,7.82,-0.01,14.12,-0.03,0.03,0.01,-0.02,14.9,7.45,14.7,99.61,43,4.67,1.47,1007.32,14.5,610.4,1,-,-,473.22,7523,0,55,-,41.96,34.51,857,99.61,0.02,1.71,28.57,58.43,0.78,-0.78,-1.56,-,0.01,8,41.65,331.18,-5.82,-35.22,22,0.6,-,32,1.75,12.46,8.03,4.69,4.94,35.2,0.76,0.88,15.96,0,84.04,0,4.31,234,3.6,3,14.9,-2.5,-,5.41,18.48,15.29,0.01,588.05,27.19,9.54,17.65,-10.2,14.12,14.2,35
Wed Feb 15 06:40:01 GMT-03:00 2023,15-Feb-2023 06:40:04.134,-35.22082683550753,-5.820096095764175,1.3521541357040405,8.0,41.41298565283955,331.8638000488281,-0.07,6.77,7.57,0.05,18.04,0.03,0.01,0.15,-0.05,26.27,13.73,14.7,99.61,43,4.43,1.55,1007.34,14.5,610.4,1,-,-,473.21,7523,0,55,-,56.08,48.24,1257.5,99.61,0.02,3.43,57.13,58.43,1.56,-2.34,1.56,-,0.01,8,41.41,331.86,-5.82,-35.22,24,1.87,-,32,0.88,12.46,8.03,9.38,2.47,35.19,0.1,0.87,15.42,0,84.58,0,8.24,235,4.87,3,14.51,-1,-,5.14,19.44,14.53,0.01,588.05,28.14,10.49,17.65,-4.04,14.26,14.2,44
Wed Feb 15 06:40:02 GMT-03:00 2023,15-Feb-2023 06:40:05.135,-35.220822900369875,-5.820080631632773,1.4919065237045288,8.0,40.96241968609851,348.91998291015625,1.63,6.85,7.49,0.07,18.43,-0.02,0.09,0.13,-0.11,31.37,16.08,14.7,99.61,43,4.43,1.55,1007.31,14.5,610.4,1,-,-,454.15,7523,0,55,-,56.08,53.73,1663.5,99.61,0.02,5.4,89.97,56.08,1.56,-2.34,0.78,-,0.02,8,40.96,348.92,-5.82,-35.22,20,1.87,-,32,0.56,12.46,8.03,14.77,1.57,35.19,0.09,0.86,14.87,0,85.13,0,8.63,236,5.37,3,18.43,18,-,4.89,20.45,13.81,0.01,588.05,29.17,11.52,17.65,-3.28,14.24,14.7,52
Wed Feb 15 06:40:03 GMT-03:00 2023,15-Feb-2023 06:40:06.135,-35.2208260321324,-5.8200577317458055,2.312023878097534,8.0,40.73337249936384,358.0002136230469,0.72,6.88,7.28,0.04,21.57,0.02,0.09,0.17,-0.08,27.45,14.12,14.7,99.61,43,4.75,1.81,1007.32,14.5,609,1,-,-,454.15,7523,0,55,1.42,64.71,56.86,1663.5,99.61,0.02,5.4,89.97,56.08,1.56,7.03,8.59,-,0.02,8,40.73,358,-5.82,-35.22,22,1.63,1.91,32,0.56,12.46,8.03,14.77,1.57,35.19,0.23,0.81,17.74,0,82.26,984.3,11.76,236,8.32,7,21.57,19.5,8.17,4.89,20.45,13.81,0.01,588.05,30.18,12.53,17.65,-3.28,14.28,14.8,52
Wed Feb 15 06:40:04 GMT-03:00 2023,15-Feb-2023 06:40:07.135,-35.22082577449832,-5.8200289381267085,3.2154829502105713,8.0,40.44700884460638,11.437488555908203,-0.87,6.32,6.44,-0.06,21.57,0.07,-0.12,0.09,0.03,27.45,14.12,14.7,99.61,43,5.56,2.27,1007.29,14.5,609,1,-,-,444.62,7523,0,56,4.83,50.98,56.86,1745.5,99.61,0.02,4.54,75.59,54.9,1.56,-0.78,-2.34,-,0.02,8,40.45,11.44,-5.82,-35.22,20,3.68,6.48,32,1.54,12.46,8.03,12.41,4.36,35.19,0.78,0.78,20.17,0,79.83,1783.97,11.76,237,11.58,12,17.25,22.5,26.44,4.71,21.22,13.31,0.01,588.06,31.1,13.45,17.65,-7.37,14.26,14.7,51
Wed Feb 15 06:40:05 GMT-03:00 2023,15-Feb-2023 06:40:08.135,-35.220804611935336,-5.819991304063131,3.4937329292297363,8.0,39.614291033088044,15.928939819335938,-0.5,5.59,9.4,0.13,15.69,0.11,-0.02,0.03,0.13,17.65,9.02,14.7,99.61,43,6.1,2.65,1007.33,14.5,607.5,1,-,-,438.26,7523,0,56,4.83,24.31,28.24,1281,99.61,0.02,1.48,24.67,54.12,1.56,-7.81,-2.34,-,0.02,8,39.61,15.93,-5.82,-35.22,24,1.58,6.48,32,8.11,12.46,8.03,4.05,22.9,35.19,0.78,0.78,22.79,0,77.21,1254.8,5.88,239,12.58,11,17.25,-4.5,26.44,4.88,20.48,13.79,0.02,588.06,32.16,14.51,17.65,-12.29,14.26,14.7,42
Wed Feb 15 06:40:06 GMT-03:00 2023,15-Feb-2023 06:40:09.135,-35.22078841646954,-5.8199607221682905,2.957974433898926,8.0,39.160995126301344,24.243310928344727,0.53,7.39,7.52,0.09,18.43,0.02,0.01,0.11,-0.03,24.71,12.94,14.7,99.61,43,6.1,2.65,1007.3,14.5,607,1,-,-,438.26,7523,0,56,4.83,24.31,36.86,1281,99.61,0.02,1.48,24.67,54.12,0,-7.81,-8.59,-,0.02,8,39.16,24.24,-5.82,-35.22,26,1.58,6.48,32,8.11,12.46,8.03,4.05,22.9,35.19,0.88,0.86,25.18,0,74.82,1254.8,8.63,240,10.65,11,12.94,-4.5,26.44,4.88,20.48,13.79,0.02,588.06,33.19,15.53,17.65,-12.29,14.28,14.8,42
Wed Feb 15 06:40:07 GMT-03:00 2023,15-Feb-2023 06:40:10.135,-35.22077337531423,-5.819935423432282,2.993743896484375,8.0,38.8819726356474,25.634700775146484,-1.02,4.58,8.55,0.01,18.43,0,-0.07,-0.06,0.04,24.71,12.94,14.7,99.61,43,6.45,2.96,1007.28,14.5,607,1,-,-,438.26,7523,0,56,4.83,39.22,36.86,1540.5,99.61,0.03,3.41,56.83,54.12,1.56,-4.69,-3.91,-,0.02,8,38.88,25.63,-5.82,-35.22,24,0.65,6.48,33,3.23,12.46,8.03,9.33,9.11,35.19,0.08,0.85,26.98,0,73.02,996.45,8.63,240,10.78,10,16.47,23,26.44,4.8,20.82,13.57,0.02,588.07,34,16.35,17.65,-7.54,14.3,14.8,43
