GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Air Fuel Ratio(Commanded)(:1),Alcohol Fuel Percentage(%),Android device Battery Level(%),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel trim Bank 1 Sensor 2(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Positive Kinetic Energy (PKE)(km/hr²),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Fri Feb 24 06:41:52 GMT-03:00 2023,24-Feb-2023 06:41:52.548,-35.220821247557105,-5.820076212999812,1.856016755104065,8.0,45.95393671831884,338.1085205078125,0.28,7.36,8.42,0.09,18.04,0.08,0,0.15,-0.01,28.63,14.51,14.7,99.61,77,6.14,5.38,1009.56,14.5,525.2,1,-,-,679.43,7852,0,45,0.37,49.02,42.75,1415.5,99.61,0.01,3.25,54.09,82.75,-2.34,1.56,3.91,-,0.01,8,45.95,338.11,-5.82,-35.22,16,0.67,0.5,30,1.23,12.46,8.03,8.88,3.48,35.18,0.11,0.46,29.3,0,70.7,2356.29,8.24,124,6.68,5,17.65,20,2.52,3.01,33.22,8.5,0.01,642.56,15.64,9.98,5.66,-5.07,14.28,14.7,42
Fri Feb 24 06:41:53 GMT-03:00 2023,24-Feb-2023 06:41:53.547,-35.22082323867405,-5.820061511949963,2.320216417312622,8.0,45.42823786990973,359.03497314453125,0.98,6,7.39,-0.03,20,-0.07,-0.01,0.19,-0.27,28.63,14.12,14.7,99.61,77,6.27,5.53,1009.54,14.5,527.6,1,-,-,669.9,7852,0,45,1.95,51.76,48.63,1599,99.61,0.01,3.88,64.63,82.75,-2.34,9.38,10.16,-,0.01,8,45.43,359.03,-5.82,-35.22,14,1.32,2.61,30,1.29,12.45,8.03,10.61,3.64,35.18,0.12,0.47,32.6,0,67.4,2599.8,9.8,124,8.35,8,19.22,21,11.64,2.8,35.77,7.9,0.01,642.56,16.64,10.98,5.66,-7.39,14.3,14.7,43
Fri Feb 24 06:41:54 GMT-03:00 2023,24-Feb-2023 06:41:54.547,-35.22082161181411,-5.820040226097895,2.8893837928771973,8.0,45.53359554845357,14.635490417480469,0.8,8.36,6.88,0.1,20,-0.02,-0.04,-0.04,-0.01,28.63,14.12,14.7,99.61,77,6.62,5.89,1009.47,14.5,527.6,1,-,-,666.72,7852,0,45,4.12,50.59,48.63,1893.5,99.61,0.01,5.05,84.24,82.35,-2.34,6.25,3.12,-,0.01,8,45.53,14.64,-5.82,-35.22,18,3.65,5.52,30,1.58,12.45,8.03,13.83,4.47,35.18,0.81,0.5,36.37,0,63.63,2822.15,9.8,125,10.4,12,19.61,21.5,20.77,2.66,37.58,7.52,0.01,642.57,17.62,11.97,5.66,-6.29,14.22,14.7,46
Fri Feb 24 06:41:55 GMT-03:00 2023,24-Feb-2023 06:41:55.547,-35.22081313517366,-5.8200121713558834,3.8661768436431885,8.0,45.466935505618586,15.970074653625488,-0.37,5.8,8.83,0.07,18.82,-0.03,0.05,0.13,-0.15,25.49,12.94,14.7,99.61,77,7.06,6.32,1009.48,14.5,530.1,1,-,-,657.19,7852,0,45,1.97,50.59,42.75,1828.5,99.61,0.02,4.65,77.48,81.18,-2.34,6.25,3.12,-,0.01,8,45.47,15.97,-5.82,-35.22,17,0.08,2.65,30,2.58,12.45,8.03,12.72,7.29,35.18,0.81,0.5,39.82,0,60.18,2735.11,9.02,127,13.92,14,19.61,21.5,10.3,2.65,37.7,7.49,0.02,642.57,18.63,12.98,5.66,-8.13,14.22,14.8,46
Fri Feb 24 06:41:56 GMT-03:00 2023,24-Feb-2023 06:41:56.547,-35.22080011560955,-5.819976766161694,4.720093727111816,8.0,45.44729948184238,20.4676456451416,-1.13,6.18,7.76,0.01,19.22,0.01,-0.11,0.12,-0.08,25.1,12.94,14.7,99.61,77,7.06,6.32,1009.52,14.5,531.7,1,-,-,657.19,7852,0,45,1.97,48.63,43.92,1828.5,99.61,0.02,4.65,77.48,81.18,-2.34,4.69,3.12,-,0.01,8,45.45,20.47,-5.82,-35.22,19,0.08,2.65,30,2.58,12.45,8.03,12.72,7.29,35.18,0.75,0.56,42.81,0,57.19,2735.11,9.41,127,16.99,14,19.22,22.5,10.3,2.65,37.7,7.49,0.02,642.57,19.61,13.95,5.66,-8.13,14.26,14.4,46
Fri Feb 24 06:41:57 GMT-03:00 2023,24-Feb-2023 06:41:57.547,-35.22078134771199,-5.819936174399313,5.034392356872559,8.0,45.39928599815993,22.897554397583008,-1.66,4.55,9.13,0.04,19.22,-0.05,-0.15,0.02,-0.11,25.1,12.94,14.7,99.61,77,7.61,6.85,1009.49,14.5,533.1,1,965.96,965.96,657.18,7852,0,45,4,52.94,43.92,1871.5,99.61,0.02,5.11,85.21,81.18,-2.34,4.69,2.34,-,0.01,8,45.4,22.9,-5.82,-35.22,21,0.01,5.36,30,2.74,12.45,8.03,13.99,7.73,35.18,0.78,0.64,45.67,0,54.33,2766.54,7.84,128,18.12,17,19.22,21,20.4,2.66,37.59,7.52,0.02,642.58,20.64,14.98,5.66,-7.24,14.26,14.4,47
Fri Feb 24 06:41:58 GMT-03:00 2023,24-Feb-2023 06:41:58.548,-35.22076161056059,-5.819892589295079,4.746822357177734,8.0,44.94698783070494,22.8933162689209,-1.36,5.5,10.13,0.17,18.04,0.18,-0.14,0.05,0.15,20.39,10.59,14.7,99.61,77,8.11,7.33,1009.42,14.5,533.1,1,685.69,405.42,654,7852,0,45,4,36.08,39.61,1482.5,99.61,0.02,2.61,43.43,80.78,-2.34,-3.12,-4.69,-,0.01,8,44.95,22.89,-5.82,-35.22,20,1.12,5.36,30,6.52,12.45,8.03,7.13,18.43,35.18,0.88,0.64,48.16,0,51.84,2211.96,7.84,130,17.09,17,15.69,3.5,20.4,2.98,33.53,8.42,0.03,642.58,21.63,15.97,5.66,-10.89,14.16,14.4,41
Fri Feb 24 06:41:59 GMT-03:00 2023,24-Feb-2023 06:41:59.549,-35.22074526937192,-5.81984894999551,4.559811115264893,8.0,44.14985325909735,22.317333221435547,0.5,4.21,9.48,0.05,14.12,0.04,-0.02,0,0.04,14.9,7.45,14.7,99.61,77,8.11,7.33,1009.44,14.5,533.9,1,533.32,228.58,653.99,7852,0,45,4,36.08,28.24,1006,99.61,0.02,1.47,24.49,80.78,-3.12,-3.12,-4.69,-,0.02,8,44.15,22.32,-5.82,-35.22,23,1.12,5.36,30,11.57,12.45,8.03,4.02,32.69,35.18,0.88,0.76,50.43,0,49.57,2211.96,4.71,131,16.42,17,15.69,3.5,20.4,3.64,27.45,10.29,0.03,642.58,22.62,16.97,5.66,-11.93,14.16,14.4,35
Fri Feb 24 06:42:00 GMT-03:00 2023,24-Feb-2023 06:42:00.546,-35.220724925089534,-5.819812503225521,3.9554436206817627,8.0,43.62423704511928,23.709720611572266,1.73,6.12,6.83,-0.06,17.25,-0.04,0.17,0.11,-0.17,23.14,12.16,14.7,99.61,77,8.4,7.64,1009.4,14.5,534.6,1,533.32,228.58,653.99,7852,0,45,4,29.41,37.25,1006,99.61,0.02,1.47,24.49,80.78,-3.12,-7.81,-9.38,-,0.02,8,43.62,23.71,-5.82,-35.22,27,2.42,5.36,30,11.57,12.45,8.03,4.02,32.69,35.18,0.91,0.85,52.47,0,47.53,1861.99,7.45,131,14.24,14,14.12,3,20.4,3.64,27.45,10.29,0.04,642.59,23.59,17.94,5.66,-11.93,14.26,14.7,35
Fri Feb 24 06:42:01 GMT-03:00 2023,24-Feb-2023 06:42:01.547,-35.220703402182224,-5.819780685345036,3.681387424468994,8.0,44.12709879736341,33.71728515625,0.39,4.05,10.06,0.1,17.25,0.08,-0.13,-0.07,0.11,23.14,12.16,14.7,99.61,77,8.62,7.87,1009.37,14.5,534.6,1,531.7,526.82,657.17,7852,0,45,-,38.04,37.25,1431.5,99.61,0.02,2.79,46.47,81.18,-3.12,-7.03,-9.38,-,0.02,8,44.13,33.72,-5.82,-35.22,26,1.24,-,30,5.02,12.45,8.03,7.63,14.18,35.18,0.83,0.85,54.24,0,45.76,1735.47,7.45,132,13.25,13,15.69,1.5,-,3.74,26.73,10.57,0.04,642.59,24.51,18.85,5.66,-7.3,14.2,14.7,38
