GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Air Fuel Ratio(Commanded)(:1),Alcohol Fuel Percentage(%),Android device Battery Level(%),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel trim Bank 1 Sensor 2(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Positive Kinetic Energy (PKE)(km/hr²),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Mon Feb 27 06:41:51 GMT-03:00 2023,27-Feb-2023 06:41:54.523,-35.22064856667662,-5.820200230630686,0.0,12.0,46.08459102366871,227.3913116455078,-0.38,5.11,8.63,0.02,14.12,0.02,0,0.04,0,14.9,7.45,14.7,99.61,93,4.12,0.85,1010.91,14.5,598.1,1,-,-,734.94,8395,0,53,-,42.75,36.08,760.5,99.61,0.03,1.63,27.23,89.41,-2.34,-3.12,-3.91,-,0.02,12,46.08,227.39,-5.82,-35.22,16,0,-,32,0,12.65,7.91,4.47,0,35.72,0.71,0.76,6.14,0,93.86,1032.28,4.31,193,0,0,14.12,-1.5,-,1.85,54.08,5.22,0.01,1103.99,34.74,9.47,25.27,-9.05,14.22,14.8,36
Mon Feb 27 06:41:52 GMT-03:00 2023,27-Feb-2023 06:41:55.524,-35.22064856667662,-5.820200230630686,0.0,12.0,45.983350245489035,227.3913116455078,-0.57,5.4,8.36,0.01,12.94,-0.01,0,0.06,-0.06,14.9,7.45,14.7,99.61,93,4,0.9,1010.91,14.5,598.1,1,-,-,734.94,8395,0,53,0.49,32.94,27.84,776,99.61,0.03,1.2,19.92,89.41,-2.34,-6.25,-3.91,-,0.02,12,45.98,227.39,-5.82,-35.22,17,3,0.65,32,0,12.65,7.91,3.27,0,35.72,0.71,0.76,5.94,0,94.06,1474.68,3.14,195,0,3,14.12,-1.5,6.01,1.85,54.16,5.22,0.01,1103.99,35.95,9.64,26.31,-10.39,14.22,14.8,34
Mon Feb 27 06:41:53 GMT-03:00 2023,27-Feb-2023 06:41:56.522,-35.22064856667662,-5.820200230630686,0.0,12.0,46.232399616871575,227.3913116455078,0.36,5.21,8.12,-0.02,13.73,-0.01,0.08,0.05,-0.06,14.9,7.45,14.7,99.61,93,4,0.98,1010.93,14.5,599.1,1,-,-,734.94,8395,0,53,0.39,32.94,29.02,818.5,99.61,0.03,1.48,24.67,89.41,-3.12,-6.25,-5.47,-,0.02,12,46.23,227.39,-5.82,-35.22,16,4,0.53,32,2.03,12.65,7.91,4.05,5.73,35.72,0.08,0.75,5.78,0,94.22,1783.53,3.92,196,0,4,13.73,6,4.59,1.85,54,5.23,0.01,1103.99,36.92,10.61,26.31,-9.52,14.26,14.8,34
Mon Feb 27 06:41:54 GMT-03:00 2023,27-Feb-2023 06:41:57.524,-35.22065788543184,-5.820200344367576,0.5335865616798401,12.0,46.20164206564841,248.173583984375,-0.03,5,8.86,0.03,13.73,0.03,0.01,0.03,0.01,14.9,7.45,14.7,99.61,93,4,1.05,1010.92,14.5,599.1,1,-,-,734.93,8395,0,53,0.39,34.9,30.2,892,99.61,0.03,1.54,25.7,89.41,-2.34,-3.12,-2.34,-,0.02,12,46.2,248.17,-5.82,-35.22,17,2.08,0.53,32,2.59,12.65,7.91,4.22,7.33,35.72,0.06,0.75,5.62,0,94.38,1559.48,3.92,197,1.92,4,14.12,11,4.59,1.87,53.35,5.29,0.01,1103.99,37.94,11.63,26.31,-9.58,14.26,14.1,34
Mon Feb 27 06:41:55 GMT-03:00 2023,27-Feb-2023 06:41:58.523,-35.220669070598774,-5.820202005646748,0.5155007839202881,12.0,45.86940032112434,272.1886291503906,-0.1,5.55,7.85,-0.03,13.73,-0.02,0.01,0.09,-0.09,14.9,7.45,14.7,99.61,93,4,1.05,1010.95,14.5,599.1,1,-,-,734.93,8395,0,53,0.39,35.69,30.2,892,99.61,0.03,1.54,25.7,89.41,-2.34,0,0.78,-,0.02,12,45.87,272.19,-5.82,-35.22,18,2.08,0.53,32,2.59,12.65,7.91,4.22,7.33,35.72,0.07,0.75,5.51,0,94.49,1559.48,4.31,197,1.86,4,14.12,1.5,4.59,1.87,53.35,5.29,0.01,1103.99,38.73,12.42,26.31,-9.58,14.26,14.8,34
Mon Feb 27 06:41:56 GMT-03:00 2023,27-Feb-2023 06:41:59.525,-35.220680925039524,-5.820200089001223,0.28885865211486816,12.0,45.51537944347133,273.2550354003906,-0.04,5.75,8.11,0.01,14.12,0,0.03,0.09,-0.06,14.9,7.45,14.7,99.61,93,4,1.02,1010.95,14.5,599.1,1,-,-,734.93,8395,0,54,0.39,42.75,34.12,825.5,99.61,0.03,1.78,29.6,89.41,-2.34,3.91,0.78,-,0.02,12,45.52,273.26,-5.82,-35.22,18,1.04,0.53,32,2.25,12.65,7.91,4.86,6.36,35.72,0.07,0.75,5.34,0,94.66,1559.48,4.31,199,1.04,0,14.12,1.5,4.59,1.89,53.04,5.33,0.01,1103.99,39.94,13.47,26.47,-9.3,14.26,14.8,34
Mon Feb 27 06:41:57 GMT-03:00 2023,27-Feb-2023 06:42:00.525,-35.220680925039524,-5.820200089001223,0.0,8.0,45.0239378321436,273.2550354003906,0.1,5.98,7.74,-0.01,14.12,0,0.04,0.12,-0.09,14.9,8.24,14.7,99.61,93,4,1,1010.91,14.5,601.3,1,-,-,734.92,8395,0,54,-,42.75,35.69,839.5,99.61,0.03,2.2,36.67,89.41,-2.34,3.91,3.91,-,0.02,8,45.02,273.26,-5.82,-35.22,23,0,-,32,0,12.65,7.91,6.02,0,35.72,0.74,0.75,5.22,0,94.78,1559.48,4.31,200,0,0,14.51,-1,-,1.88,53.11,5.32,0.01,1103.99,40.92,13.47,27.45,-7.53,14.3,14.7,37
Mon Feb 27 06:41:58 GMT-03:00 2023,27-Feb-2023 06:42:01.524,-35.220680925039524,-5.820200089001223,0.0,8.0,45.11460406962329,273.2550354003906,1,6.55,7.3,-0,18.04,0.02,0.15,0.2,-0.13,26.27,13.33,14.7,99.61,93,3.83,1.02,1010.91,14.5,601.3,1,-,-,734.92,8395,0,54,-,55.29,46.27,1383.5,99.61,0.03,3.88,64.63,89.41,-2.34,0,-1.56,-,0.03,8,45.11,273.26,-5.82,-35.22,24,2,-,32,0,12.65,7.91,10.61,0,35.72,0.68,0.75,5.09,0,94.91,1559.48,8.24,201,0,2,18.04,15,-,1.88,53.18,5.31,0.01,1103.99,41.95,13.56,28.39,-2.43,14.22,14.7,48
Mon Feb 27 06:41:59 GMT-03:00 2023,27-Feb-2023 06:42:02.523,-35.220680925039524,-5.820200089001223,0.0,8.0,44.81529928955941,273.2550354003906,0.84,6.5,7.45,0,20.39,0.01,0.05,0.22,-0.14,26.27,13.33,14.7,99.61,93,3.83,1.02,1010.92,14.5,601.3,1,-,-,734.92,8395,0,54,-,55.29,46.27,1383.5,99.61,0.03,3.88,64.63,89.41,-1.56,4.69,5.47,-,0.03,8,44.82,273.26,-5.82,-35.22,24,2,-,32,0,12.65,7.91,10.61,0,35.72,0.1,0.73,4.98,0,95.02,1559.48,10.2,201,0,2,18.43,18,-,1.88,53.18,5.31,0.01,1103.99,42.86,14.47,28.39,-2.43,14.26,14.7,48
Mon Feb 27 06:42:00 GMT-03:00 2023,27-Feb-2023 06:42:03.523,-35.220680925039524,-5.820200089001223,0.0,8.0,44.74075189354631,273.2550354003906,0.16,6.37,7.88,0.03,20.39,0.04,0,0.26,-0.15,30.59,15.69,14.7,99.61,93,4.15,1.17,1010.89,14.5,601.3,1,-,-,728.47,8395,0,54,-,60.39,54.12,1663.5,99.61,0.04,5.05,84.24,88.63,-1.56,5.47,5.47,-,0.03,8,44.74,273.26,-5.82,-35.22,22,8,-,32,0.4,12.65,7.91,13.83,1.12,35.72,0.1,0.73,5.26,0,94.74,1891.41,10.2,203,0,8,18.43,18,-,1.84,54.34,5.2,0.01,1104,43.96,15.56,28.39,-4.95,14.26,14.7,52
