GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Air Fuel Ratio(Commanded)(:1),Alcohol Fuel Percentage(%),Android device Battery Level(%),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel trim Bank 1 Sensor 2(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Positive Kinetic Energy (PKE)(km/hr²),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Tue Feb 28 06:37:57 GMT-03:00 2023,28-Feb-2023 06:37:57.274,-35.220792877883184,-5.82010831107426,0.5021196007728577,4.0,39.87428963525517,286.72003173828125,-0.13,5.65,7.97,0,14.12,0,0,0.03,-0.02,14.9,7.45,14.7,99.61,94,3.08,1.29,1010.93,14.5,535.8,1,-,-,576.64,8453,0,48,0.24,41.96,35.69,835.5,99.61,0.03,1.75,29.24,70.2,-3.91,5.47,5.47,-,0.02,4,39.87,286.72,-5.82,-35.22,19,0.19,0.32,31,1.71,12.64,7.91,4.8,4.83,35.7,0.31,0.88,8.63,0,91.37,1382.49,4.31,146,1.81,2,14.9,0,2.83,1.84,54.3,5.2,0.01,1116.78,40.35,18.74,21.61,-8.76,14.1,14.1,37
Tue Feb 28 06:37:58 GMT-03:00 2023,28-Feb-2023 06:37:58.273,-35.220798170769505,-5.820106371825608,0.5359573364257812,6.0,39.94157337197375,286.5497131347656,-0.07,6.16,7.68,0.01,14.12,-0.01,0.04,0.09,-0.07,14.9,7.45,14.7,99.61,94,3,1.31,1010.94,14.5,538,1,-,-,573.41,8453,0,48,0.24,41.96,36.86,1255,99.61,0.03,2.81,46.84,69.8,-3.91,5.47,5.47,-,0.02,6,39.94,286.55,-5.82,-35.22,19,0.07,0.32,31,0.71,12.64,7.91,7.69,2.01,35.7,0.31,0.88,8.41,0,91.59,1300.25,4.31,148,1.93,2,14.9,0,2.83,1.8,55.56,5.08,0.01,1116.78,41.43,19.82,21.61,-5.74,14.1,14.3,42
Tue Feb 28 06:37:59 GMT-03:00 2023,28-Feb-2023 06:37:59.274,-35.220802037197586,-5.820105507558083,0.484815776348114,6.0,39.904681484194725,288.8575134277344,0.98,6.85,7.92,0.08,20.39,0.07,0.11,0.15,-0.02,31.76,16.08,14.7,99.61,94,3,1.31,1010.96,14.5,541,1,-,-,573.41,8453,0,48,0.24,47.45,54.9,1255,99.61,0.03,2.81,46.84,69.8,-3.12,1.56,4.69,-,0.02,6,39.9,288.86,-5.82,-35.22,20,0.07,0.32,31,0.71,12.64,7.91,7.69,2.01,35.7,0.06,0.88,8.21,0,91.79,1300.25,10.59,148,1.75,2,18.04,16.5,2.83,1.8,55.56,5.08,0.01,1116.78,42.42,20.81,21.61,-5.74,14.22,14.6,42
Tue Feb 28 06:38:00 GMT-03:00 2023,28-Feb-2023 06:38:00.275,-35.220807614676374,-5.8201036725712445,0.6472804546356201,6.0,39.978096313136646,306.38067626953125,0.76,6.51,7.98,0.06,20.39,0.05,0.09,0.12,-0.01,31.76,16.08,14.7,99.61,94,3.2,1.45,1010.88,14.5,543.6,1,-,-,566.96,8453,0,48,1.88,64.31,54.9,1607,99.61,0.04,5.37,89.48,69.02,-3.12,7.03,8.59,-,0.03,6,39.98,306.38,-5.82,-35.22,20,4.25,2.52,31,0.37,12.64,7.91,14.69,1.05,35.7,0.19,0.86,9.55,0,90.45,1574.62,10.59,149,2.33,6,20.78,18.5,11.16,1.75,57.18,4.94,0.02,1116.79,43.42,21.81,21.61,-3.35,14.2,14.7,51
Tue Feb 28 06:38:01 GMT-03:00 2023,28-Feb-2023 06:38:01.275,-35.220814083684196,-5.820094647683797,0.9629784822463989,6.0,40.03735571986578,332.4220886230469,-1.09,4,9.03,0.02,18.82,0.03,0.02,-0.05,0.08,28.63,14.51,14.7,99.61,94,3.56,1.68,1010.89,14.5,543.6,1,-,-,554.07,8453,0,48,2.11,50.2,48.63,1470,99.61,0.04,4.25,70.84,67.45,-3.12,2.34,8.59,-,0.03,6,40.04,332.42,-5.82,-35.22,21,5.53,2.82,31,1.41,12.64,7.91,11.63,3.99,35.7,0.19,0.86,11.57,0,88.43,1829.4,9.41,151,3.47,9,16.47,-6,13.68,1.74,57.57,4.91,0.02,1116.79,44.42,22.81,21.61,-7.61,14.2,14.7,50
Tue Feb 28 06:38:02 GMT-03:00 2023,28-Feb-2023 06:38:02.275,-35.220817455130415,-5.820075892979474,1.3934236764907837,6.0,40.075755866097936,0.31311145424842834,-0.76,4.84,8.76,0.03,14.12,0.02,-0.06,-0.04,0.06,14.9,7.45,14.7,99.61,94,3.56,1.68,1010.91,14.5,544.8,1,-,-,554.07,8453,0,48,2.11,50.2,32.55,1470,99.61,0.04,4.25,70.84,67.45,-3.12,2.34,0.78,-,0.03,6,40.08,0.31,-5.82,-35.22,21,5.53,2.82,31,1.41,12.64,7.91,11.63,3.99,35.7,0.81,0.83,13.48,0,86.52,1829.4,4.31,151,5.02,9,16.47,-6,13.68,1.74,57.57,4.91,0.02,1116.79,45.4,23.79,21.61,-7.61,14.16,14.6,50
Tue Feb 28 06:38:03 GMT-03:00 2023,28-Feb-2023 06:38:03.275,-35.220812724221126,-5.820059675604702,1.4948632717132568,6.0,39.75770380996905,3.585921049118042,-0.37,6.06,8.01,0.03,14.12,0.01,-0.01,0.07,-0.01,14.9,7.45,14.7,99.61,94,3.56,1.63,1010.88,14.5,545.4,1,-,-,544.4,8453,0,48,2.11,41.18,32.55,791.5,99.61,0.04,1.72,28.75,66.27,-3.91,-3.12,-3.91,-,0.03,6,39.76,3.59,-5.82,-35.22,21,5.02,2.82,31,5.22,12.64,7.91,4.72,14.74,35.7,0.88,0.97,13.85,0,86.15,1829.4,3.92,152,5.38,0,14.51,0,13.68,1.85,53.96,5.23,0.02,1116.79,46.41,24.1,22.31,-11.45,14.16,14.6,42
Tue Feb 28 06:38:04 GMT-03:00 2023,28-Feb-2023 06:38:04.275,-35.2208104269581,-5.820050913812437,1.2446842193603516,6.0,39.11468907403344,3.585921049118042,-0.38,5.79,7.77,-0,13.73,0,-0.03,0.05,-0.02,14.9,7.45,14.7,99.61,94,3.56,1.58,1010.89,14.5,545.4,1,-,-,554.06,8453,0,48,2.11,40,34.9,771.5,99.61,0.04,1.56,26.01,67.45,-3.91,-7.81,-3.91,-,0.03,6,39.11,3.59,-5.82,-35.22,22,4.48,2.82,31,0,12.64,7.91,4.27,0,35.7,0.88,0.97,13.57,0,86.43,1829.4,3.92,153,4.48,0,14.51,0,13.68,1.85,54.04,5.23,0.02,1116.79,47.38,24.1,23.29,-9.36,14.16,14.6,40
Tue Feb 28 06:38:05 GMT-03:00 2023,28-Feb-2023 06:38:05.276,-35.22081087859408,-5.820050324166672,0.923188328742981,6.0,38.884184957289385,3.585921049118042,-0.49,5.86,7.89,0.01,13.73,0,-0.03,0.05,-0.02,14.9,7.45,14.7,99.61,94,3.56,1.58,1010.89,14.5,546.6,1,-,-,554.06,8453,0,48,2.11,40,34.9,771.5,99.61,0.04,1.56,26.01,67.45,-3.91,-7.81,-9.38,-,0.03,6,38.88,3.59,-5.82,-35.22,22,4.48,2.82,31,0,12.64,7.91,4.27,0,35.7,0.86,0.95,13.29,0,86.71,1829.4,4.31,153,3.32,0,14.51,4.5,13.68,1.85,54.04,5.23,0.02,1116.79,48.38,24.1,24.28,-9.36,14.1,14.7,40
Tue Feb 28 06:38:06 GMT-03:00 2023,28-Feb-2023 06:38:06.273,-35.22081251766039,-5.8200493166788725,0.016636790707707405,6.0,39.27056127297173,3.585921049118042,-0.21,5.96,7.63,-0,14.12,0,0,0.07,-0.05,14.9,7.45,14.7,99.61,94,3.56,1.54,1010.89,14.5,546.6,1,-,-,550.84,8453,0,48,-,42.35,35.29,783.5,99.61,0.04,1.67,27.9,67.06,-3.91,-9.38,-9.38,-,0.03,6,39.27,3.59,-5.82,-35.22,21,0.06,-,31,0,12.64,7.91,4.58,0,35.7,0.86,0.95,13.01,0,86.99,1829.4,4.31,156,0.06,0,14.51,-1,-,1.85,54.13,5.22,0.02,1116.79,49.4,24.1,25.3,-8.85,14.16,14.7,40
