GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Air Fuel Ratio(Commanded)(:1),Alcohol Fuel Percentage(%),Android device Battery Level(%),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel trim Bank 1 Sensor 2(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Positive Kinetic Energy (PKE)(km/hr²),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Wed Mar 01 06:39:47 GMT-03:00 2023,01-Mar-2023 06:39:50.942,-35.22082267224573,-5.820105897122922,0.6018164157867432,16.0,48.93298926783644,246.02392578125,0.49,6.53,7.45,-0.01,18.43,0.01,0,0.14,-0.11,30.2,15.29,14.7,99.61,56,4.44,1.82,1010.4,14.5,546.7,1,-,-,363.95,8502,0,47,-,51.37,50.2,1313,99.61,0.02,3.42,57.01,44.31,-2.34,2.34,3.12,-,0.02,16,48.93,246.02,-5.82,-35.22,11,2.78,-,30,0,12.64,7.91,9.36,0,35.69,0.08,0.88,10,0,90,1455.98,8.63,147,2.17,0,18.04,17,-,2.8,35.68,7.92,0.01,1129.56,28.54,12.99,15.55,-3.77,14.28,14.8,45
Wed Mar 01 06:39:48 GMT-03:00 2023,01-Mar-2023 06:39:51.943,-35.22082699823102,-5.820105756714676,0.40831172466278076,16.0,48.76378137763619,246.02392578125,0.68,6.36,7.18,-0.04,18.43,0.01,-0.02,0.15,-0.12,30.2,15.29,14.7,99.61,56,4.4,1.91,1010.43,14.5,546.7,1,-,-,363.95,8502,0,47,1.56,58.04,50.2,1479.5,99.61,0.03,4.2,69.99,44.31,-2.34,6.25,8.59,-,0.02,16,48.76,246.02,-5.82,-35.22,13,1.83,2.09,30,0,12.64,7.91,11.49,0,35.69,0.12,0.84,9.69,0,90.31,1455.98,8.63,149,1.47,4,19.61,18,10.07,2.8,35.77,7.9,0.01,1129.56,29.45,13.7,15.75,-6.2,14.24,14.8,48
Wed Mar 01 06:39:49 GMT-03:00 2023,01-Mar-2023 06:39:52.944,-35.22082562223165,-5.820101807976131,0.07572115957736969,12.0,48.494065004888654,246.02392578125,-0.38,5.66,6.48,-0.14,19.61,-0.12,-0.09,0.05,-0.21,30.98,15.69,14.7,99.61,56,4.82,2.21,1010.44,14.5,548.5,1,-,-,344.63,8502,0,47,3.06,64.31,51.76,1600.5,99.61,0.03,5.16,85.95,41.96,-2.34,8.59,8.59,-,0.02,12,48.49,246.02,-5.82,-35.22,15,8.73,4.1,30,0.78,12.64,7.91,14.11,2.19,35.69,0.12,0.84,10,0,90,1787.33,9.8,150,0.27,9,19.61,18,18.24,2.69,37.11,7.61,0.02,1129.56,30.53,14.78,15.75,-5.45,14.24,14.8,51
Wed Mar 01 06:39:50 GMT-03:00 2023,01-Mar-2023 06:39:53.942,-35.220835164038164,-5.820088590294993,0.9998371005058289,12.0,48.1770235744013,11.435115814208984,0.14,7.05,7.77,0.05,19.22,0.03,0.16,0.07,-0.05,25.49,13.73,14.7,99.61,56,4.82,2.21,1010.39,14.5,549.2,1,-,-,344.63,8502,0,47,3.06,64.31,50.2,1600.5,99.61,0.03,5.16,85.95,41.96,-2.34,8.59,7.81,-,0.02,12,48.18,11.44,-5.82,-35.22,18,8.73,4.1,30,0.78,12.64,7.91,14.11,2.19,35.69,0.8,0.82,12.49,0,87.51,1787.33,9.41,150,3.6,9,20.39,18,18.24,2.69,37.11,7.61,0.02,1129.56,31.4,15.65,15.75,-5.45,14.32,14.7,51
Wed Mar 01 06:39:51 GMT-03:00 2023,01-Mar-2023 06:39:54.943,-35.22082434040756,-5.820046410398153,1.7092090845108032,12.0,48.06034263223545,31.100839614868164,-0.2,6.82,6.96,-0.03,19.22,-0.07,-0.03,0.14,-0.22,25.49,13.73,14.7,99.61,56,5.58,2.68,1010.41,14.5,549.2,1,-,-,334.96,8502,0,47,4.38,56.08,50.2,1464.5,99.61,0.03,4.37,72.91,40.78,-2.34,-0.78,-2.34,-,0.02,12,48.06,31.1,-5.82,-35.22,19,7.85,5.88,30,2.06,12.64,7.91,11.97,5.81,35.69,0.76,0.9,15.41,0,84.59,1994.29,9.41,152,6.15,14,18.82,18,28.58,2.66,37.53,7.53,0.02,1129.56,32.48,16.73,15.75,-7.4,14.26,14.7,50
Wed Mar 01 06:39:52 GMT-03:00 2023,01-Mar-2023 06:39:55.945,-35.22081214041657,-5.8200173519449105,2.607151508331299,12.0,47.852607681890866,28.652801513671875,-2.6,7.52,5.63,-0.03,18.04,0,-0.17,0.08,-0.1,25.1,12.94,14.7,99.61,56,6.46,3.23,1010.4,14.5,549.7,1,732.58,732.58,328.52,8502,0,48,4.29,53.33,47.06,1447,99.61,0.03,3.88,64.63,40,-2.34,-4.69,-2.34,-,0.02,12,47.85,28.65,-5.82,-35.22,18,7.61,5.76,30,3.61,12.63,7.91,10.61,10.2,35.69,0.76,0.9,17.99,0,82.01,2228.19,8.24,153,9.39,17,18.82,18,28.34,2.71,36.94,7.65,0.03,1129.57,33.5,17.75,15.75,-7.63,14.26,14.7,49
Wed Mar 01 06:39:53 GMT-03:00 2023,01-Mar-2023 06:39:56.944,-35.22079747852052,-5.819977144529526,3.4348409175872803,8.0,47.89833352921946,22.03190040588379,-0.1,5.92,7.37,-0.06,14.51,0.09,-0.2,0.18,-0.05,19.61,10.2,14.7,99.61,56,6.46,3.23,1010.39,14.5,549.6,1,732.58,732.58,328.52,8502,0,48,4.29,53.33,30.2,1447,99.61,0.03,3.88,64.63,40,-2.34,-4.69,-3.12,-,0.02,8,47.9,22.03,-5.82,-35.22,14,7.61,5.76,30,3.61,12.63,7.91,10.61,10.2,35.69,0.15,0.88,20.37,0,79.63,2228.19,4.71,154,12.37,17,18.04,18,28.34,2.71,36.94,7.65,0.03,1129.57,34.51,18.75,15.75,-7.63,14.3,14.7,49
Wed Mar 01 06:39:54 GMT-03:00 2023,01-Mar-2023 06:39:57.944,-35.22078517313175,-5.8199346930743925,3.9141159057617188,8.0,47.8231840362656,13.439573287963867,2.87,3.57,7.17,-0.15,14.51,0.19,-0.1,0.36,-0.07,19.61,10.2,14.7,99.61,56,7.21,3.74,1010.3,14.5,549.6,1,569.86,407.13,331.73,8502,0,48,4.29,38.82,30.2,1203.5,99.61,0.03,2.62,43.61,40.39,-2.34,-9.38,-10.16,-,0.03,8,47.82,13.44,-5.82,-35.22,15,4.63,5.76,30,6.5,12.63,7.91,7.16,18.35,35.69,0.34,0.94,22.58,0,77.42,1765.17,5.88,154,14.09,17,16.86,18.5,28.34,2.87,34.82,8.11,0.03,1129.58,35.49,19.74,15.75,-9.81,14.26,14.7,45
Wed Mar 01 06:39:55 GMT-03:00 2023,01-Mar-2023 06:39:58.944,-35.22077385397812,-5.819889344383798,4.256800651550293,8.0,47.76505002122071,15.681864738464355,1.21,6.42,9.21,0.13,15.69,-0.04,-0.02,-0.07,-0.03,14.9,7.45,14.7,99.61,56,7.73,4.14,1010.3,14.5,549.6,1,442.45,187.64,331.73,8502,0,48,4.29,22.35,30.59,1180.5,99.61,0.03,1.21,20.1,40.39,-2.34,-10.16,-10.16,-,0.03,8,47.77,15.68,-5.82,-35.22,19,0.32,5.76,30,14.1,12.63,7.91,3.3,39.82,35.69,0.34,0.94,24.73,0,75.27,1467.96,5.88,156,15.32,15,12.94,0,28.34,3.34,29.94,9.43,0.04,1129.58,36.5,20.75,15.75,-11.9,14.26,14.7,38
Wed Mar 01 06:39:56 GMT-03:00 2023,01-Mar-2023 06:39:59.944,-35.220760402654754,-5.819844487373855,4.4589433670043945,8.0,48.52893399306412,16.705673217773438,-0.52,5.08,9.71,0.1,12.94,0.11,-0.13,0.1,0.04,14.9,7.45,14.7,99.61,56,7.73,4.14,1010.32,14.5,549.6,1,376.47,178.51,334.95,8502,0,48,4.29,22.35,19.22,936,99.61,0.04,1.01,16.87,40.78,-3.91,-10.16,-10.94,-,0.03,8,48.53,16.71,-5.82,-35.22,23,0.32,5.76,30,14.82,12.63,7.91,2.77,41.86,35.69,0.9,0.88,26.82,0,73.18,1467.96,3.14,157,16.05,15,12.94,0,28.34,3.8,26.32,10.73,0.04,1129.58,37.54,21.79,15.75,-12.28,14.22,14.7,32
