GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Air Fuel Ratio(Commanded)(:1),Alcohol Fuel Percentage(%),Android device Battery Level(%),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel trim Bank 1 Sensor 2(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Positive Kinetic Energy (PKE)(km/hr²),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Fri Mar 03 06:42:30 GMT-03:00 2023,03-Mar-2023 06:42:32.051,-35.220763720528254,-5.820107680634533,0.7178856134414673,8.0,47.22795005745689,281.7275085449219,-0.19,5.34,8.21,-0.01,13.73,0.01,0.03,0.05,-0.02,14.9,7.45,14.7,99.61,95,4.5,1.57,1009.43,14.5,563.1,1,-,-,733.84,8583,0,46,0.37,33.73,30.59,838,99.61,0.02,1.44,24,89.41,-3.12,-7.81,-5.47,-,0.01,8,47.23,281.73,-5.82,-35.22,20,1.42,0.5,30,2.08,12.63,7.92,3.94,5.89,35.67,0.08,0.83,16.83,0,83.17,1413.5,3.53,163,2.58,4,14.12,1.5,4.26,1.94,51.42,5.49,0.01,1155.19,24.26,10.38,13.88,-9.63,14.38,14.5,32
Fri Mar 03 06:42:31 GMT-03:00 2023,03-Mar-2023 06:42:33.053,-35.22077248260986,-5.820105938618259,0.6176761388778687,8.0,46.597531696713304,280.13067626953125,0.39,5.14,8.49,0.01,13.73,0.04,0.08,0.01,0.03,14.9,7.45,14.7,99.61,95,4.56,1.71,1009.39,14.5,563.1,1,-,-,733.84,8583,0,46,0.42,33.73,28.63,925.5,99.61,0.02,1.53,25.52,89.41,-3.12,-7.81,-5.47,-,0.01,8,46.6,280.13,-5.82,-35.22,19,2.78,0.57,30,2.61,12.63,7.92,4.19,7.38,35.67,0.08,0.9,16.19,0,83.81,1685.11,3.92,164,2.22,5,14.12,1.5,4.36,1.98,50.46,5.6,0.01,1155.19,25.23,11.35,13.88,-9.76,14.38,14.9,32
Fri Mar 03 06:42:32 GMT-03:00 2023,03-Mar-2023 06:42:34.052,-35.22077650617272,-5.820105707707553,0.46999576687812805,8.0,46.3167134922735,291.7969970703125,0.38,5.29,7.78,-0.05,13.73,-0.04,0.02,0.05,-0.08,14.9,7.45,14.7,99.61,95,4.56,1.71,1009.39,14.5,565.7,1,-,-,733.84,8583,0,46,0.42,33.33,28.63,925.5,99.61,0.02,1.53,25.52,89.41,-3.12,-2.34,-1.56,-,0.01,8,46.32,291.8,-5.82,-35.22,17,2.78,0.57,30,2.61,12.63,7.92,4.19,7.38,35.67,0.06,0.87,15.55,0,84.45,1685.11,3.92,164,1.69,5,14.51,-1,4.36,1.98,50.46,5.6,0.01,1155.19,26.25,12.37,13.88,-9.76,14.34,14.2,32
Fri Mar 03 06:42:33 GMT-03:00 2023,03-Mar-2023 06:42:35.052,-35.220777237233506,-5.820109797919385,0.4400551915168762,8.0,46.005924393952675,298.726806640625,0.4,5.28,8.51,0.02,14.51,0,0.04,0.03,-0.02,14.9,7.45,14.7,99.61,95,4.56,1.71,1009.36,14.5,565.7,1,-,-,733.84,8583,0,46,0.42,33.33,36.86,925.5,99.61,0.02,1.53,25.52,89.41,-3.12,-2.34,-1.56,-,0.01,8,46.01,298.73,-5.82,-35.22,22,2.78,0.57,30,2.61,12.63,7.92,4.19,7.38,35.67,0.06,0.87,15.01,0,84.99,1685.11,4.71,164,1.58,5,14.51,-1,4.36,1.98,50.46,5.6,0.01,1155.19,27.2,13.32,13.88,-9.76,14.34,14.2,32
Fri Mar 03 06:42:34 GMT-03:00 2023,03-Mar-2023 06:42:36.052,-35.22078048815999,-5.820108828534538,0.6258361339569092,8.0,45.36118135258525,310.852783203125,0.03,5.91,7.87,-0,14.51,0,0.03,0.1,-0.07,14.9,7.45,14.7,99.61,95,4.56,1.64,1009.42,14.5,565.7,1,-,-,733.83,8583,0,46,0.42,41.96,36.86,827.5,99.61,0.02,1.73,28.87,89.41,-3.12,3.91,3.91,-,0.02,8,45.36,310.85,-5.82,-35.22,20,1.58,0.57,30,2.89,12.63,7.92,4.74,8.15,35.67,0.79,0.87,14.46,0,85.54,1685.11,4.71,167,2.25,0,14.9,-1.5,4.36,2.03,49.28,5.73,0.01,1155.19,28.24,13.91,14.32,-9.64,14.3,14.2,32
Fri Mar 03 06:42:35 GMT-03:00 2023,03-Mar-2023 06:42:37.052,-35.22078048815999,-5.820108828534538,0.0,8.0,45.252949346981964,310.852783203125,0.51,6.37,7.59,0,14.51,0.01,0.06,0.15,-0.09,14.9,7.45,14.7,99.61,95,4.56,1.64,1009.39,14.5,568,1,-,-,733.82,8583,0,47,0.42,41.96,36.08,826,99.61,0.02,1.73,28.87,89.41,-3.12,3.91,3.91,-,0.02,8,45.25,310.85,-5.82,-35.22,22,1.58,0.57,30,0,12.63,7.92,4.74,0,35.67,0.79,0.82,13.99,0,86.01,1685.11,4.31,168,0,0,14.9,-1.5,4.36,2.02,49.39,5.72,0.01,1155.19,29.18,13.91,15.27,-9.07,14.3,14.8,33
Fri Mar 03 06:42:36 GMT-03:00 2023,03-Mar-2023 06:42:38.053,-35.22077772242421,-5.82010778287565,0.4336967170238495,8.0,44.2172846975408,320.4018859863281,0.13,6.14,7.77,0,16.47,0,0.04,0.13,-0.1,23.53,12.55,14.7,99.61,95,4.56,1.58,1009.43,14.5,569.6,1,-,-,733.82,8583,0,47,-,50.59,41.96,826,99.61,0.02,1.73,28.87,89.41,-3.12,0,0,-,0.02,8,44.22,320.4,-5.82,-35.22,20,0,-,30,0,12.63,7.92,4.74,0,35.67,0.77,0.81,13.51,0,86.49,1685.11,6.67,168,1.56,0,16.47,15.5,-,2.02,49.39,5.72,0.01,1155.19,30.21,13.91,16.3,-9.07,14.44,14.9,33
Fri Mar 03 06:42:37 GMT-03:00 2023,03-Mar-2023 06:42:39.053,-35.2207778093398,-5.820104989461492,0.3843558132648468,8.0,44.932657223635736,325.3309326171875,0.42,6.58,7.83,0.04,16.47,0.03,0.1,0.18,-0.09,23.53,12.55,14.7,99.61,95,4.3,1.59,1009.39,14.5,571,1,-,-,730.61,8583,0,47,0.32,52.16,41.96,1289.5,99.61,0.02,3.41,56.83,89.02,-3.12,6.25,7.03,-,0.02,8,44.93,325.33,-5.82,-35.22,20,0.44,0.43,30,0,12.63,7.92,9.33,0,35.67,0.17,0.79,13.07,0,86.93,1685.11,8.24,170,1.38,2,18.04,18,2.36,2.02,49.51,5.71,0.01,1155.19,31.24,14.56,16.69,-3.78,14.34,14.8,43
Fri Mar 03 06:42:38 GMT-03:00 2023,03-Mar-2023 06:42:40.054,-35.2207810863553,-5.8200906291876935,1.1924853324890137,8.0,44.80127316450424,354.4571838378906,0.26,6.45,8.51,0.08,18.04,-0.06,0.05,0.09,-0.15,28.63,14.9,14.7,99.61,95,4.36,1.71,1009.35,14.5,571,1,-,-,730.61,8583,0,47,1.42,56.08,48.24,1430,99.61,0.03,4.02,66.94,89.02,-3.12,4.69,3.91,-,0.02,8,44.8,354.46,-5.82,-35.22,23,3.62,1.9,30,0.5,12.63,7.92,10.99,1.41,35.67,0.61,0.77,12.66,0,87.34,1964.19,8.24,171,4.29,5,19.22,18,9.46,1.95,51.26,5.51,0.01,1155.19,32.26,15.57,16.69,-6.41,14.36,14.2,46
Fri Mar 03 06:42:39 GMT-03:00 2023,03-Mar-2023 06:42:41.051,-35.22078230223714,-5.820076753864979,1.2238330841064453,6.0,44.01879939811583,2.671473264694214,0.16,6.6,7.39,0,18.82,0,0.04,0.2,-0.15,28.24,14.51,14.7,99.61,95,4.67,1.93,1009.38,14.5,571,1,-,-,724.16,8583,0,47,2.06,55.29,48.63,1499.5,99.61,0.03,4.19,69.86,88.24,-3.12,5.47,3.91,-,0.02,6,44.02,2.67,-5.82,-35.22,24,3.59,2.76,29,1.19,12.63,7.92,11.47,3.37,35.67,0.61,0.77,13.1,0,86.9,2225.96,8.63,172,4.41,8,18.43,17,13.09,1.92,52.14,5.42,0.02,1155.2,33.26,16.58,16.69,-6.89,14.36,14.2,47
