GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Air Fuel Ratio(Commanded)(:1),Alcohol Fuel Percentage(%),Android device Battery Level(%),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel trim Bank 1 Sensor 2(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Positive Kinetic Energy (PKE)(km/hr²),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Mon Mar 06 06:43:24 GMT-03:00 2023,06-Mar-2023 06:43:24.532,-35.22075080778762,-5.8201626540757925,0.0,8.0,31.398934142975914,256.23760986328125,0.54,5.55,7.89,-0.03,14.12,0,0.05,0.02,-0.02,14.9,7.45,14.7,99.61,71,2.67,1.6,1008.97,14.5,552.3,1,-,-,324.99,8738,0,48,-,41.96,36.08,833,99.61,0.01,1.73,28.87,39.61,-2.34,0,-0.78,-,0.01,8,31.4,256.24,-5.82,-35.22,22,2,-,31,1.73,12.62,7.92,4.74,4.89,35.66,0.83,0.78,0,0,100,0,4.31,151,0,2,14.51,0.5,-,1.52,65.69,4.3,0,1168.11,5.95,5.95,0,-9.38,14.22,14.7,38
Mon Mar 06 06:43:25 GMT-03:00 2023,06-Mar-2023 06:43:25.528,-35.22075080778762,-5.8201626540757925,0.0,8.0,31.288484849965073,256.23760986328125,0.76,6.33,7.55,-0.01,17.65,0.02,0.07,0.11,-0.07,14.9,7.45,14.7,99.61,71,2.67,1.33,1008.99,14.5,554.2,1,-,-,318.55,8738,0,48,-,41.96,36.08,817.5,99.61,0.01,1.73,28.87,38.82,-3.12,-0.78,0,-,0.01,8,31.29,256.24,-5.82,-35.22,20,0,-,31,1.15,12.62,7.92,4.74,3.26,35.66,0.12,0.85,0,0,100,0,7.45,151,0,0,14.51,0.5,-,1.46,68.44,4.13,0,1168.11,6.97,6.22,0.75,-9.08,14.16,14.8,37
Mon Mar 06 06:43:26 GMT-03:00 2023,06-Mar-2023 06:43:26.527,-35.22075080778762,-5.8201626540757925,0.0,8.0,32.101812373789734,256.23760986328125,0.82,6.01,7.42,-0.04,17.65,0,0.08,0.07,-0.08,27.06,13.73,14.7,99.61,71,2.5,1.43,1008.97,14.5,554.2,1,-,-,315.33,8738,0,48,0.32,51.37,44.71,1303.5,99.61,0.01,3.27,54.45,38.43,-3.12,3.91,4.69,-,0.01,8,32.1,256.24,-5.82,-35.22,21,2,0.43,31,0,12.62,7.92,8.94,0,35.66,0.09,0.87,0,0,100,0,7.45,153,0,2,17.65,17,2.37,1.45,68.91,4.1,0,1168.11,7.99,6.67,1.31,-4.09,14.2,14.8,46
Mon Mar 06 06:43:27 GMT-03:00 2023,06-Mar-2023 06:43:27.526,-35.22075080778762,-5.8201626540757925,0.0,8.0,32.651783431572845,256.23760986328125,1.02,6.26,7.52,-0.02,18.43,0.04,0.1,0.12,-0.07,29.8,15.29,14.7,99.61,71,3,1.88,1008.96,14.5,556.7,1,-,-,296.02,8738,0,49,1.21,62.75,50.2,1494.5,99.61,0.01,4.44,74.07,36.08,-3.12,3.91,4.69,-,0.01,8,32.65,256.24,-5.82,-35.22,21,5,1.63,31,0.45,12.62,7.92,12.16,1.27,35.66,0.09,0.87,0,0,100,1927.71,8.63,154,0,5,17.65,17,7.76,1.33,75.41,3.75,0.01,1168.11,8.98,7.66,1.31,-5.62,14.2,14.7,49
Mon Mar 06 06:43:28 GMT-03:00 2023,06-Mar-2023 06:43:28.527,-35.22075080778762,-5.8201626540757925,0.0,8.0,33.47200120308071,256.23760986328125,0.91,6.92,7.45,0.02,21.18,0.12,0.08,0.14,0.02,32.16,16.47,14.7,99.61,71,3,1.88,1008.95,14.5,558.2,1,-,-,296.02,8738,0,49,1.21,62.75,57.25,1494.5,99.61,0.01,4.44,74.07,36.08,-3.12,10.94,7.03,-,0.01,8,33.47,256.24,-5.82,-35.22,23,5,1.63,31,0.45,12.62,7.92,12.16,1.27,35.66,0.72,0.82,0,0,100,1927.71,11.37,154,0,5,21.18,18.5,7.76,1.33,75.41,3.75,0.01,1168.11,9.95,8.63,1.31,-5.62,14.26,14.8,49
Mon Mar 06 06:43:29 GMT-03:00 2023,06-Mar-2023 06:43:29.529,-35.22075080778762,-5.8201626540757925,0.0,8.0,33.44690822035306,256.23760986328125,0.71,7.95,6.09,0,21.18,-0.07,0.06,0,-0.12,32.16,16.47,14.7,99.61,71,4.17,2.78,1008.88,14.5,560.1,1,-,-,289.59,8738,0,49,3.76,67.84,57.25,1560.5,99.61,0.01,5.3,88.26,35.29,-3.12,6.25,5.47,-,0.01,8,33.45,256.24,-5.82,-35.22,20,10,5.04,31,0.94,12.62,7.92,14.49,2.67,35.66,0.75,0.81,6.01,0,93.99,2685.57,11.37,155,0,10,21.18,17,23.02,1.28,77.91,3.63,0.01,1168.11,10.96,9.65,1.31,-5.27,14.34,14.8,53
Mon Mar 06 06:43:30 GMT-03:00 2023,06-Mar-2023 06:43:30.530,-35.2207701025665,-5.820141080010894,0.7430548667907715,8.0,33.70223562447361,308.5726318359375,-0.45,8.4,7.51,0.13,24.31,0.06,0.01,0.08,0,33.73,17.25,14.7,99.61,71,5.86,4.1,1008.85,14.5,560.1,1,-,-,283.15,8738,0,49,7.43,64.71,63.53,2281,99.61,0.02,7.96,132.6,34.51,-3.12,1.56,5.47,-,0.01,8,33.7,308.57,-5.82,-35.22,21,13.33,9.96,30,1.26,12.62,7.92,21.77,3.55,35.66,0.75,0.81,13.52,0,86.48,2918.22,14.12,157,2.67,16,21.18,22.5,31.1,1.28,78.07,3.62,0.01,1168.12,11.91,10.6,1.31,-1.22,14.34,14.8,62
Mon Mar 06 06:43:31 GMT-03:00 2023,06-Mar-2023 06:43:31.527,-35.22077214423248,-5.820128033072891,0.7239099740982056,8.0,34.154046767818066,359.4153137207031,-1.35,5.68,7.57,-0.04,18.04,0.16,-0.01,0.29,-0.05,23.92,12.16,14.7,99.61,71,5.86,4.1,1008.82,14.5,563.5,1,656.11,656.11,279.93,8738,0,49,7.43,64.71,36.86,2281,99.61,0.02,3.97,66.15,34.12,-3.12,1.56,-0.78,-,0.02,8,34.15,359.42,-5.82,-35.22,20,13.33,9.96,30,4.03,12.62,7.92,10.86,11.39,35.66,0.77,0.88,20.4,0,79.6,2918.22,9.02,158,2.61,16,22.75,22.5,31.1,1.53,65.32,4.32,0.01,1168.12,12.94,11.63,1.31,-9.98,14.32,14.8,54
Mon Mar 06 06:43:32 GMT-03:00 2023,06-Mar-2023 06:43:32.527,-35.220766576457095,-5.820099868150762,2.3514649868011475,12.0,34.610903315151205,31.6134033203125,0.46,6.33,8.61,0.07,19.22,0.05,-0.07,-0.04,0.06,23.92,12.16,14.7,99.61,71,7.5,5.45,1008.85,14.5,565.1,1,656.11,656.11,279.93,8738,0,49,4.81,45.1,43.14,1973,99.61,0.02,3.97,66.15,34.12,-3.12,-7.03,-4.69,-,0.02,12,34.61,31.61,-5.82,-35.22,19,16.39,6.46,30,4.03,12.62,7.92,10.86,11.39,35.66,0.09,0.9,26.34,0,73.66,2969.93,9.41,158,8.47,19,20,24,23.3,1.53,65.32,4.32,0.02,1168.12,13.99,12.67,1.31,-9.98,14.26,14.7,54
Mon Mar 06 06:43:33 GMT-03:00 2023,06-Mar-2023 06:43:33.526,-35.22074773814418,-5.820060169382658,4.747654914855957,12.0,35.15637387597922,20.410737991333008,-1.14,5.46,7.73,-0.05,19.22,0.03,0.17,-0.04,0.03,23.92,12.16,14.7,99.61,71,8.89,6.67,1008.82,14.5,565.1,1,602.79,549.46,279.93,8738,0,49,1.52,46.27,43.14,1655,99.61,0.02,3.95,65.78,34.12,-2.34,-3.12,-4.69,-,0.02,12,35.16,20.41,-5.82,-35.22,19,11.53,2.04,30,4.81,12.62,7.92,10.8,13.6,35.66,0.87,0.84,30.87,0,69.13,2855.88,9.41,159,17.09,20,15.69,-7,8.8,1.8,55.42,5.1,0.03,1168.13,14.9,13.59,1.31,-9.31,14.28,14.7,49
