GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Air Fuel Ratio(Commanded)(:1),Alcohol Fuel Percentage(%),Android device Battery Level(%),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel trim Bank 1 Sensor 2(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Positive Kinetic Energy (PKE)(km/hr²),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Tue Mar 07 06:43:08 GMT-03:00 2023,07-Mar-2023 06:43:11.312,-35.220811600307435,-5.820072487017185,1.1069258451461792,4.0,40.77552423332502,335.71185302734375,0.69,6.32,8.29,0.12,16.47,0.04,0.09,0.07,0.06,24.71,12.94,14.7,99.61,76,4.12,1.14,1008.33,14.5,573.2,1,-,-,147.79,8777,0,48,0.9,42.35,39.22,1299.5,99.61,0.02,2.61,43.43,18.04,-3.12,-1.56,1.56,-,0.02,4,40.78,335.71,-5.82,-35.22,22,2.04,1.2,31,0,12.6,7.93,7.13,0,35.6,0.07,0.83,12.22,0,87.78,1546.65,6.67,141,3.98,4,16.47,18.5,6.59,2.27,44.04,6.41,0.01,1180.99,30.1,12.16,17.94,-6.86,14.22,14.1,37
Tue Mar 07 06:43:09 GMT-03:00 2023,07-Mar-2023 06:43:12.311,-35.220815234761055,-5.820063667654692,1.4226269721984863,4.0,40.517909175008725,355.1509704589844,0.59,6.1,8.21,0.1,18.04,0.06,0.08,0.08,0.08,25.49,12.55,14.7,99.61,76,4.12,1.14,1008.32,14.5,574.5,1,-,-,147.79,8777,0,48,0.9,42.35,43.92,1299.5,99.61,0.02,2.61,43.43,18.04,-3.12,-1.56,1.56,-,0.02,4,40.52,355.15,-5.82,-35.22,24,2.04,1.2,31,0,12.6,7.93,7.13,0,35.6,0.07,0.83,11.84,0,88.16,1546.65,8.24,141,5.12,4,16.47,18.5,6.59,2.27,44.04,6.41,0.01,1180.99,31.06,13.12,17.94,-6.86,14.22,14.7,37
Tue Mar 07 06:43:10 GMT-03:00 2023,07-Mar-2023 06:43:13.316,-35.22081194260753,-5.820048772319684,1.693831205368042,4.0,40.44715464370929,10.300030708312988,-0.73,5.42,8.25,0.06,18.04,0.06,-0.03,0.12,0.05,25.49,12.55,14.7,99.61,76,4.44,1.33,1008.28,14.5,574.5,1,-,-,138.15,8777,0,48,1.15,51.37,43.92,1418.5,99.61,0.02,3.44,57.32,16.86,-3.12,-1.56,0,-,0.02,4,40.45,10.3,-5.82,-35.22,23,1.88,1.55,31,1.16,12.6,7.93,9.41,3.29,35.6,0.08,0.8,12.99,0,87.01,1816.26,8.24,143,6.1,7,18.04,18,7.77,2.22,45.09,6.27,0.01,1180.99,32.01,14.07,17.94,-7.61,14.16,14.7,39
Tue Mar 07 06:43:11 GMT-03:00 2023,07-Mar-2023 06:43:14.311,-35.22080188015475,-5.820035508643381,1.7797471284866333,4.0,39.240382547172764,23.888931274414062,-0.47,6.03,7.3,0.02,17.65,0.04,-0.14,0.16,-0.02,27.84,14.51,14.7,99.61,76,4.9,1.58,1008.27,14.5,575,1,-,-,131.73,8777,0,48,1.46,62.35,47.84,1230.5,99.61,0.03,4.47,74.43,16.08,-3.12,-0.78,0,-,0.02,4,39.24,23.89,-5.82,-35.22,25,2.59,1.95,31,1.57,12.6,7.93,12.22,4.43,35.6,0.08,0.8,15.76,0,84.24,2074.31,7.84,144,6.41,9,18.04,18,11.29,2.19,45.7,6.18,0.02,1180.99,33.06,15.12,17.94,-6.3,14.16,14.7,43
Tue Mar 07 06:43:12 GMT-03:00 2023,07-Mar-2023 06:43:15.309,-35.2207944611151,-5.820019415746298,2.450040578842163,4.0,39.12844896439588,26.727127075195312,-1.53,7.45,6.79,0.09,18.82,0.03,-0.12,0.21,-0.08,26.27,13.73,14.7,99.61,76,4.9,1.58,1008.3,14.5,574.3,1,-,-,131.73,8777,0,48,1.46,62.35,51.37,1230.5,99.61,0.03,4.47,74.43,16.08,-3.12,-0.78,-2.34,-,0.02,4,39.13,26.73,-5.82,-35.22,20,2.59,1.95,31,1.57,12.6,7.93,12.22,4.43,35.6,0.61,0.79,18.26,0,81.74,2074.31,9.02,146,8.82,9,19.22,16.5,11.29,2.19,45.7,6.18,0.02,1180.99,34.08,16.13,17.94,-6.3,14.22,14.7,43
Tue Mar 07 06:43:13 GMT-03:00 2023,07-Mar-2023 06:43:16.308,-35.22078235769026,-5.8199958459951375,3.204989433288574,4.0,38.754436406956536,28.28640365600586,0.44,7.16,7.93,0.15,18.04,0.16,-0.13,0.27,0.03,26.27,13.73,14.7,99.61,76,5.55,1.91,1008.26,14.5,573.2,1,-,-,128.51,8777,0,48,2.79,58.04,51.37,1477,99.61,0.03,4.27,71.2,15.69,-3.12,5.47,3.91,-,0.02,4,38.75,28.29,-5.82,-35.22,19,3.18,3.74,31,2.11,12.6,7.93,11.69,5.95,35.6,0.8,0.77,20.47,0,79.53,2271.92,8.24,146,11.54,12,18.82,18,18.02,2.18,45.77,6.17,0.02,1181,35.02,17.08,17.94,-5.45,14.22,14.7,48
Tue Mar 07 06:43:14 GMT-03:00 2023,07-Mar-2023 06:43:17.308,-35.2207686761401,-5.819967002249815,3.626295566558838,6.0,38.91947442369103,24.887392044067383,-0.4,5.46,7.69,0.02,18.04,-0.03,0,0.01,0.01,24.31,11.76,14.7,99.61,75,6.33,2.3,1008.25,14.5,573.2,1,-,-,128.51,8777,0,48,3.67,50.2,46.67,1311.5,99.61,0.03,3.5,58.35,15.69,-3.12,-1.56,-3.12,-,0.02,6,38.92,24.89,-5.82,-35.22,21,3.46,4.92,31,3.43,12.6,7.93,9.58,9.68,35.6,0.82,0.85,22.72,0,77.28,2433.58,8.24,147,13.05,15,17.25,18,26.73,2.24,44.71,6.32,0.03,1181,36.04,18.1,17.94,-8.33,14.28,14.7,46
Tue Mar 07 06:43:15 GMT-03:00 2023,07-Mar-2023 06:43:18.309,-35.22075388009938,-5.819928170880645,4.269906520843506,6.0,39.22133253456252,20.327651977539062,0.87,6.76,7.61,0.1,16.08,0.04,0.12,0.14,0,22.75,11.76,14.7,99.61,75,7,2.68,1008.21,14.5,572.2,1,382.79,382.79,125.3,8777,0,49,3.67,36.86,37.25,1206.5,99.61,0.03,2.17,36.18,15.29,-3.12,-7.81,-3.12,-,0.02,6,39.22,20.33,-5.82,-35.22,20,0.37,4.92,31,6.91,12.6,7.93,5.94,19.52,35.6,0.82,0.85,24.92,0,75.08,1959.26,6.27,148,15.37,15,17.25,18,26.73,2.42,41.26,6.85,0.03,1181.01,37.1,19.16,17.94,-10.19,14.28,14.6,42
Tue Mar 07 06:43:16 GMT-03:00 2023,07-Mar-2023 06:43:19.308,-35.220738907830416,-5.819888890414472,4.075847148895264,6.0,39.16562532079017,18.954490661621094,0.74,6.98,7.64,0.11,16.08,-0.05,0.01,0.07,-0.06,23.14,11.76,14.7,99.61,75,7,2.68,1008.18,14.5,571.5,1,382.79,382.79,125.3,8777,0,49,3.67,36.86,33.33,1206.5,99.61,0.03,2.17,36.18,15.29,-3.12,-7.81,-8.59,-,0.02,6,39.17,18.95,-5.82,-35.22,21,0.37,4.92,31,6.91,12.6,7.93,5.94,19.52,35.6,0.87,0.94,26.84,0,73.16,1959.26,6.27,150,14.67,15,14.9,21,26.73,2.42,41.26,6.85,0.03,1181.01,38.07,20.13,17.94,-10.19,14.3,14.4,42
Tue Mar 07 06:43:17 GMT-03:00 2023,07-Mar-2023 06:43:20.308,-35.220725244826376,-5.819851798548007,4.105720520019531,6.0,38.545427467744695,19.189449310302734,-0.67,4.63,9.17,0.1,16.08,0.04,-0.03,-0.06,0.16,23.14,11.76,14.7,99.61,75,7.57,3.03,1008.17,14.5,571.3,1,391.82,400.84,128.51,8777,0,49,3.67,37.65,33.33,1272,99.61,0.03,2.27,37.89,15.69,-3.12,-8.59,-7.81,-,0.02,6,38.55,19.19,-5.82,-35.22,18,0.33,4.92,31,6.6,12.6,7.93,6.22,18.64,35.6,0.77,0.88,28.7,0,71.3,1625.79,4.31,150,14.78,15,15.29,-5.5,26.73,2.58,38.7,7.3,0.06,1181.04,39.06,21.12,17.94,-9.59,14.28,14.8,40
