GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Air Fuel Ratio(Commanded)(:1),Alcohol Fuel Percentage(%),Android device Battery Level(%),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel trim Bank 1 Sensor 2(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Positive Kinetic Energy (PKE)(km/hr²),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Thu Mar 09 06:44:03 GMT-03:00 2023,09-Mar-2023 06:44:04.048,-35.22094622373244,-5.820093176208046,0.0,32.0,51.00441268264973,294.7059020996094,0.39,6.18,7.31,-0.01,18.82,-0.01,0.08,0.08,-0.06,29.41,14.9,14.7,99.61,87,5,1.88,1008.56,14.5,586,1,-,-,494.36,8869,0,51,1.29,56.47,48.63,1530.5,99.61,0.02,4.5,74.92,60.39,-3.91,9.38,7.03,-,0.01,32,51,294.71,-5.82,-35.22,6,4,1.73,30,0,12.59,7.94,12.3,0,35.57,0.82,0.69,20.52,0,79.48,1617.11,9.02,213,0,4,17.65,18.5,8.05,4.88,20.49,13.78,0.01,1207.76,26.13,11.01,15.12,-4.69,14.28,14.7,48
Thu Mar 09 06:44:04 GMT-03:00 2023,09-Mar-2023 06:44:05.050,-35.220958947732676,-5.820073826746785,1.0675305128097534,32.0,51.253320402314245,327.4202880859375,0.1,6.13,7.14,-0.03,18.82,-0.01,0.07,0.12,-0.09,29.41,14.9,14.7,99.61,87,5.29,2.18,1008.58,14.5,586,1,-,-,481.52,8869,0,51,1.68,53.73,48.63,1476,99.61,0.02,3.97,66.15,58.82,-3.91,4.69,7.03,-,0.01,32,51.25,327.42,-5.82,-35.22,6,3.16,2.26,30,1.01,12.59,7.94,10.86,2.85,35.57,0.82,0.69,22.45,0,77.55,2328.78,9.02,214,3.84,7,19.22,19.5,10.88,4.64,21.56,13.1,0.01,1207.76,27.1,11.97,15.12,-7.77,14.28,14.7,47
Thu Mar 09 06:44:05 GMT-03:00 2023,09-Mar-2023 06:44:06.050,-35.22096225893387,-5.820059025424271,1.590312123298645,32.0,51.388788922101185,1.7204622030258179,-1.45,6.85,8.34,0.12,18.82,0.09,0,0.21,-0.02,29.41,14.9,14.7,99.61,87,5.29,2.18,1008.54,14.5,584.6,1,-,-,481.52,8869,0,51,1.68,53.73,48.63,1476,99.61,0.02,3.97,66.15,58.82,-3.91,4.69,6.25,-,0.01,32,51.39,1.72,-5.82,-35.22,6,3.16,2.26,30,1.01,12.59,7.94,10.86,2.85,35.57,0.74,0.69,24.85,0,75.15,2328.78,9.02,214,5.73,7,19.22,19.5,10.88,4.64,21.56,13.1,0.01,1207.76,27.96,12.84,15.12,-7.77,14.28,14.8,47
Thu Mar 09 06:44:06 GMT-03:00 2023,09-Mar-2023 06:44:07.049,-35.220958818033296,-5.820040179838739,1.590312123298645,48.0,51.32371242936806,1.7204622030258179,0.27,6.57,6.33,-0.06,19.61,0.1,0.06,0.06,0.1,29.02,14.9,14.7,99.61,87,5.29,2.18,1008.57,14.5,584.6,1,-,-,481.52,8869,0,51,1.68,53.73,55.69,1476,99.61,0.02,3.97,66.15,58.82,-3.91,4.69,6.25,-,0.01,48,51.32,1.72,-5.82,-35.22,4,3.16,2.26,30,1.01,12.59,7.94,10.86,2.85,35.57,0.74,0.69,27.8,0,72.2,2328.78,9.41,214,5.73,7,19.22,19.5,10.88,4.64,21.56,13.1,0.01,1207.76,29.1,13.98,15.12,-7.77,14.28,14.8,47
Thu Mar 09 06:44:07 GMT-03:00 2023,09-Mar-2023 06:44:08.049,-35.22094736178151,-5.820016584379828,1.590312123298645,48.0,51.7224747370652,1.7204622030258179,-2.03,5.02,7.47,-0.05,19.61,-0.08,-0.02,0.28,-0.42,29.02,14.9,14.7,99.61,87,6.38,2.83,1008.53,14.5,584.6,1,-,-,468.67,8869,0,51,1.68,67.45,55.69,1510,99.61,0.03,5.24,87.29,57.25,-3.91,6.25,7.03,-,0.02,48,51.72,1.72,-5.82,-35.22,4,8.27,2.26,30,1.34,12.59,7.94,14.33,3.78,35.57,0.24,0.81,30.09,0,69.91,1848.01,9.41,217,5.73,14,21.96,17,-,4.44,22.5,12.55,0.02,1207.77,30.06,14.93,15.12,-5.29,14.26,14.8,51
Thu Mar 09 06:44:08 GMT-03:00 2023,09-Mar-2023 06:44:09.050,-35.22093772935193,-5.819985085424939,3.437169075012207,48.0,51.620885358627206,13.534218788146973,-0.26,5.64,8.1,0.02,21.18,-0.01,0.14,-0.02,0.01,25.1,12.94,14.7,99.61,87,7.78,3.68,1008.47,14.5,581.9,1,845.13,845.13,465.46,8869,0,51,6.17,67.45,55.69,1713.5,99.61,0.03,4.47,74.55,56.86,-3.91,6.25,7.03,-,0.02,48,51.62,13.53,-5.82,-35.22,4,6.63,8.28,30,3.13,12.59,7.94,12.24,8.84,35.57,0.24,0.81,32.51,0,67.49,2074.57,11.76,219,12.37,19,21.96,17,34.39,4.37,22.88,12.35,0.03,1207.78,31.13,16.01,15.12,-6.81,14.26,14.5,51
Thu Mar 09 06:44:09 GMT-03:00 2023,09-Mar-2023 06:44:10.049,-35.220932403830936,-5.819940787941499,5.220022678375244,32.0,51.90557435921476,19.223255157470703,-1.47,4.59,8.28,-0.01,14.12,-0.05,-0.11,-0.03,-0.04,14.9,7.45,14.7,99.61,87,7.78,3.68,1008.45,14.5,581.4,1,845.13,845.13,465.46,8869,0,51,6.17,53.33,20.78,1713.5,99.61,0.03,4.47,74.55,56.86,-3.91,0.78,-0.78,-,0.02,32,51.91,19.22,-5.82,-35.22,4,6.63,8.28,30,3.13,12.59,7.94,12.24,8.84,35.57,0.88,0.93,34.57,0,65.43,2074.57,4.31,219,18.79,19,18.04,-6,34.39,4.37,22.88,12.35,0.03,1207.78,32.11,16.99,15.12,-6.81,14.3,14.7,51
Thu Mar 09 06:44:09 GMT-03:00 2023,09-Mar-2023 06:44:11.049,-35.220932403830936,-5.819940787941499,5.220022678375244,32.0,51.90557435921476,19.223255157470703,0.04,5.37,8.87,0.07,14.12,0.14,-0.15,0.08,0.11,14.9,7.45,14.7,99.61,87,8.7,4.35,1008.44,14.5,581.4,1,510.83,176.54,468.67,8869,0,52,6.17,31.37,20.78,801.5,99.61,0.03,1.27,21.14,57.25,-3.91,-5.47,-0.78,-,0.02,32,51.91,19.22,-5.82,-35.22,4,1.79,8.28,30,14.98,12.59,7.94,3.47,42.32,35.57,0.88,0.93,36.47,0,63.53,1504.2,4.31,220,18.79,17,18.04,5,34.39,4.93,20.29,13.92,0.04,1207.78,33.08,17.95,15.12,-12.58,14.3,14.7,42
Thu Mar 09 06:44:11 GMT-03:00 2023,09-Mar-2023 06:44:12.050,-35.220864688017976,-5.819854682471401,4.283083915710449,24.0,48.733865735709685,26.616004943847656,-0.52,4.5,9.79,0.11,13.73,0.03,0.14,0.08,0,14.9,7.45,14.7,99.61,87,8.7,4.35,1008.37,14.5,581.2,1,510.83,176.54,468.67,8869,0,52,6.17,31.37,19.22,801.5,99.61,0.03,1.27,21.14,57.25,-3.12,-5.47,-7.03,-,0.02,24,48.73,26.62,-5.82,-35.22,6,1.79,8.28,30,14.98,12.59,7.94,3.47,42.32,35.57,0.91,0.97,38.34,0,61.66,1504.2,3.53,220,15.42,17,13.73,5,34.39,4.93,20.29,13.92,0.04,1207.78,34.08,18.95,15.12,-12.58,14.28,14.7,42
Thu Mar 09 06:44:12 GMT-03:00 2023,09-Mar-2023 06:44:13.049,-35.220841584606006,-5.819819975727899,3.826874256134033,24.0,48.05754927352348,28.77326774597168,0.77,5.39,8.66,0.06,13.73,0.08,0.15,0.02,0.09,14.9,7.45,14.7,99.61,87,9,4.71,1008.46,14.5,581.2,1,407.84,201.86,471.88,8869,0,52,-,21.18,19.22,1162.5,99.61,0.03,1.3,21.62,57.65,-3.12,-10.94,-11.72,-,0.02,24,48.06,28.77,-5.82,-35.22,6,1.78,-,30,13.1,12.59,7.94,3.55,37.01,35.57,0.82,0.93,40.21,0,59.79,1204.51,3.53,222,13.78,12,13.73,13.5,-,5.34,18.73,15.08,0.04,1207.79,35.14,20.02,15.12,-10.3,14.28,14.7,38
