GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Air Fuel Ratio(Commanded)(:1),Alcohol Fuel Percentage(%),Android device Battery Level(%),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel trim Bank 1 Sensor 2(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Positive Kinetic Energy (PKE)(km/hr²),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Tue Apr 04 06:40:06 GMT-03:00 2023,04-Apr-2023 06:40:06.663,-35.2208198775179,-5.820073688949619,0.6514390707015991,6.0,38.32897234236742,336.26739501953125,1.17,5.89,7.82,0,16.47,0,0.15,0.04,-0.03,23.92,12.16,14.7,23.53,64,4.12,1.32,1007.69,14.5,472.3,1,-,-,307.41,9738,0,48,0.56,43.92,40.78,1188.5,23.53,0.02,2.42,40.38,37.65,-0.78,-3.91,-4.69,-,0.01,6,38.33,336.27,-5.82,-35.22,22,0.73,0.75,30,0,12.56,7.96,6.63,0,35.49,0.8,0.88,13.93,0,86.07,1336.28,6.67,174,2.35,3,18.04,15.5,4.52,2.47,40.49,6.98,0.01,1392,25.32,12.52,12.8,-6.63,14.3,14.7,37
Tue Apr 04 06:40:07 GMT-03:00 2023,04-Apr-2023 06:40:07.661,-35.22081799459978,-5.820061733427743,1.2124335765838623,6.0,38.745120151097986,349.68450927734375,0.54,6.29,7.39,-0.01,17.65,-0.05,0.08,0.05,-0.11,27.06,14.51,14.7,23.53,64,4.33,1.5,1007.65,14.5,475.5,1,-,-,304.21,9738,0,48,1.25,43.92,43.53,1461.5,23.53,0.02,3.62,60.36,37.25,-0.78,-3.91,-4.69,-,0.01,6,38.75,349.68,-5.82,-35.22,24,1.64,1.67,30,0.83,12.56,7.96,9.91,2.34,35.49,0.8,0.88,13.73,0,86.27,1647.01,7.45,176,4.36,6,18.04,15.5,8.15,2.37,42.14,6.7,0.01,1392,26.44,13.64,12.8,-6.59,14.3,14.7,41
Tue Apr 04 06:40:08 GMT-03:00 2023,04-Apr-2023 06:40:08.664,-35.2208131943053,-5.820051412641314,1.3201488256454468,6.0,38.62512973286963,20.821144104003906,1.13,6.04,7.86,0.02,17.65,0.06,-0.08,0.2,-0.09,27.06,14.51,14.7,23.53,64,4.33,1.5,1007.65,14.5,481.4,1,-,-,304.21,9738,0,48,1.25,49.02,43.53,1461.5,23.53,0.02,3.62,60.36,37.25,-0.78,-0.78,-0.78,-,0.01,6,38.63,20.82,-5.82,-35.22,24,1.64,1.67,30,0.83,12.56,7.96,9.91,2.34,35.49,0.75,0.87,17.04,0,82.96,1647.01,7.06,176,4.75,6,18.04,20,8.15,2.37,42.14,6.7,0.01,1392,27.5,14.69,12.8,-6.59,14.28,14.8,41
Tue Apr 04 06:40:09 GMT-03:00 2023,04-Apr-2023 06:40:09.661,-35.22080901561178,-5.820038620078944,1.9572380781173706,6.0,38.34037949419469,28.61865234375,-0.85,7.36,7.65,0.08,18.04,0.1,-0.08,0.15,0,29.41,14.9,14.7,23.53,64,4.9,1.81,1007.66,14.5,481.4,1,-,-,294.6,9738,0,48,2.47,55.69,47.45,1302,23.53,0.02,3.66,61.03,36.08,-0.78,-6.25,-0.78,-,0.02,6,38.34,28.62,-5.82,-35.22,26,2.95,3.32,30,1.64,12.56,7.96,10.02,4.63,35.49,0.75,0.87,19.77,0,80.23,1890.47,7.06,178,7.05,10,19.22,18.5,18.14,2.33,42.87,6.59,0.02,1392,28.43,15.63,12.8,-7.99,14.28,14.8,42
Tue Apr 04 06:40:10 GMT-03:00 2023,04-Apr-2023 06:40:10.663,-35.22079867386006,-5.820021025734933,2.0200188159942627,6.0,38.37591712232613,30.519180297851562,-0.75,6.1,7.06,-0.05,19.61,0.05,0.05,0.28,-0.18,29.02,14.9,14.7,23.53,64,4.9,1.81,1007.62,14.5,486.6,1,-,-,291.4,9738,0,48,2.47,55.69,52.16,1302,23.53,0.03,4.82,80.34,35.69,-0.78,-6.25,-3.91,-,0.02,6,38.38,30.52,-5.82,-35.22,22,2.95,3.32,30,2.07,12.56,7.96,13.19,5.86,35.49,0.07,0.86,22.62,0,77.38,1890.47,9.41,179,7.27,10,19.22,18.5,18.14,2.32,43.12,6.55,0.02,1392,29.48,16.68,12.8,-4.89,14.24,14.7,48
Tue Apr 04 06:40:11 GMT-03:00 2023,04-Apr-2023 06:40:11.661,-35.220780693888145,-5.819992733116903,2.6963744163513184,6.0,38.253956171469326,30.723215103149414,-0.62,7.99,7.05,0.09,18.43,-0.16,0.02,-0.1,-0.12,22.35,11.76,14.7,23.53,64,5.82,2.29,1007.65,14.5,493.3,1,-,-,291.4,9738,0,48,5.64,60.78,52.16,1542.5,23.53,0.03,4.82,80.34,35.69,-0.78,-3.12,-3.91,-,0.02,6,38.25,30.72,-5.82,-35.22,20,7.73,7.57,30,2.07,12.56,7.96,13.19,5.86,35.49,0.17,0.84,25.16,0,74.84,2172.4,8.63,179,9.71,15,20.39,18.5,34.93,2.32,43.12,6.55,0.02,1392.01,30.48,17.68,12.8,-4.89,14.28,14.8,48
Tue Apr 04 06:40:12 GMT-03:00 2023,04-Apr-2023 06:40:12.661,-35.22075886343775,-5.819949022260948,2.388190507888794,6.0,38.14991523153179,27.552915573120117,-0.92,3.9,9,0,18.43,-0.16,0.2,-0.02,-0.2,22.35,11.76,14.7,23.53,64,6.83,2.83,1007.6,14.5,493.3,1,558.08,558.08,291.39,9738,0,48,4.23,43.14,48.24,1470.5,23.53,0.03,3.16,52.75,35.69,-1.56,3.91,1.56,-,0.02,6,38.15,27.55,-5.82,-35.22,20,8.29,5.68,30,4.74,12.56,7.96,8.66,13.39,35.49,0.79,0.83,27.42,0,72.58,2336.72,8.63,181,8.6,18,16.08,21.5,27.49,2.44,40.98,6.89,0.03,1392.01,31.43,18.62,12.8,-9.17,14.22,14.8,45
Tue Apr 04 06:40:13 GMT-03:00 2023,04-Apr-2023 06:40:13.661,-35.22074538438791,-5.819901164109053,2.6015846729278564,6.0,38.04929389796656,19.295637130737305,-0.24,5.65,8.58,0.05,13.33,0.04,0.03,-0.06,0.08,20.39,10.59,14.7,23.53,64,7.54,3.27,1007.55,14.5,497.9,1,385.64,213.2,291.39,9738,0,49,4.23,22.35,21.96,1246,23.53,0.03,1.45,24.18,35.69,-1.56,-2.34,1.56,-,0.02,6,38.05,19.3,-5.82,-35.22,20,6.63,5.68,30,12.41,12.56,7.96,3.97,35.04,35.49,0.79,0.83,29.81,0,70.19,1871.82,4.31,182,9.37,16,16.08,21.5,27.49,2.91,34.31,8.23,0.04,1392.02,32.5,19.7,12.8,-11.94,14.22,14.8,38
Tue Apr 04 06:40:14 GMT-03:00 2023,04-Apr-2023 06:40:14.661,-35.220731581282486,-5.8198551726564585,3.674276351928711,6.0,37.830329679816735,18.21310806274414,1.3,5.23,8.1,-0.01,12.55,0,0.16,-0.01,0,14.9,10.59,14.7,23.53,64,7.54,3.27,1007.52,14.5,499.7,1,385.64,213.2,291.39,9738,0,49,4.23,22.35,21.96,1246,23.53,0.03,1.45,24.18,35.69,-4.69,-2.34,-3.12,-,0.02,6,37.83,18.21,-5.82,-35.22,22,6.63,5.68,30,12.41,12.56,7.96,3.97,35.04,35.49,0.82,0.82,31.84,0,68.16,1871.82,2.35,182,13.23,16,13.73,3.5,27.49,2.91,34.31,8.23,0.06,1392.05,33.47,20.66,12.8,-11.94,14.2,14.8,38
Tue Apr 04 06:40:15 GMT-03:00 2023,04-Apr-2023 06:40:15.667,-35.220717649778145,-5.819816428860895,3.8902993202209473,6.0,37.78013762894565,19.83632469177246,0.56,5.47,8.63,0.05,12.55,-0.1,0.15,0.02,-0.16,14.9,7.45,14.7,23.53,64,7.86,3.55,1007.5,14.5,499.7,1,316.3,177.62,294.6,9738,0,49,-,23.53,17.25,923,23.53,0.03,1.07,17.91,36.08,-4.69,-6.25,-3.12,-,0.02,6,37.78,19.84,-5.82,-35.22,26,2.01,-,30,14.89,12.56,7.96,2.94,42.06,35.49,0.82,0.82,33.79,0,66.21,1026.96,2.35,184,14.01,12,13.33,2,-,3.46,28.91,9.77,0.06,1392.05,34.51,21.7,12.8,-12.26,14.22,14.8,32
