GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Air Fuel Ratio(Commanded)(:1),Alcohol Fuel Percentage(%),Android device Battery Level(%),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel trim Bank 1 Sensor 2(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Positive Kinetic Energy (PKE)(km/hr²),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Fri Mar 24 06:37:35 GMT-03:00 2023,24-Mar-2023 06:37:38.296,-35.22077703980085,-5.820124858471593,0.0,12.0,45.989885666571624,263.0711975097656,-0.24,5.75,7.84,0.01,13.33,0,0.02,0.04,-0.02,14.9,7.45,14.7,39.22,45,4.57,2.29,1008.46,14.5,431.1,1,-,-,346.7,9367,0,43,-,31.76,27.84,832.5,39.22,0.01,1.33,22.11,42.35,-0.78,-1.56,-1.56,-,0.01,12,45.99,263.07,-5.82,-35.22,12,1.13,-,30,0,12.59,7.94,3.63,0,35.58,0.67,0.46,20.78,0,79.22,1393.35,3.53,120,0,0,13.73,3,-,2.54,39.42,7.17,0.01,1303.01,15.85,9.99,5.86,-10.26,14.3,14.8,29
Fri Mar 24 06:37:36 GMT-03:00 2023,24-Mar-2023 06:37:39.296,-35.22077679206402,-5.820123197433043,0.7692113518714905,12.0,45.712498195231554,264.4246826171875,-0.02,5.47,7.82,-0.01,13.33,-0.02,0.04,0.02,-0.02,14.9,7.45,14.7,39.22,45,4.25,2.27,1008.44,14.5,435.9,1,-,-,346.7,9367,0,43,0.4,31.37,28.24,784,39.22,0.01,1.18,19.74,42.35,-1.56,-1.56,-1.56,-,0.01,12,45.71,264.42,-5.82,-35.22,12,2,0.54,30,0,12.59,7.94,3.24,0,35.58,0.81,0.46,19.55,0,80.45,1393.35,3.53,121,2.77,2,13.73,3.5,4.88,2.53,39.57,7.14,0.01,1303.01,16.85,10.34,6.51,-10.81,14.3,14.8,28
Fri Mar 24 06:37:37 GMT-03:00 2023,24-Mar-2023 06:37:40.296,-35.22078375172564,-5.820117952124472,1.0627806186676025,8.0,45.09185922039162,287.2486267089844,0.01,4.63,8.71,0.02,13.33,0,0.05,-0.06,0.06,14.9,7.45,14.7,39.22,45,4.22,2.38,1008.46,14.5,435.9,1,-,-,346.7,9367,0,43,0.4,30.59,27.84,803,39.22,0.01,1.26,20.95,42.35,-0.78,-5.47,-5.47,-,0.01,8,45.09,287.25,-5.82,-35.22,13,1.23,0.54,30,1.59,12.59,7.94,3.44,4.49,35.58,0.74,0.46,18.35,0,81.65,1676.8,3.53,122,3.83,4,14.51,9,4.88,2.46,40.64,6.95,0.01,1303.01,17.95,11.44,6.51,-10.34,14.22,14.7,28
Fri Mar 24 06:37:38 GMT-03:00 2023,24-Mar-2023 06:37:41.296,-35.2207893932398,-5.820114847818394,1.069200873374939,8.0,45.243870401134345,286.30487060546875,-0.2,5.1,8.38,0.02,14.12,0,0.04,0,0.02,14.9,7.45,14.7,39.22,45,4,2.35,1008.47,14.5,435.9,1,-,-,343.49,9367,0,43,0.4,36.47,31.37,817,39.22,0.01,1.45,24.18,41.96,-0.78,-2.34,-5.47,-,0.01,8,45.24,286.3,-5.82,-35.22,14,1.83,0.54,30,2.76,12.59,7.94,3.97,7.79,35.58,0.74,0.46,17.41,0,82.59,1527.52,4.31,123,3.85,2,14.51,6,4.88,2.48,40.32,7.01,0.01,1303.02,18.92,12.41,6.51,-9.81,14.22,14.7,29
Fri Mar 24 06:37:39 GMT-03:00 2023,24-Mar-2023 06:37:42.296,-35.2207983763712,-5.820111249086585,0.5587939023971558,8.0,45.6253615205026,284.21142578125,0.15,5.13,8.3,0.01,14.12,0.01,0.05,0,0.04,14.9,7.45,14.7,39.22,45,3.82,2.33,1008.49,14.5,440.5,1,-,-,343.49,9367,0,43,-,40,34.51,814.5,39.22,0.01,1.65,27.53,41.96,0,-4.69,-2.34,-,0.01,8,45.63,284.21,-5.82,-35.22,19,1.85,-,30,1.21,12.59,7.94,4.52,3.42,35.57,0.8,0.46,16.51,0,83.49,1443.84,4.31,124,2.01,2,14.51,6,-,2.4,41.65,6.78,0.01,1303.02,19.96,13.45,6.51,-9.25,13.68,14.1,31
Fri Mar 24 06:37:40 GMT-03:00 2023,24-Mar-2023 06:37:43.300,-35.22080281180064,-5.820104536966436,0.5433092713356018,8.0,45.522951039674204,287.9477233886719,0.21,5.89,7.65,0,14.12,-0.01,0.05,0.06,-0.04,14.9,7.45,14.7,39.22,45,3.82,2.33,1008.47,14.5,440.5,1,-,-,346.7,9367,0,44,-,40,34.9,835,39.22,0.01,1.65,27.53,42.35,0,-4.69,-5.47,-,0.01,8,45.52,287.95,-5.82,-35.22,20,1.85,-,30,1.21,12.59,7.94,4.52,3.42,35.57,0.81,0.46,15.73,0,84.27,1443.84,4.31,125,1.96,2,14.51,4.5,-,2.33,42.9,6.58,0.01,1303.02,20.94,14.43,6.51,-9.24,14.28,14.8,32
Fri Mar 24 06:37:41 GMT-03:00 2023,24-Mar-2023 06:37:44.296,-35.22080376929133,-5.820098399561416,0.4206695556640625,8.0,45.23621316843189,284.5069885253906,0.05,5.45,8.15,0.02,14.12,0,0.05,0,0,14.9,7.45,14.7,39.22,45,3.82,2.21,1008.46,14.5,444.6,1,-,-,346.7,9367,0,44,-,40,35.29,835,39.22,0.01,1.65,27.53,42.35,0,-7.81,-6.25,-,0.01,8,45.24,284.51,-5.82,-35.22,23,1.96,-,30,1.21,12.59,7.94,4.52,3.42,35.57,0.12,0.45,15,0,85,1443.84,4.31,127,1.51,0,14.51,3,-,2.33,42.9,6.58,0.01,1303.02,21.95,14.43,7.52,-9.24,14.3,14.8,32
Fri Mar 24 06:37:42 GMT-03:00 2023,24-Mar-2023 06:37:45.296,-35.22080141803236,-5.820094050979378,0.3318539559841156,8.0,44.89122728797434,286.9034729003906,0.04,5.41,8.23,0.02,14.12,-0.01,0.05,0.01,0,14.9,7.45,14.7,39.22,45,3.82,2.1,1008.5,14.5,444.6,1,-,-,346.69,9367,0,44,-,39.61,33.73,845,39.22,0.02,1.67,27.9,42.35,0,-3.91,-3.12,-,0.01,8,44.89,286.9,-5.82,-35.22,23,1.51,-,30,0,12.59,7.94,4.58,0,35.57,0.09,0.46,14.36,0,85.64,1443.84,4.31,128,1.19,0,14.51,2,-,2.32,43.02,6.57,0.01,1303.02,22.94,14.43,8.51,-9.3,14.22,14.8,33
Fri Mar 24 06:37:43 GMT-03:00 2023,24-Mar-2023 06:37:46.296,-35.22080141803236,-5.820094050979378,0.0,8.0,44.036992893344355,286.9034729003906,-0.1,5.8,7.97,0.02,14.12,0,0.05,0.04,0,15.69,10.59,14.7,39.22,45,3.82,2,1008.46,14.5,444.6,1,-,-,346.69,9367,0,44,-,38.43,34.9,832.5,39.22,0.02,1.63,27.23,42.35,0,-0.78,0,-,0.01,8,44.04,286.9,-5.82,-35.22,25,1.19,-,30,0,12.59,7.94,4.47,0,35.57,0.28,0.46,13.77,0,86.23,1443.84,4.31,128,0,0,14.51,3,-,2.32,43.13,6.55,0.01,1303.02,23.91,14.43,9.48,-9.48,14.26,14.8,33
Fri Mar 24 06:37:44 GMT-03:00 2023,24-Mar-2023 06:37:47.296,-35.22080388016625,-5.82008862843751,0.33274441957473755,8.0,43.555527134349006,290.06475830078125,0.15,5.79,7.77,0,14.12,-0.01,0.06,0.04,-0.02,15.69,10.59,14.7,39.22,45,3.82,1.91,1008.48,14.5,450.7,1,-,-,330.64,9367,0,44,-,46.67,34.9,871.5,39.22,0.02,1.81,30.09,40.39,0.78,-1.56,-3.12,-,0.01,8,43.56,290.06,-5.82,-35.22,23,0,-,30,0,12.59,7.94,4.94,0,35.57,0.85,0.46,13.22,0,86.78,1443.84,4.31,129,1.2,0,15.29,14,-,2.31,43.23,6.53,0.01,1303.02,24.92,14.43,10.49,-8.87,14.3,14.7,34
