GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Air Fuel Ratio(Commanded)(:1),Alcohol Fuel Percentage(%),Android device Battery Level(%),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel trim Bank 1 Sensor 2(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Positive Kinetic Energy (PKE)(km/hr²),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Thu Dec 01 06:44:25 GMT-03:00 2022,01-Dec-2022 06:44:28.376,-35.22082493747904,-5.820010340960914,0.0,12.0,61.260428060224896,0.0,0.77,5.69,8.4,0.05,14.12,0.03,0.09,0.01,0.04,14.9,7.45,14.7,24.71,91,3.83,1.92,1007.85,14.5,430.5,1,-,-,155.84,2904,0,46,0.85,38.04,33.73,935,24.71,0.02,1.71,28.57,19.22,0.78,0.78,0.78,-,0.01,12,61.26,0,-5.82,-35.22,10,5,1.14,30,2.33,12.48,8.02,4.69,6.59,35.24,0.81,0.46,7.98,0,92.02,2077.1,4.31,140,0,5,14.51,3,8.13,2.2,45.46,6.21,0.01,526.3,22.72,14.02,8.71,-10.05,13.58,13.9,33
Thu Dec 01 06:44:26 GMT-03:00 2022,01-Dec-2022 06:44:29.377,-35.22082249698481,-5.82001305513352,0.0,12.0,59.86272020585065,0.0,0.86,6.01,8,0.04,18.04,-0.02,0.09,0.03,-0.04,24.71,12.55,14.7,24.71,91,3.85,2,1007.88,14.5,435.2,1,-,-,155.83,2904,0,46,0.85,39.61,48.63,860,24.71,0.02,1.73,28.87,19.22,0.78,-1.56,-1.56,-,0.01,12,59.86,0,-5.82,-35.22,11,4,1.14,30,2.89,12.48,8.02,4.74,8.15,35.24,0.82,0.46,7.65,0,92.35,1873.27,7.84,141,0,4,14.51,3.5,8.13,2.23,44.79,6.31,0.01,526.3,23.7,15,8.71,-9.69,14.28,14.5,33
Thu Dec 01 06:44:27 GMT-03:00 2022,01-Dec-2022 06:44:30.375,-35.2208194221932,-5.820016087916599,1.766478180885315,12.0,55.79265036515467,338.1302490234375,1.01,6.49,7.52,0.03,18.04,-0.01,0.06,0.05,-0.03,25.1,12.94,14.7,24.71,91,3.93,2.12,1007.84,14.5,435.2,1,-,-,155.83,2904,0,46,0.85,53.33,47.06,1288,24.71,0.02,3.57,59.51,19.22,2.34,-0.78,-1.56,-,0.01,12,55.79,338.13,-5.82,-35.22,8,5,1.14,30,1.12,12.48,8.02,9.77,3.16,35.24,0.75,0.46,7.34,0,92.66,2080.66,8.24,143,6.36,5,18.43,18.5,8.13,2.18,45.83,6.16,0.01,526.3,24.73,16.02,8.71,-3.72,14.26,14.5,43
Thu Dec 01 06:44:28 GMT-03:00 2022,01-Dec-2022 06:44:31.376,-35.22082461336688,-5.820013648595153,2.1527185440063477,12.0,55.54814851812583,337.4951171875,1.42,5.99,6.68,-0.06,18.43,-0.03,0.14,0.03,-0.06,28.24,14.51,14.7,24.71,91,4.13,2.3,1007.85,14.5,435.2,1,-,-,149.47,2904,0,46,1.15,52.55,47.84,1506.5,24.71,0.02,3.87,64.44,18.43,2.34,-0.78,-2.34,-,0.01,12,55.55,337.5,-5.82,-35.22,10,0.64,1.55,30,1.29,12.48,8.02,10.58,3.65,35.24,0.69,0.46,10.23,0,89.77,2326.91,8.63,143,7.75,7,18.43,19.5,7.31,2.14,46.66,6.05,0.02,526.3,25.71,17.01,8.71,-6.7,14.26,14.5,45
Thu Dec 01 06:44:29 GMT-03:00 2022,01-Dec-2022 06:44:32.377,-35.22082876226211,-5.819991816020402,2.8706140518188477,12.0,54.25674949352929,2.612121820449829,2.06,6.02,9.04,0.14,18.82,-0.11,0.16,-0.06,-0.09,27.45,14.12,14.7,24.71,91,4.44,2.54,1007.8,14.5,447.7,1,-,-,149.47,2904,0,46,1.15,58.43,52.55,1406,24.71,0.02,4.27,71.2,18.43,2.34,1.56,-0.78,-,0.02,12,54.26,2.61,-5.82,-35.22,10,1.25,1.55,30,1.64,12.48,8.02,11.69,4.63,35.24,0.77,0.46,13.57,0,86.43,2572.71,9.02,144,10.33,9,19.22,16.5,7.31,2.12,47.12,5.99,0.02,526.3,26.71,18,8.71,-7.14,14.3,14.5,46
Thu Dec 01 06:44:30 GMT-03:00 2022,01-Dec-2022 06:44:33.377,-35.2208242119405,-5.819973516854992,3.7129106521606445,12.0,52.40339544052225,12.197157859802246,-0.95,6.16,7.81,0.03,20,-0.1,0.08,0.11,-0.22,28.63,14.9,14.7,24.71,91,4.88,2.86,1007.8,14.5,447.7,1,-,-,149.47,2904,0,46,3.34,60,57.65,1473,24.71,0.02,4.46,74.25,16.86,2.34,-1.56,-0.78,-,0.02,12,52.4,12.2,-5.82,-35.22,13,1.67,4.47,30,2.02,12.48,8.02,12.19,5.71,35.24,0.09,0.46,16.69,0,83.31,2803,10.2,146,13.37,12,20.39,18,21.63,2.12,47.21,5.98,0.02,526.3,27.71,19,8.71,-6.27,14.3,14.5,48
Thu Dec 01 06:44:31 GMT-03:00 2022,01-Dec-2022 06:44:34.378,-35.2208231088475,-5.819943970639066,4.411510944366455,8.0,52.93956844066089,20.088048934936523,-0.62,4.93,7.87,-0.04,20,0,0.14,-0.03,0.02,28.63,14.9,14.7,24.71,91,5.44,3.27,1007.77,14.5,447.7,1,-,-,136.74,2904,0,46,4.44,66.67,57.65,1541,24.71,0.02,5.25,87.47,16.86,2.34,-3.91,-2.34,-,0.02,8,52.94,20.09,-5.82,-35.22,15,1.63,5.96,30,2.29,12.48,8.02,14.36,6.46,35.24,0.08,0.46,19.4,0,80.6,2950.56,10.2,146,15.88,15,21.18,18,27.53,2.12,47.07,6,0.03,526.31,28.64,19.93,8.71,-5.25,14.3,14.5,52
Thu Dec 01 06:44:32 GMT-03:00 2022,01-Dec-2022 06:44:35.377,-35.22081038447483,-5.819908281127157,5.1680216789245605,8.0,52.598914813612176,19.615209579467773,-0.06,6.43,7.65,0.03,20.39,0.1,0.19,0.09,0.05,23.53,12.16,14.7,24.71,91,6.11,3.74,1007.72,14.5,447.7,1,737.23,737.23,133.56,2904,0,47,3.86,50.98,52.94,1602,24.71,0.03,4.18,69.68,16.47,2.34,0.78,-2.34,-,0.02,8,52.6,19.62,-5.82,-35.22,13,2.12,5.18,30,3.59,12.48,8.02,11.44,10.13,35.24,0.08,0.46,22.37,0,77.63,2871.58,10.2,148,18.6,18,17.65,21,23.03,2.18,45.9,6.15,0.03,526.32,29.73,21.03,8.71,-7.46,14.38,14.6,51
Thu Dec 01 06:44:33 GMT-03:00 2022,01-Dec-2022 06:44:36.376,-35.22079409705728,-5.819865609864187,5.616116046905518,8.0,53.33316916590354,24.188085556030273,0.53,6.43,8.1,0.07,16.08,0.03,0.15,0.03,0.01,14.9,7.45,14.7,24.71,91,6.7,4.19,1007.69,14.5,470.9,1,503.41,269.59,133.56,2904,0,47,3.86,29.02,31.37,1320,24.71,0.03,1.83,30.58,16.47,2.34,-0.78,1.56,-,0.02,8,53.33,24.19,-5.82,-35.22,16,0.6,5.18,30,9.81,12.48,8.02,5.02,27.71,35.24,0.09,0.46,24.89,0,75.11,2458.43,6.27,149,20.22,18,13.33,-4.5,23.03,2.45,40.79,6.92,0.04,526.32,30.73,22.02,8.71,-11.53,14.22,14.4,43
Thu Dec 01 06:44:34 GMT-03:00 2022,01-Dec-2022 06:44:37.378,-35.22077451833052,-5.819820970157636,4.967050552368164,8.0,53.84898024240394,22.374784469604492,-0.25,5.3,8.66,0.05,12.94,-0.01,-0.02,-0.06,0.04,14.9,7.45,14.7,24.71,91,7.14,4.55,1007.72,14.5,470.9,1,382.69,141.24,133.56,2904,0,47,3.86,18.43,17.25,1031.5,24.71,0.03,0.96,16.02,16.47,0,-3.12,-3.12,-,0.02,8,53.85,22.37,-5.82,-35.22,20,4.22,5.18,30,18.73,12.48,8.02,2.63,52.9,35.24,0.88,0.46,27.24,0,72.76,2194.16,2.75,150,17.88,16,12.55,9.5,23.03,3.01,33.19,8.51,0.04,526.32,31.73,23.02,8.71,-12.61,14.3,14.6,35
