GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Air Fuel Ratio(Commanded)(:1),Alcohol Fuel Percentage(%),Android device Battery Level(%),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel trim Bank 1 Sensor 2(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Positive Kinetic Energy (PKE)(km/hr²),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Fri Dec 02 06:39:08 GMT-03:00 2022,02-Dec-2022 06:39:08.962,-35.22076738828798,-5.820073537498727,0.0,8.0,39.49590636070347,274.67681884765625,0,5.51,7.96,-0.02,13.73,0,0,-0.05,0.03,14.9,7.45,14.7,23.92,63,4.88,1.62,1008.86,14.5,539.2,1,-,-,314.98,2945,0,58,-,40,35.29,785.5,23.92,0.02,1.46,24.3,38.82,-0.78,-3.12,-3.91,-,0.01,8,39.5,274.68,-5.82,-35.22,15,0,-,32,0,12.48,8.01,3.99,0,35.26,0.8,0.79,17.9,0,82.1,1218.62,3.92,306,0,0,14.12,3,-,3.2,31.23,9.05,0.01,539.22,19.02,9.68,9.33,-9.6,14.22,14.5,32
Fri Dec 02 06:39:09 GMT-03:00 2022,02-Dec-2022 06:39:09.959,-35.22076738828798,-5.820073537498727,0.0,8.0,39.02153066391287,274.67681884765625,0.05,5.52,8.15,-0,13.73,0,0,-0.06,0.04,14.9,7.45,14.7,23.92,63,4.56,1.64,1008.87,14.5,539.9,1,-,-,314.98,2945,0,58,0.39,38.82,33.73,740.5,23.92,0.02,1.48,24.67,38.82,-0.78,-1.56,-3.91,-,0.01,8,39.02,274.68,-5.82,-35.22,14,2,0.52,32,0,12.48,8.01,4.05,0,35.26,0.8,0.82,17,0,83,1218.62,3.92,307,0,2,14.12,3,5,3.19,31.32,9.02,0.01,539.22,20.02,9.93,10.09,-9.58,14.22,14.5,32
Fri Dec 02 06:39:10 GMT-03:00 2022,02-Dec-2022 06:39:10.960,-35.22076738828798,-5.820073537498727,0.0,8.0,38.82814198576759,274.67681884765625,0.07,5.44,8.22,-0,12.94,0.04,0.11,-0.08,0.09,14.9,7.45,14.7,23.92,63,4.4,1.69,1008.89,14.5,539.9,1,-,-,314.98,2945,0,58,0.28,31.37,25.49,775.5,23.92,0.02,1.13,18.76,38.82,-1.56,-1.56,-0.78,-,0.02,8,38.83,274.68,-5.82,-35.22,15,3,0.38,32,1.78,12.48,8.01,3.08,5.02,35.26,0.09,0.87,16.19,0,83.81,1395.64,3.14,308,0,3,13.73,-3,3.48,3.11,32.16,8.78,0.01,539.22,21.02,10.93,10.09,-10.53,14.34,14.6,31
Fri Dec 02 06:39:11 GMT-03:00 2022,02-Dec-2022 06:39:11.960,-35.2207773911937,-5.820083495681646,0.548052191734314,8.0,38.57476769556249,276.9020080566406,0.25,4.4,8.63,-0.02,13.33,0,0.02,-0.18,0.11,14.9,7.45,14.7,23.92,63,4.4,1.69,1008.92,14.5,540.5,1,-,-,314.98,2945,0,58,0.28,31.37,26.67,775.5,23.92,0.02,1.13,18.76,39.22,-1.56,2.34,2.34,-,0.02,8,38.57,276.9,-5.82,-35.22,17,3,0.38,32,1.78,12.48,8.01,3.08,5.02,35.26,0.08,0.85,15.47,0,84.53,1395.64,3.14,309,1.97,3,13.33,1.5,3.48,3.11,32.16,8.78,0.01,539.22,22.01,11.91,10.09,-10.53,14.34,14.6,31
Fri Dec 02 06:39:12 GMT-03:00 2022,02-Dec-2022 06:39:12.959,-35.2207773911937,-5.820083495681646,0.0,8.0,38.591695274457244,276.9020080566406,0.16,5.41,8.16,-0.01,13.33,0,0.03,-0.07,0.04,14.9,7.45,14.7,23.92,63,4.27,1.74,1008.92,14.5,540.6,1,-,-,318.16,2945,0,58,0.28,32.94,27.45,865,23.92,0.02,1.27,21.14,39.22,-1.56,5.47,5.47,-,0.02,8,38.59,276.9,-5.82,-35.22,15,1.03,0.38,32,2.37,12.48,8.01,3.47,6.68,35.26,0.81,0.83,14.79,0,85.21,1286.76,3.53,309,0,3,13.73,3,3.48,3.07,32.59,8.67,0.01,539.22,23.02,12.92,10.09,-10.23,14.28,14.5,30
Fri Dec 02 06:39:13 GMT-03:00 2022,02-Dec-2022 06:39:13.958,-35.2207773911937,-5.820083495681646,0.0,8.0,38.61578915279443,276.9020080566406,0.4,5.34,8.19,-0.01,13.33,-0.01,0.07,-0.08,0.03,14.9,7.45,14.7,23.92,63,4.27,1.68,1008.9,14.5,540.7,1,-,-,321.34,2945,0,59,0.28,31.37,27.45,780.5,23.92,0.02,1.18,19.74,39.61,-1.56,0.78,0,-,0.02,8,38.62,276.9,-5.82,-35.22,18,0,0.38,32,2.53,12.48,8.01,3.24,7.16,35.26,0.84,0.82,14.17,0,85.83,1286.76,3.53,311,0,0,13.33,3.5,3.48,3.04,32.9,8.59,0.01,539.22,24.02,13.28,10.74,-10.92,14.3,14.5,29
Fri Dec 02 06:39:14 GMT-03:00 2022,02-Dec-2022 06:39:14.959,-35.2207773911937,-5.820083495681646,0.0,8.0,38.37312603538793,276.9020080566406,0.19,5.57,8.35,0.02,13.33,0.01,0.06,-0.03,0.03,14.9,7.45,14.7,23.92,63,4.27,1.62,1008.89,14.5,540.7,1,-,-,318.15,2945,0,59,-,30.59,25.88,759,23.92,0.02,1.18,19.74,39.22,-1.56,0,0,-,0.02,8,38.37,276.9,-5.82,-35.22,19,0,-,32,0,12.48,8.01,3.24,0,35.26,0.84,0.82,13.61,0,86.39,1286.76,3.14,312,0,0,13.33,5,-,3.03,32.97,8.57,0.01,539.22,25.02,13.28,11.74,-10.54,14.34,14.5,28
Fri Dec 02 06:39:15 GMT-03:00 2022,02-Dec-2022 06:39:15.959,-35.2207773911937,-5.820083495681646,0.0,8.0,37.83333880308753,276.9020080566406,0.29,5.45,8.15,-0.01,13.33,-0.01,0.05,-0.08,0.03,14.9,7.45,14.7,23.92,63,4.27,1.57,1008.91,14.5,540.9,1,-,-,308.61,2945,0,59,-,33.33,27.06,785.5,23.92,0.02,1.25,20.77,38.04,-1.56,3.12,0.78,-,0.02,8,37.83,276.9,-5.82,-35.22,18,0,-,32,0,12.48,8.01,3.41,0,35.26,0.09,0.82,13.08,0,86.92,1286.76,3.14,313,0,0,13.33,5,-,3.03,33.05,8.55,0.01,539.22,26.02,13.28,12.74,-10.21,14.34,14.5,28
Fri Dec 02 06:39:16 GMT-03:00 2022,02-Dec-2022 06:39:16.960,-35.2207773911937,-5.820083495681646,0.0,8.0,37.719542907505584,276.9020080566406,0.29,5.78,8.03,0,13.33,0,0.03,-0.04,0.03,14.9,7.45,14.7,23.92,63,4.27,1.52,1008.88,14.5,540.9,1,-,-,308.61,2945,0,59,-,33.73,28.24,823.5,23.92,0.02,1.34,22.29,38.04,-1.56,3.12,3.91,-,0.02,8,37.72,276.9,-5.82,-35.22,19,0,-,32,0,12.48,8.01,3.66,0,35.26,0.1,0.85,12.6,0,87.4,1286.76,3.53,314,0,0,14.12,0.5,-,3.02,33.12,8.53,0.01,539.22,27.01,13.28,13.73,-10.05,14.34,14.4,29
Fri Dec 02 06:39:17 GMT-03:00 2022,02-Dec-2022 06:39:17.958,-35.2207773911937,-5.820083495681646,0.0,8.0,37.865008356138,276.9020080566406,0.25,5.76,7.96,-0,13.73,0,0.02,-0.04,0.02,14.9,7.45,14.7,23.92,63,4.27,1.52,1008.87,14.5,541,1,-,-,308.61,2945,0,59,-,33.73,33.33,823.5,23.92,0.02,1.34,22.29,37.25,-0.78,3.12,2.34,-,0.02,8,37.87,276.9,-5.82,-35.22,19,0,-,32,0,12.48,8.01,3.66,0,35.26,0.82,0.83,12.15,0,87.85,1286.76,3.92,315,0,0,14.51,13.5,-,3.02,33.12,8.53,0.01,539.22,28.02,13.28,14.74,-10.05,13.56,14,29
