GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Air Fuel Ratio(Commanded)(:1),Alcohol Fuel Percentage(%),Android device Battery Level(%),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel trim Bank 1 Sensor 2(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Positive Kinetic Energy (PKE)(km/hr²),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Tue Mar 18 06:37:10 GMT-03:00 2003,01-Nov-2022 06:37:16.780,-35.220666336364665,-5.82005355570896,0.0,48.0,42.3792322175522,0.0,-0.18,5.2,8.25,-0.02,13.33,0,0.06,-0.05,0.03,14.9,7.45,14.7,30.59,40,3.6,1.8,1010.71,14.5,405.9,1,-,-,486.38,1824,0,43,-,32.94,28.24,807,30.59,0.01,1.33,22.11,60,-15.62,-9.38,-9.38,-,0.01,48,42.38,0,-5.82,-35.22,0,0,-,30,0,12.47,8.02,3.63,0,35.23,0.07,0.46,0,0,100,740.25,3.14,122,0,0,13.73,3,-,2.07,48.32,5.85,0.01,295,11.23,9.11,2.12,-10,14.3,14.5,31
Tue Mar 18 06:37:10 GMT-03:00 2003,01-Nov-2022 06:37:17.778,-35.220666336364665,-5.82005355570896,0.0,48.0,42.3792322175522,0.0,0.01,5.25,8.26,-0.02,13.33,0.01,0.02,-0.07,0.04,14.9,7.45,14.7,30.59,40,3.6,1.5,1010.71,14.5,408,1,-,-,486.38,1824,0,43,-,32.16,28.24,833.5,30.59,0.01,1.35,22.48,60,-15.62,-6.25,-5.47,-,0.01,48,42.38,0,-5.82,-35.22,0,0,-,30,0,12.47,8.02,3.69,0,35.23,0.09,0.46,0,0,100,740.25,3.53,123,0,0,13.73,3,-,2.06,48.61,5.81,0.01,295,12.22,9.11,3.11,-10.16,14.3,14.6,30
Tue Mar 18 06:37:18 GMT-03:00 2003,01-Nov-2022 06:37:18.778,-35.22074701119686,-5.820060907838962,0.0,32.0,43.216262080282945,0.0,-0.37,5.16,8.41,-0.01,13.33,0.01,0.07,-0.05,0.03,14.9,7.45,14.7,30.59,40,3.6,1.5,1010.67,14.5,408,1,-,-,489.56,1824,0,43,-,32.16,27.45,805,30.59,0.01,1.32,21.99,60.39,-15.62,-3.91,-3.12,-,0.01,32,43.22,0,-5.82,-35.22,6,0,-,30,0,12.47,8.02,3.61,0,35.23,0.19,0.46,0,0,100,740.25,3.53,124,-,0,13.73,2,-,2.05,48.87,5.78,0.01,295,13.23,9.11,4.11,-10.39,14.28,14.5,30
Tue Mar 18 06:37:19 GMT-03:00 2003,01-Nov-2022 06:37:19.778,-35.22074701119686,-5.820060907838962,0.0,32.0,43.627026387441624,0.0,0.06,5.18,8.37,-0.01,13.33,0.01,0.04,-0.05,0.04,14.9,7.45,14.7,30.59,40,3.6,1.38,1010.71,14.5,411.3,1,-,-,489.56,1824,0,43,-,31.76,27.45,805,30.59,0.01,1.32,21.99,60.39,-15.62,-3.12,-3.12,-,0.01,32,43.63,0,-5.82,-35.22,6,0,-,30,0,12.47,8.02,3.61,0,35.23,0.82,0.46,0,0,100,740.25,3.53,125,-,0,13.73,2,-,2.04,49.1,5.75,0.01,295,14.19,9.11,5.08,-10.25,14.28,14.6,29
Tue Mar 18 06:37:20 GMT-03:00 2003,01-Nov-2022 06:37:20.781,-35.22074701119686,-5.820060907838962,0.0,32.0,42.30196035655535,0.0,-0.17,5.45,8.1,-0.02,13.33,0.01,0.05,-0.02,0.02,14.9,7.45,14.7,30.59,40,3.6,1.29,1010.68,14.5,411.3,1,-,-,489.56,1824,0,43,-,31.76,29.02,827.5,30.59,0.01,1.32,21.99,60.39,-15.62,-6.25,-6.25,-,0.01,32,42.3,0,-5.82,-35.22,6,0,-,30,0,12.47,8.02,3.61,0,35.23,0.83,0.45,0,0,100,740.25,3.14,126,0,0,13.73,3.5,-,2.04,49.1,5.75,0.01,295,15.23,9.11,6.12,-10.25,14.34,14.6,29
Tue Mar 18 06:37:21 GMT-03:00 2003,01-Nov-2022 06:37:21.779,-35.22076171206801,-5.820105418572924,0.0,24.0,42.22102270743902,0.0,-0.26,5.26,8.39,-0.01,14.12,0,0.04,-0.05,0.02,14.9,7.45,14.7,30.59,40,3.6,1.2,1010.68,14.5,414.6,1,-,-,489.56,1824,0,44,-,34.12,34.9,791.5,30.59,0.01,1.4,23.33,60.39,-15.62,-8.59,-9.38,-,0.01,24,42.22,0,-5.82,-35.22,7,0,-,30,0,12.47,8.02,3.83,0,35.23,0.73,0.46,0,0,100,740.25,3.53,126,0,0,13.73,-1,-,2.03,49.32,5.73,0.01,295,16.21,9.11,7.09,-10.11,14.3,14.5,29
Tue Mar 18 06:37:22 GMT-03:00 2003,01-Nov-2022 06:37:22.779,-35.22076349348354,-5.820121747230721,0.0,24.0,41.36230162867207,0.0,-0.12,5.71,7.86,-0.03,14.12,0,0.06,0,-0.02,14.9,7.45,14.7,30.59,40,3.6,1.12,1010.68,14.5,414.6,1,-,-,489.56,1824,0,44,-,41.18,35.69,800.5,30.59,0.01,1.78,29.6,60.39,-14.84,-7.03,-6.25,-,0.01,24,41.36,0,-5.82,-35.22,5,0,-,30,0,12.47,8.02,4.86,0,35.23,0.09,0.46,0,0,100,740.25,4.31,127,0,0,14.51,0.5,-,2.02,49.51,5.71,0.01,295,17.23,9.11,8.11,-8.67,14.16,14.4,32
Tue Mar 18 06:37:23 GMT-03:00 2003,01-Nov-2022 06:37:23.780,-35.22076393220366,-5.820139597929702,0.0,24.0,42.69264320795926,0.0,-0.05,5.04,8.29,-0.03,13.73,0,0.04,-0.07,0.02,14.9,7.45,14.7,30.59,40,3.33,1.18,1010.67,14.5,419,1,-,-,486.38,1824,0,44,0.2,40.39,35.69,832.5,30.59,0.01,1.69,28.2,60,-14.84,-3.91,-3.12,-,0.01,24,42.69,0,-5.82,-35.22,8,2,0.27,30,0,12.47,8.02,4.63,0,35.23,0.71,0.46,0,0,100,740.25,3.92,128,0,2,14.51,2,2.31,2.01,49.69,5.68,0.01,295,18.23,9.85,8.38,-9.01,14.24,14.5,33
Tue Mar 18 06:37:24 GMT-03:00 2003,01-Nov-2022 06:37:24.784,-35.22076352225022,-5.820136726798856,0.0,24.0,42.49560793027747,0.0,0.11,5.31,8.4,-0,13.73,0.01,0.09,-0.04,0.02,14.9,7.45,14.7,30.59,40,3.29,1.28,1010.69,14.5,419,1,-,-,486.38,1824,0,44,0.25,38.82,34.51,831.5,30.59,0.01,1.64,27.35,60,-14.84,-3.12,-5.47,-,0.01,24,42.5,0,-5.82,-35.22,7,3,0.34,30,1.22,12.47,8.02,4.49,3.44,35.23,0.81,0.46,0,0,100,1046.76,3.92,129,0,3,14.51,5,2.91,1.96,51.13,5.52,0.01,295.01,19.21,10.83,8.38,-9.38,14.26,14.5,33
Tue Mar 18 06:37:25 GMT-03:00 2003,01-Nov-2022 06:37:25.781,-35.220772958859136,-5.8201427960574135,0.0,16.0,42.03625210722392,0.0,-0.03,5.04,8.1,-0.04,14.12,0.02,0.11,0.01,0,14.9,7.45,14.7,30.59,40,3.38,1.42,1010.73,14.5,421.3,1,-,-,486.36,1824,0,44,0.43,39.22,34.12,861.5,30.59,0.01,1.7,28.38,60,-14.84,-5.47,-4.69,-,0.01,16,42.04,0,-5.82,-35.22,7,4,0.57,30,1.76,12.47,8.02,4.66,4.98,35.23,0.09,0.46,0,0,100,1390.43,4.31,130,0,4,14.51,5,4.71,1.94,51.48,5.49,0.01,295.01,20.11,11.73,8.38,-9.18,14.26,14.6,34
