GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Air Fuel Ratio(Commanded)(:1),Alcohol Fuel Percentage(%),Android device Battery Level(%),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel trim Bank 1 Sensor 2(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Positive Kinetic Energy (PKE)(km/hr²),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Mon Nov 07 06:39:49 GMT-03:00 2022,07-Nov-2022 06:39:54.155,-35.22074598977926,-5.8201432771892145,0.0,16.0,59.52191270317852,259.23699951171875,-0.44,5.31,8.27,-0,13.73,0,-0.04,-0.04,0.02,14.9,7.45,14.7,27.06,43,4.44,1.43,1010.9,14.5,541,1,-,-,636.04,2046,0,54,-,39.61,34.12,788.5,27.06,0.02,1.56,26.01,78.43,-2.34,-4.69,-5.47,-,0.01,16,59.52,259.24,-5.82,-35.22,9,0,-,32,0,12.48,8.02,4.27,0,35.24,0.71,0.82,23,0,77,2118.24,3.92,222,0,0,14.12,3.5,-,2.87,34.86,8.1,0.01,332.82,14.96,9.4,5.56,-9.54,14.22,14.4,33
Mon Nov 07 06:39:50 GMT-03:00 2022,07-Nov-2022 06:39:55.157,-35.22074598977926,-5.8201432771892145,0.0,16.0,57.1150436161212,259.23699951171875,-0.46,5.62,8.1,0,12.94,0,-0.03,-0.01,0,14.9,7.45,14.7,27.06,43,4.44,1.38,1010.92,14.5,541,1,-,-,632.86,2046,0,54,-,36.47,26.67,799,27.06,0.02,1.32,21.99,78.04,-3.12,-2.34,-1.56,-,0.01,16,57.12,259.24,-5.82,-35.22,9,0,-,32,0,12.48,8.02,3.61,0,35.24,0.22,0.83,21.58,0,78.42,2118.24,3.14,222,0,0,13.33,-3,-,2.86,34.98,8.08,0.01,332.82,15.95,9.4,6.55,-10.13,14.2,14.5,32
Mon Nov 07 06:39:51 GMT-03:00 2022,07-Nov-2022 06:39:56.157,-35.22074598977926,-5.8201432771892145,0.0,12.0,54.310110015143096,259.23699951171875,-0.35,5.55,8.1,-0,12.94,0,-0.02,-0.02,0,14.9,7.45,14.7,27.06,43,4.44,1.33,1010.92,14.5,541.8,1,-,-,632.86,2046,0,54,-,30.59,26.67,742,27.06,0.02,1.1,18.4,78.04,-3.91,-1.56,-3.91,-,0.01,12,54.31,259.24,-5.82,-35.22,10,0,-,32,0,12.48,8.02,3.02,0,35.24,0.82,0.84,20.31,0,79.69,2118.24,3.14,223,0,0,13.33,3.5,-,2.85,35.08,8.05,0.01,332.82,16.95,9.4,7.55,-10.89,14.26,14.5,30
Mon Nov 07 06:39:52 GMT-03:00 2022,07-Nov-2022 06:39:57.158,-35.22074258712185,-5.820149357721035,0.3467903137207031,12.0,52.23812640127693,260.7331848144531,-0.43,5.63,8,-0.01,12.94,0,-0.06,0,0,14.9,7.45,14.7,27.06,43,4.44,1.29,1010.93,14.5,541.8,1,-,-,632.85,2046,0,54,-,31.37,27.06,746,27.06,0.02,1.14,19.07,77.65,-3.91,-6.25,-6.25,-,0.02,12,52.24,260.73,-5.82,-35.22,9,1.25,-,32,0,12.48,8.02,3.13,0,35.24,0.5,0.84,19.2,0,80.8,2118.24,3.14,225,1.25,0,13.33,6,-,2.84,35.18,8.03,0.01,332.82,17.93,9.4,8.53,-10.47,14.28,14.5,30
Mon Nov 07 06:39:53 GMT-03:00 2022,07-Nov-2022 06:39:58.158,-35.220738632014715,-5.820147678382232,0.6316342353820801,12.0,51.33912684336886,260.08746337890625,-0.48,4.76,8.04,-0.05,13.33,-0.01,0,-0.05,0.01,14.9,7.45,14.7,27.06,43,4.3,1.34,1010.92,14.5,541.8,1,-,-,629.67,2046,0,54,0.49,30.59,25.88,759,27.06,0.02,1.27,21.14,77.65,-3.12,-2.34,-1.56,-,0.02,12,51.34,260.09,-5.82,-35.22,12,0.73,0.66,32,2.37,12.48,8.02,3.47,6.68,35.24,0.08,0.86,18.18,0,81.82,2118.24,3.14,226,2.27,3,13.33,3.5,6.17,2.81,35.58,7.94,0.01,332.82,18.94,10.28,8.65,-10.13,14.3,14.4,29
Mon Nov 07 06:39:54 GMT-03:00 2022,07-Nov-2022 06:39:59.157,-35.22073474374181,-5.820147247415169,0.7417696118354797,12.0,49.35993390587739,260.2113342285156,0.18,4.81,8.52,0.01,13.33,0.02,0.02,-0.07,0.06,14.9,7.45,14.7,27.06,43,4.27,1.42,1010.94,14.5,542.2,1,-,-,629.67,2046,0,54,0.49,30.2,25.88,839,27.06,0.02,1.27,21.14,76.86,-2.34,0,0.78,-,0.02,12,49.36,260.21,-5.82,-35.22,14,1.33,0.66,32,2.37,12.48,8.02,3.47,6.68,35.24,0.09,0.85,17.26,0,82.74,2303.09,3.53,227,2.67,4,13.73,5,6.17,2.81,35.58,7.94,0.01,332.82,19.95,11.3,8.65,-10.13,14.28,14.5,29
Mon Nov 07 06:39:55 GMT-03:00 2022,07-Nov-2022 06:40:00.158,-35.220742728749535,-5.820147793356715,0.6479218006134033,12.0,49.2897731359347,259.1278381347656,0.13,4.98,8.26,-0.02,13.73,0,0,-0.05,0.03,14.9,7.45,14.7,27.06,43,4.33,1.53,1010.97,14.5,542.2,1,-,-,623.29,2046,0,54,0.54,32.94,29.8,933.5,27.06,0.02,1.87,31.13,76.86,-2.34,3.91,3.91,-,0.02,12,49.29,259.13,-5.82,-35.22,12,2.67,0.72,32,2.68,12.48,8.02,5.11,7.56,35.24,0.69,0.83,16.42,0,83.58,2451.72,3.92,228,2.33,5,14.12,0.5,5.49,2.79,35.85,7.88,0.01,332.82,20.96,12.31,8.65,-9.27,14.28,14.5,31
Mon Nov 07 06:39:56 GMT-03:00 2022,07-Nov-2022 06:40:01.155,-35.220750332094475,-5.82014718871176,0.6971707344055176,12.0,48.547542511688164,264.95867919921875,0.07,5.31,7.98,-0.03,14.12,0,0,-0.04,0.02,14.9,7.45,14.7,27.06,43,4.23,1.57,1010.92,14.5,542.5,1,-,-,623.27,2046,0,54,0.54,41.18,35.69,861.5,27.06,0.02,1.62,27.04,76.86,-1.56,0,0,-,0.02,12,48.55,264.96,-5.82,-35.22,14,0.49,0.72,32,1.85,12.47,8.02,4.44,5.22,35.24,0.81,0.82,15.7,0,84.3,2266.13,4.31,229,2.51,3,15.29,3.5,5.49,2.75,36.41,7.76,0.01,332.82,21.93,13.28,8.65,-9.58,13.44,13.9,32
Mon Nov 07 06:39:57 GMT-03:00 2022,07-Nov-2022 06:40:02.158,-35.22075465926231,-5.820131285144869,0.6874824166297913,12.0,46.897167972897,302.1951904296875,-0.22,5.57,7.99,-0.01,13.73,0,-0.01,-0.03,0,14.9,7.45,14.7,27.06,43,4.07,1.58,1010.93,14.5,542.5,1,-,-,626.44,2046,0,54,0.54,41.18,34.51,791.5,27.06,0.02,1.59,26.56,77.25,-2.34,-3.12,-3.91,-,0.02,12,46.9,302.2,-5.82,-35.22,12,0.51,0.72,32,1.26,12.47,8.02,4.36,3.55,35.24,0.77,0.81,14.99,0,85.01,2159.25,3.92,230,2.47,2,14.12,3,5.49,2.68,37.29,7.58,0.02,332.82,22.97,14.32,8.65,-9.31,14.26,14.5,33
Mon Nov 07 06:39:58 GMT-03:00 2022,07-Nov-2022 06:40:03.157,-35.22075924165883,-5.820126810024915,0.3165556490421295,12.0,46.20745873290811,302.5268249511719,0.12,5.92,7.89,-0.02,14.12,0,0.01,0.02,-0.01,14.9,7.45,14.7,27.06,43,4.07,1.5,1010.97,14.5,542.5,1,-,-,626.43,2046,0,54,-,40.39,34.51,801.5,27.06,0.02,1.52,25.34,77.25,-2.34,-3.12,-2.34,-,0.02,12,46.21,302.53,-5.82,-35.22,13,1.14,-,32,0,12.47,8.02,4.16,0,35.24,0.09,0.82,14.38,0,85.62,2159.25,3.92,231,1.14,0,14.51,3,-,2.68,37.36,7.56,0.02,332.82,23.94,14.36,9.58,-9.48,14.22,14.4,33
