GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Air Fuel Ratio(Commanded)(:1),Alcohol Fuel Percentage(%),Android device Battery Level(%),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel trim Bank 1 Sensor 2(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Positive Kinetic Energy (PKE)(km/hr²),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Tue Nov 08 06:41:30 GMT-03:00 2022,08-Nov-2022 06:41:31.634,-35.22064274443479,-5.820164300244783,0.0,12.0,32.19818510875799,0.0,-0.33,5.37,8.24,0,14.51,-0.01,-0.03,-0.01,-0.01,14.9,7.45,14.7,26.67,99,4.11,1.23,1011.65,14.65,424.4,1,-,-,511.88,2092,0,45,-,36.08,35.69,776,26.67,0.02,1.46,24.3,63.14,-3.91,-3.91,-3.91,-,0.02,12,32.2,0,-5.82,-35.22,11,0,-,30,0,12.47,8.02,3.99,0,35.23,0.07,0.46,26.55,0,73.45,1887.26,4.31,128,0,0,14.12,-1.5,-,2.7,36.97,7.64,0.01,345.71,12.95,11.16,1.79,-9.81,14.28,14.5,31
Tue Nov 08 06:41:31 GMT-03:00 2022,08-Nov-2022 06:41:32.635,-35.22064274443479,-5.820164300244783,0.0,12.0,32.607615258055446,0.0,-0.26,5.46,8.12,-0,14.12,-0.01,-0.03,-0.01,0,14.9,7.45,14.7,26.67,99,4.11,1.19,1011.66,14.65,424.4,1,-,-,511.88,2092,0,45,-,40.39,35.29,855.5,26.67,0.02,1.77,29.42,63.14,-2.34,-1.56,-0.78,-,0.02,12,32.61,0,-5.82,-35.22,13,0,-,30,0,12.47,8.02,4.83,0,35.23,0.12,0.46,24.65,0,75.35,1887.26,4.31,129,0,0,14.51,0,-,2.69,37.13,7.61,0.01,345.71,13.95,11.16,2.79,-8.74,14.16,14.4,33
Tue Nov 08 06:41:32 GMT-03:00 2022,08-Nov-2022 06:41:33.637,-35.22064274443479,-5.820164300244783,0.0,12.0,33.853275990737764,0.0,-0.17,5.45,8.16,-0,14.12,0,-0.05,0,0,14.9,7.45,14.7,26.67,99,4.11,1.16,1011.63,14.65,424.4,1,-,-,527.77,2092,0,45,-,40,35.29,851.5,26.67,0.02,1.69,28.2,65.1,-2.34,0.78,-0.78,-,0.02,12,33.85,0,-5.82,-35.22,13,0,-,30,0,12.47,8.02,4.63,0,35.23,0.12,0.46,23.24,0,76.76,1887.26,4.31,130,0,0,14.51,3,-,2.68,37.28,7.58,0.01,345.71,14.79,11.16,3.63,-9.51,14.16,14.4,33
Tue Nov 08 06:41:33 GMT-03:00 2022,08-Nov-2022 06:41:34.634,-35.22064274443479,-5.820164300244783,0.0,12.0,34.62001910417437,0.0,-0.29,5.9,7.9,0,14.12,0,-0.02,0.04,-0.02,14.9,7.45,14.7,26.67,99,4.11,1.16,1011.64,14.65,431,1,-,-,527.77,2092,0,45,-,40,34.9,851.5,26.67,0.02,1.69,28.2,65.1,-3.12,0.78,0.78,-,0.02,12,34.62,0,-5.82,-35.22,13,0,-,30,0,12.47,8.02,4.63,0,35.23,0.81,0.46,21.6,0,78.4,1887.26,4.31,130,0,0,14.51,3,-,2.68,37.28,7.58,0.01,345.71,15.92,11.16,4.76,-9.51,14.3,14.5,33
Tue Nov 08 06:41:34 GMT-03:00 2022,08-Nov-2022 06:41:35.636,-35.22067382904359,-5.820149664656504,0.0,12.0,35.26294173963095,0.0,-0.26,5.57,7.97,-0.01,14.12,-0.02,-0.02,0,-0.03,14.9,7.45,14.7,26.67,99,3.9,1.18,1011.67,14.65,431,1,-,-,524.59,2092,0,45,0.25,40.39,34.9,811,26.67,0.03,1.66,27.71,64.71,-3.12,-3.91,-5.47,-,0.02,12,35.26,0,-5.82,-35.22,14,2,0.34,30,0,12.47,8.02,4.55,0,35.23,0.75,0.46,20.28,0,79.72,1887.26,3.92,132,0,2,13.73,4.5,2.95,2.67,37.42,7.55,0.01,345.71,16.95,11.95,5,-9.58,14.28,14.6,34
Tue Nov 08 06:41:35 GMT-03:00 2022,08-Nov-2022 06:41:36.636,-35.22068343121941,-5.8201443667261135,1.2370997667312622,12.0,35.253292985713145,284.7911071777344,-0.03,5.34,7.08,-0.1,14.12,-0.09,0,-0.01,-0.11,14.9,7.45,14.7,26.67,99,3.91,1.26,1011.61,14.65,434.9,1,-,-,524.59,2092,0,45,0.78,39.61,34.9,807,26.67,0.03,1.6,26.68,64.71,-2.34,-3.91,-3.12,-,0.02,12,35.25,284.79,-5.82,-35.22,13,4,1.05,30,1.25,12.47,8.02,4.38,3.53,35.23,0.09,0.46,19.19,0,80.81,2083.51,4.31,133,4.45,4,14.51,4.5,9.25,2.57,38.9,7.26,0.01,345.71,17.91,12.91,5,-9.52,14.26,14.5,34
Tue Nov 08 06:41:36 GMT-03:00 2022,08-Nov-2022 06:41:37.637,-35.22070020449153,-5.820140201113616,1.6953233480453491,12.0,35.082900702385636,288.5391845703125,-0.16,5,8.19,-0.02,14.12,-0.02,0.07,0,-0.04,14.9,7.45,14.7,26.67,99,4.08,1.4,1011.63,14.65,434.9,1,-,-,524.58,2092,0,46,1.05,38.82,34.51,944.5,26.67,0.03,1.75,29.24,64.71,-2.34,-0.78,-3.12,-,0.02,12,35.08,288.54,-5.82,-35.22,14,0.1,1.41,30,2.28,12.47,8.02,4.8,6.44,35.23,0.81,0.46,20,0,80,2268.26,4.31,135,6.1,6,14.51,-2.5,10.66,2.55,39.19,7.21,0.01,345.71,18.85,13.84,5,-9,14.26,14.5,35
Tue Nov 08 06:41:37 GMT-03:00 2022,08-Nov-2022 06:41:38.637,-35.22071717339923,-5.820134416296496,2.022263526916504,12.0,34.93077554684754,299.37274169921875,1.68,5.91,7.73,0,14.12,0,0.17,0.04,-0.04,23.92,12.16,14.7,26.67,99,4.31,1.56,1011.64,14.65,437.4,1,-,-,524.57,2092,0,46,0.63,45.1,43.14,1352.5,26.67,0.03,3.02,50.37,64.71,-3.12,-4.69,-3.12,-,0.02,12,34.93,299.37,-5.82,-35.22,14,0.28,0.84,30,1.99,12.47,8.02,8.27,5.61,35.23,0.81,0.46,24.32,0,75.68,2402.62,4.31,136,7.28,7,16.86,18.5,4.43,2.52,39.74,7.11,0.02,345.71,19.92,14.92,5,-6.34,14.26,14.5,40
Tue Nov 08 06:41:38 GMT-03:00 2022,08-Nov-2022 06:41:39.636,-35.220735336156004,-5.8201245423678705,1.728676676750183,12.0,34.81714967106006,320.85638427734375,1.7,5.42,6.25,-0.14,17.25,-0.1,0,0.07,-0.19,27.06,14.12,14.7,26.67,99,4.57,1.73,1011.67,14.65,437.4,1,-,-,524.56,2092,0,46,0.82,54.12,40,1583,26.67,0.03,4.98,83.02,64.71,-0.78,0.78,-3.91,-,0.02,12,34.82,320.86,-5.82,-35.22,13,1.78,1.1,30,1.41,12.47,8.02,13.63,3.97,35.23,0.08,0.46,27.98,0,72.02,2557.75,7.06,137,6.22,8,16.86,18.5,4.95,2.45,40.8,6.92,0.02,345.72,20.93,15.93,5,-5.08,14.26,14.6,46
Tue Nov 08 06:41:39 GMT-03:00 2022,08-Nov-2022 06:41:40.636,-35.220747439840906,-5.820108117810625,2.332031726837158,12.0,35.01402092988106,354.0480651855469,0.6,5.97,7.65,-0.01,19.61,0,0.06,0.04,-0.05,28.63,14.51,14.7,26.67,99,4.57,1.73,1011.62,14.65,446.5,1,-,-,511.83,2092,0,46,0.82,54.12,46.27,1846,26.67,0.03,5.08,84.73,63.14,0,0.78,2.34,-,0.02,12,35.01,354.05,-5.82,-35.22,14,1.78,1.1,30,1.57,12.47,8.02,13.91,4.45,35.23,0.19,0.46,31.29,0,68.71,2557.75,9.41,138,8.4,8,19.61,21,4.95,2.4,41.63,6.79,0.02,345.72,21.94,16.94,5,-6.31,14.3,14.6,49
