GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Air Fuel Ratio(Commanded)(:1),Alcohol Fuel Percentage(%),Android device Battery Level(%),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel trim Bank 1 Sensor 2(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Positive Kinetic Energy (PKE)(km/hr²),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Thu Nov 10 06:38:00 GMT-03:00 2022,10-Nov-2022 06:38:01.558,-35.22069269570522,-5.820140557828583,0.0,8.0,33.9604793858982,276.0077209472656,-0.19,5.64,7.88,-0,14.12,0,-0.03,0.01,0,14.9,7.45,14.7,27.45,96,4,1,1010.87,14.5,512,1,-,-,296.08,2190,0,48,-,37.25,34.12,728,27.45,0.02,1.34,22.29,36.47,-2.34,-4.69,-2.34,-,0.02,8,33.96,276.01,-5.82,-35.22,15,0,-,30,0,12.49,8.01,3.66,0,35.28,0.78,0.87,10.74,0,89.26,2449.59,3.92,175,0,0,13.73,-1.5,-,2.4,41.71,6.77,0.01,371.75,19.89,9.49,10.4,-10.28,14.28,14.4,32
Thu Nov 10 06:38:01 GMT-03:00 2022,10-Nov-2022 06:38:02.558,-35.22071771111306,-5.820131563616029,0.5202015042304993,8.0,34.3739829545917,271.4305114746094,-0.13,5.5,7.95,-0.01,12.94,0,0,0.01,-0.01,14.9,7.45,14.7,27.45,96,3.78,1.03,1010.84,14.5,512,1,-,-,289.72,2190,0,49,0.23,32.16,27.84,772,27.45,0.02,1.26,20.95,35.69,-3.12,-4.69,-4.69,-,0.02,8,34.37,271.43,-5.82,-35.22,17,2,0.3,30,0,12.49,8.01,3.44,0,35.28,0.77,0.86,10.23,0,89.77,2449.59,3.14,176,1.87,2,13.73,4.5,2.81,2.39,41.82,6.75,0.01,371.75,20.89,9.76,11.13,-10.02,14.28,14.4,32
Thu Nov 10 06:38:02 GMT-03:00 2022,10-Nov-2022 06:38:03.558,-35.22072960473068,-5.820128794267604,0.7154816389083862,8.0,34.88628127239279,274.83349609375,0.04,5.2,8.1,-0.01,13.33,0,-0.01,-0.02,0.02,14.9,7.45,14.7,27.45,96,3.8,1.12,1010.86,14.5,514,1,-,-,289.72,2190,0,49,0.76,31.76,28.63,842,27.45,0.03,1.29,21.44,35.69,-3.91,-1.56,-3.91,-,0.02,8,34.89,274.83,-5.82,-35.22,16,2.13,1.01,30,1.55,12.49,8.01,3.52,4.39,35.28,0.09,0.86,9.76,0,90.24,2640.73,3.14,177,2.58,4,13.73,4.5,8.57,2.35,42.61,6.63,0.01,371.75,21.89,10.76,11.13,-10.17,14.26,14.4,31
Thu Nov 10 06:38:03 GMT-03:00 2022,10-Nov-2022 06:38:04.560,-35.220745413235605,-5.8201251531552165,0.8769940733909607,8.0,36.68041697308669,275.8092041015625,0.42,4.85,8.28,-0.01,13.33,-0.02,0.02,-0.06,0.02,14.9,7.45,14.7,27.45,96,3.82,1.2,1010.89,14.5,514,1,-,-,289.71,2190,0,49,0.76,31.76,27.45,877.5,27.45,0.03,1.4,23.33,35.69,-3.12,0.78,-0.78,-,0.02,8,36.68,275.81,-5.82,-35.22,18,1.42,1.01,30,2.86,12.49,8.01,3.83,8.07,35.28,0.09,0.87,9.33,0,90.67,2394.52,3.53,178,3.16,4,13.73,5,8.57,2.37,42.15,6.7,0.01,371.75,22.9,11.76,11.13,-10.19,14.2,14.4,31
Thu Nov 10 06:38:04 GMT-03:00 2022,10-Nov-2022 06:38:05.560,-35.22075759855685,-5.820121746308707,0.6721707582473755,8.0,36.82521971466026,284.230224609375,-0.02,5.58,8.11,0.01,13.73,0.02,0.04,0,0.03,14.9,7.45,14.7,27.45,96,3.75,1.25,1010.93,14.5,514,1,-,-,289.7,2190,0,49,0.76,32.94,28.63,844.5,27.45,0.03,1.43,23.82,35.69,-3.12,3.12,1.56,-,0.02,8,36.83,284.23,-5.82,-35.22,14,0.16,1.01,30,2.8,12.49,8.01,3.91,7.91,35.28,0.09,0.86,8.94,0,91.06,2161.32,3.53,179,2.42,3,13.73,5,8.57,2.39,41.79,6.76,0.01,371.75,23.89,12.76,11.13,-10.27,14.2,14.5,30
Thu Nov 10 06:38:05 GMT-03:00 2022,10-Nov-2022 06:38:06.560,-35.22076709534039,-5.8201182383404735,0.5473412871360779,8.0,36.783843081556334,295.783935546875,0.49,6,8.06,0.03,13.33,0.01,0.04,0.02,0,14.9,7.45,14.7,27.45,96,3.69,1.3,1010.86,14.5,515.6,1,-,-,289.7,2190,0,49,-,32.94,28.24,850.5,27.45,0.03,1.5,25.03,35.69,-3.91,3.12,1.56,-,0.02,8,36.78,295.78,-5.82,-35.22,21,0.58,-,30,2,12.49,8.01,4.11,5.64,35.28,0.82,0.85,8.59,0,91.41,1981.62,3.53,180,1.97,3,13.73,2,-,2.37,42.11,6.71,0.01,371.75,24.89,13.76,11.13,-9.88,14.22,14.5,30
Thu Nov 10 06:38:06 GMT-03:00 2022,10-Nov-2022 06:38:07.560,-35.22077661433684,-5.820108822973027,1.0536516904830933,8.0,37.069395018390615,315.06396484375,0.48,5.18,8.25,0,16.86,0,0.1,-0.03,0.02,16.86,9.02,14.7,27.45,96,3.71,1.37,1010.86,14.5,515.6,1,-,-,289.69,2190,0,49,-,36.86,37.65,1081,27.45,0.03,1.69,28.2,35.69,-0.78,-0.78,-2.34,-,0.02,8,37.07,315.06,-5.82,-35.22,22,2.03,-,30,1.77,12.49,8.01,4.63,5.01,35.28,0.85,0.83,8.25,0,91.75,2157.29,7.06,181,3.79,4,16.08,-5.5,-,2.35,42.58,6.63,0.01,371.75,25.9,14.76,11.13,-9.34,14.34,14.5,32
Thu Nov 10 06:38:06 GMT-03:00 2022,10-Nov-2022 06:38:08.558,-35.22077661433684,-5.820108822973027,1.0536516904830933,8.0,37.069395018390615,315.06396484375,0.09,5.45,8.18,-0.01,14.51,-0.02,0.01,-0.01,-0.01,14.9,7.45,14.7,27.45,96,3.6,1.38,1010.92,14.5,515.6,1,-,-,273.77,2190,0,50,-,41.57,36.47,880,27.45,0.03,1.85,30.76,33.73,-2.34,-5.47,-0.78,-,0.02,8,37.07,315.06,-5.82,-35.22,22,1.79,-,30,2.17,12.49,8.01,5.05,6.12,35.28,0.78,0.88,7.95,0,92.05,2018.21,4.31,182,3.79,2,15.69,13.5,-,2.34,42.71,6.61,0.01,371.75,26.89,15.76,11.13,-10.07,14.24,14.5,31
Thu Nov 10 06:38:08 GMT-03:00 2022,10-Nov-2022 06:38:09.557,-35.22078362201411,-5.820093765291646,0.2915346324443817,8.0,36.059386740159646,323.01629638671875,-0.03,5.79,7.84,0,14.12,0,0,0.01,-0.01,14.9,7.45,14.7,27.45,96,3.6,1.38,1010.88,14.5,518.1,1,-,-,273.77,2190,0,50,-,41.57,35.69,838.5,27.45,0.03,1.7,28.38,33.73,-2.34,-5.47,-3.12,-,0.02,8,36.06,323.02,-5.82,-35.22,24,1.79,-,30,1.17,12.49,8.01,4.66,3.32,35.28,0.09,0.89,7.66,0,92.34,2018.21,4.31,183,1.05,2,14.51,2,-,2.29,43.58,6.48,0.01,371.75,27.89,16.76,11.13,-9.48,14.26,14.5,32
Thu Nov 10 06:38:09 GMT-03:00 2022,10-Nov-2022 06:38:10.557,-35.22078354629226,-5.82009104106622,0.20004644989967346,6.0,35.868777101661806,323.01629638671875,-0.26,5.9,7.65,-0.01,14.12,0,0,0.03,-0.02,14.9,7.45,14.7,27.45,96,3.6,1.35,1010.87,14.5,518.1,1,-,-,273.76,2190,0,50,-,40.78,34.9,823.5,27.45,0.03,1.65,27.53,33.73,-2.34,0,0.78,-,0.02,6,35.87,323.02,-5.82,-35.22,23,1.05,-,30,0,12.49,8.01,4.52,0,35.28,0.1,0.87,7.4,0,92.6,2018.21,3.92,184,0.72,0,14.51,1.5,-,2.29,43.66,6.47,0.01,371.75,28.88,16.76,12.12,-9.39,14.26,14.5,33
