GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Air Fuel Ratio(Commanded)(:1),Alcohol Fuel Percentage(%),Android device Battery Level(%),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel trim Bank 1 Sensor 2(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Positive Kinetic Energy (PKE)(km/hr²),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Fri Nov 11 06:37:10 GMT-03:00 2022,11-Nov-2022 06:37:20.835,-35.220643355043116,-5.82012189575854,0.0,48.0,17.053559450529317,0.0,-0.64,5.22,8.3,0.03,13.33,0,-0.02,-0.04,0.05,14.9,7.45,14.7,32.55,90,5.25,2.47,1009.49,14.5,421.8,1,-,-,168.65,2236,0,43,-,31.76,28.24,779,32.55,0.01,1.27,21.14,20.78,-0.78,-5.47,-5.47,-,0.01,48,17.05,0,-5.82,-35.22,5,0,-,30,0,12.48,8.01,3.47,0,35.26,0.62,0.46,21.81,0,78.19,2506.8,3.14,115,0,0,13.73,5,-,2.94,34.06,8.29,0.01,384.63,13.4,7.81,5.59,-10.47,14.3,14.4,31
Fri Nov 11 06:37:10 GMT-03:00 2022,11-Nov-2022 06:37:21.835,-35.220643355043116,-5.82012189575854,0.0,48.0,17.053559450529317,0.0,-0.59,5.23,8.49,0.04,13.33,0,-0.01,-0.04,0.05,14.9,7.45,14.7,32.55,90,5.25,2.33,1009.48,14.5,421.8,1,-,-,168.65,2236,0,43,-,32.16,29.02,780,32.55,0.01,1.27,21.14,20.78,-0.78,-8.59,-9.38,-,0.01,48,17.05,0,-5.82,-35.22,4,0,-,30,0,12.48,8.01,3.47,0,35.26,0.67,0.46,20.34,0,79.66,2506.8,3.53,115,0,0,13.73,7.5,-,2.93,34.17,8.27,0.01,384.63,14.37,7.81,6.56,-10.27,14.28,14.5,30
Fri Nov 11 06:37:10 GMT-03:00 2022,11-Nov-2022 06:37:22.834,-35.220643355043116,-5.82012189575854,0.0,48.0,17.053559450529317,0.0,-0.6,5.17,8.28,0.02,13.33,0,-0.02,-0.04,0.05,14.9,7.45,14.7,32.55,90,5.25,2.21,1009.5,14.5,426.6,1,-,-,168.65,2236,0,44,-,33.33,29.02,779,32.55,0.02,1.34,22.29,20.78,-0.78,-5.47,-5.47,-,0.01,48,17.05,0,-5.82,-35.22,5,0,-,30,0,12.48,8.01,3.66,0,35.26,0.09,0.46,18.99,0,81.01,2506.8,3.53,116,0,0,13.73,3,-,2.92,34.28,8.24,0.01,384.63,15.38,7.81,7.58,-10.05,14.28,14.5,30
Fri Nov 11 06:37:10 GMT-03:00 2022,11-Nov-2022 06:37:23.833,-35.220643355043116,-5.82012189575854,0.0,48.0,17.053559450529317,0.0,-0.57,5.19,8.32,0.03,13.73,0,-0.02,-0.04,0.06,14.9,7.45,14.7,32.55,90,5.25,2.1,1009.5,14.5,426.6,1,-,-,168.65,2236,0,44,-,32.16,28.24,814.5,32.55,0.02,1.34,22.29,20.78,-0.78,-3.12,-3.12,-,0.01,48,17.05,0,-5.82,-35.22,6,0,-,30,0,12.48,8.01,3.66,0,35.26,0.76,0.46,17.84,0,82.16,2506.8,3.92,118,0,0,13.73,3,-,2.91,34.38,8.22,0.01,384.63,16.38,7.81,8.57,-10.04,14.28,14.5,30
Fri Nov 11 06:37:10 GMT-03:00 2022,11-Nov-2022 06:37:24.834,-35.220643355043116,-5.82012189575854,0.0,48.0,17.053559450529317,0.0,-0.54,5.84,7.71,0.01,14.12,0,-0.02,0,0.01,14.9,7.45,14.7,32.55,90,5.25,2,1009.5,14.5,426.6,1,-,-,168.65,2236,0,44,-,35.29,30.59,809,32.55,0.02,1.48,24.67,20.78,0,-3.12,-5.47,-,0.01,48,17.05,0,-5.82,-35.22,0,0,-,30,0,12.48,8.01,4.05,0,35.26,0.8,0.45,16.82,0,83.18,2506.8,4.31,118,0,0,14.51,2,-,2.9,34.48,8.19,0.01,384.63,17.37,7.81,9.56,-9.78,14.06,13.8,31
Fri Nov 11 06:37:10 GMT-03:00 2022,11-Nov-2022 06:37:25.834,-35.220643355043116,-5.82012189575854,0.0,48.0,17.053559450529317,0.0,-0.45,5.62,7.97,0.02,14.12,-0.01,0,-0.01,0.02,14.9,7.45,14.7,32.55,90,4.89,2,1009.52,14.5,431.8,1,-,-,168.65,2236,0,45,0.22,40.39,34.9,825.5,32.55,0.02,1.69,28.2,20.78,0.78,-3.91,-3.12,-,0.01,48,17.05,0,-5.82,-35.22,0,2,0.29,30,0,12.48,8.01,4.63,0,35.26,0.11,0.46,15.9,0,84.1,2506.8,4.31,119,0,2,14.12,9,2.51,2.89,34.57,8.17,0.01,384.63,18.38,8.42,9.96,-9.07,14,14.5,32
Fri Nov 11 06:37:10 GMT-03:00 2022,11-Nov-2022 06:37:26.835,-35.220643355043116,-5.82012189575854,0.0,48.0,17.053559450529317,0.0,-0.42,5.08,8.44,0.03,14.12,0,0,-0.05,0.07,14.9,7.45,14.7,32.55,90,4.8,2.09,1009.51,14.5,431.8,1,-,-,168.65,2236,0,45,0.82,39.22,36.08,844.5,32.55,0.02,1.65,27.53,20.78,0,-2.34,-2.34,-,0.01,48,17.05,0,-5.82,-35.22,0,4,1.09,30,1.21,12.48,8.01,4.52,3.42,35.26,0.81,0.46,15.07,0,84.93,2699.86,4.31,121,0,4,14.51,3.5,9.23,2.8,35.66,7.92,0.01,384.63,19.39,9.43,9.96,-9.31,14.22,14.5,33
Fri Nov 11 06:37:10 GMT-03:00 2022,11-Nov-2022 06:37:27.837,-35.220643355043116,-5.82012189575854,0.0,48.0,17.053559450529317,0.0,0.19,5.42,8.24,0.03,14.12,0.05,0.03,0.01,0.09,14.9,7.45,14.7,32.55,90,4.82,2.21,1009.58,14.5,431.8,1,-,-,168.64,2236,0,45,0.82,37.25,32.55,944.5,32.55,0.02,1.77,29.42,20.78,0,-3.12,-2.34,-,0.01,48,17.05,0,-5.82,-35.22,0,5,1.09,30,2.27,12.48,8.01,4.83,6.4,35.26,0.07,0.46,14.34,0,85.66,2881.58,4.31,121,0,5,14.51,3.5,9.23,2.78,36.01,7.84,0.01,384.63,20.37,10.41,9.96,-9.07,14.28,14.5,34
Fri Nov 11 06:37:25 GMT-03:00 2022,11-Nov-2022 06:37:28.835,-35.22095611161293,-5.819922894229199,0.0,48.0,50.27069350458329,0.0,1.14,5.99,7.93,0.04,14.12,0.02,0.14,0.05,0,14.9,7.45,14.7,32.55,90,4.83,2.32,1009.5,14.5,439.4,1,-,-,162.28,2236,0,45,0.28,55.29,33.73,935,32.55,0.02,2.35,39.23,20,2.34,0,0,-,0.01,48,50.27,0,-5.82,-35.22,7,5,0.37,30,2.12,12.48,8.01,6.44,6,35.26,0.89,0.46,13.65,0,86.35,2535.24,8.63,122,-,5,18.43,-3,2.84,2.75,36.42,7.76,0.01,384.63,21.4,11.44,9.96,-8.03,14.26,14.6,36
Fri Nov 11 06:37:26 GMT-03:00 2022,11-Nov-2022 06:37:29.835,-35.22087723248587,-5.820004168930706,0.0,32.0,42.14711488480139,0.0,0.08,5.78,6.86,-0.06,18.43,0,0.05,0.06,-0.02,26.27,13.33,14.7,32.55,90,5,2.5,1009.49,14.5,439.4,1,-,-,162.27,2236,0,45,1.43,53.73,49.02,1554,32.55,0.02,4.2,69.99,20,2.34,-3.91,-4.69,-,0.02,32,42.15,0,-5.82,-35.22,6,7,1.92,30,1.19,12.48,8.01,11.49,3.36,35.26,0.77,0.46,15.61,0,84.39,2721.28,8.63,124,-,7,18.82,20,8.78,2.68,37.38,7.56,0.01,384.63,22.4,12.44,9.96,-2.84,14.3,14.5,47
Fri Nov 11 06:37:27 GMT-03:00 2022,11-Nov-2022 06:37:30.834,-35.22083170611285,-5.820023247248667,0.0,32.0,39.77505353872562,0.0,0.48,6.37,7.81,0.05,18.43,0.02,0.05,0.08,0,27.45,14.12,14.7,32.55,90,5.36,2.78,1009.46,14.5,439.4,1,-,-,155.91,2236,0,45,2.12,53.73,45.88,1714.5,32.55,0.02,4.81,80.16,19.22,2.34,-3.91,-4.69,-,0.02,32,39.78,0,-5.82,-35.22,7,10,2.84,30,1.46,12.48,8.01,13.16,4.11,35.26,0.77,0.46,19.2,0,80.8,2731.87,8.63,125,0,10,18.82,20,11.81,2.62,38.13,7.41,0.02,384.63,23.4,13.44,9.96,-6.46,14.3,14.5,49
Fri Nov 11 06:37:28 GMT-03:00 2022,11-Nov-2022 06:37:31.833,-35.22081641487256,-5.820028289432345,2.0477895736694336,32.0,38.67966931918843,27.49703025817871,0.13,6.67,6.46,-0.03,20.78,-0.05,0.04,0.1,-0.12,28.63,14.9,14.7,32.55,90,5.36,2.78,1009.45,14.5,455,1,-,-,155.91,2236,0,45,2.12,55.69,50.98,1714.5,32.55,0.02,4.81,80.16,19.22,2.34,0,-1.56,-,0.02,32,38.68,27.5,-5.82,-35.22,8,10,2.84,30,1.46,12.48,8.01,13.16,4.11,35.26,0.77,0.46,22.43,0,77.57,2731.87,10.59,125,7.37,10,20.78,21,11.81,2.62,38.13,7.41,0.02,384.63,24.37,14.41,9.96,-6.46,14.16,14.4,49
Fri Nov 11 06:37:29 GMT-03:00 2022,11-Nov-2022 06:37:32.836,-35.22078745463091,-5.820015891535228,2.9930145740509033,24.0,37.646505173743314,39.86787414550781,-0.83,5.14,8.29,0.02,21.96,-0.02,0,0.16,-0.15,28.24,14.51,14.7,32.55,90,5.87,3.14,1009.41,14.5,455,1,-,-,149.54,2236,0,45,3.44,61.96,55.29,1968,32.55,0.03,6.22,103.67,18.43,3.12,-1.56,-3.12,-,0.02,24,37.65,39.87,-5.82,-35.22,8,2.23,4.62,30,1.61,12.48,8.01,17.02,4.54,35.26,0.77,0.46,25.57,0,74.43,2841.68,12.16,127,10.77,13,22.35,20,16.7,2.58,38.76,7.29,0.02,384.64,25.4,15.44,9.96,-5.08,14.2,14.5,52
