GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Air Fuel Ratio(Commanded)(:1),Alcohol Fuel Percentage(%),Android device Battery Level(%),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel trim Bank 1 Sensor 2(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Positive Kinetic Energy (PKE)(km/hr²),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Wed Nov 30 06:45:20 GMT-03:00 2022,30-Nov-2022 06:45:22.250,-35.22075843455626,-5.820071648820451,0.7177744507789612,6.0,33.04647039288698,278.52728271484375,-0.3,5.51,8.09,0,13.73,0,0,-0.01,0.01,14.9,7.45,14.7,21.96,91,5.43,1.73,1006.74,14.5,474,1,-,-,270.17,2851,0,48,0.34,38.82,33.33,805.5,21.96,0.02,1.51,25.16,33.33,0,-5.47,-3.91,-,0.01,6,33.05,278.53,-5.82,-35.22,15,2,0.45,30,0,12.47,8.02,4.13,0,35.22,0.33,0.88,13.07,0,86.93,905.76,3.92,170,2.58,2,14.12,5,4,3.59,27.89,10.13,0.01,513.52,23.87,8.43,15.44,-9.69,14.16,14.5,31
Wed Nov 30 06:45:21 GMT-03:00 2022,30-Nov-2022 06:45:23.252,-35.22076475000911,-5.8200716156011,0.9327706694602966,6.0,33.306119979695495,279.1214599609375,0.51,5.49,8.11,0,14.12,-0.01,0.06,-0.01,0,14.9,7.45,14.7,21.96,91,5.25,1.83,1006.73,14.5,476.5,1,-,-,270.17,2851,0,48,0.78,38.04,32.55,808,21.96,0.02,1.5,25.03,33.33,0,-0.78,-0.78,-,0.01,6,33.31,279.12,-5.82,-35.22,15,1.42,1.04,30,1.33,12.47,8.02,4.11,3.76,35.22,0.56,0.9,12.54,0,87.46,1271.06,4.31,170,3.36,4,14.51,6.5,9.19,3.47,28.84,9.79,0.01,513.52,24.87,9.44,15.44,-9.66,14.26,14.5,31
Wed Nov 30 06:45:22 GMT-03:00 2022,30-Nov-2022 06:45:24.249,-35.22077459085914,-5.820071673419626,1.5588405132293701,6.0,33.67546613785629,288.5325927734375,0.35,4.08,9.77,0.08,13.33,0.08,0.06,-0.16,0.18,14.9,7.45,14.7,21.96,91,5.22,1.96,1006.75,14.5,476.5,1,-,-,263.81,2851,0,48,0.47,36.08,32.55,936,21.96,0.02,1.67,27.9,32.55,0,1.56,2.34,-,0.01,6,33.68,288.53,-5.82,-35.22,15,1.64,0.64,30,2.39,12.47,8.02,4.58,6.75,35.22,0.41,0.89,12.06,0,87.94,1587.83,3.53,171,5.61,5,14.51,2,4.84,3.41,29.3,9.64,0.01,513.52,25.86,10.42,15.44,-9.12,14.2,14.5,33
Wed Nov 30 06:45:23 GMT-03:00 2022,30-Nov-2022 06:45:25.249,-35.22078925620554,-5.820070262505007,1.165935754776001,6.0,34.34010001484326,293.9090881347656,0.44,5.5,8.03,-0,13.33,0,0.07,-0.01,0,14.9,7.45,14.7,21.96,91,5.1,2.04,1006.74,14.5,478.7,1,-,-,263.81,2851,0,48,0.47,29.41,25.88,874,21.96,0.02,1.3,21.62,32.55,-0.78,-1.56,-1.56,-,0.01,6,34.34,293.91,-5.82,-35.22,17,1.61,0.64,30,3.85,12.47,8.02,3.55,10.89,35.22,0.62,0.89,11.61,0,88.39,1402.69,3.53,172,4.2,4,13.73,12,4.84,3.43,29.12,9.7,0.01,513.52,26.85,11.42,15.44,-10.9,14.28,14.5,31
Wed Nov 30 06:45:24 GMT-03:00 2022,30-Nov-2022 06:45:26.249,-35.220797934083556,-5.82006884318793,0.7842248678207397,6.0,34.37607407085162,300.43798828125,0.02,5.31,8.13,-0.01,13.33,0,0.02,-0.02,0.01,14.9,7.45,14.7,21.96,91,4.82,2.04,1006.76,14.5,478.7,1,-,-,260.62,2851,0,48,0.47,30.2,27.06,779.5,21.96,0.02,1.1,18.4,32.16,-0.78,1.56,1.56,-,0.01,6,34.38,300.44,-5.82,-35.22,16,2.2,0.64,30,3.62,12.47,8.02,3.02,10.24,35.22,0.82,0.88,11.23,0,88.77,1290.76,3.53,173,2.82,2,13.73,9,4.84,3.44,29.04,9.73,0.02,513.53,27.77,12.33,15.44,-11.22,14.24,14.5,29
Wed Nov 30 06:45:25 GMT-03:00 2022,30-Nov-2022 06:45:27.250,-35.220797934083556,-5.82006884318793,0.0,6.0,34.72446245692555,300.43798828125,0.28,5.55,7.8,-0.02,13.33,-0.02,0.05,-0.01,-0.01,14.9,7.45,14.7,21.96,91,4.82,1.96,1006.75,14.5,479.5,1,-,-,260.62,2851,0,48,-,30.2,26.27,819.5,21.96,0.02,1.24,20.59,32.16,-0.78,-2.34,1.56,-,0.01,6,34.72,300.44,-5.82,-35.22,16,0,-,30,1.62,12.47,8.02,3.38,4.57,35.22,0.82,0.88,10.83,0,89.17,1290.76,3.14,175,0,0,13.73,4.5,-,3.36,29.73,9.5,0.02,513.53,28.8,13.11,15.69,-10.39,14.2,14.5,28
Wed Nov 30 06:45:26 GMT-03:00 2022,30-Nov-2022 06:45:28.252,-35.220797934083556,-5.82006884318793,0.0,6.0,35.00315979362035,300.43798828125,0.23,5.77,7.9,0,13.33,0,0.05,0,0,14.9,7.45,14.7,21.96,91,4.82,1.89,1006.75,14.5,479.5,1,-,-,260.62,2851,0,48,-,30.98,26.67,786,21.96,0.02,1.2,19.92,32.16,-0.78,-4.69,-3.12,-,0.01,6,35,300.44,-5.82,-35.22,17,0,-,30,0,12.47,8.02,3.27,0,35.22,0.8,0.9,10.45,0,89.55,1290.76,3.14,176,0,0,13.73,6,-,3.36,29.79,9.48,0.02,513.53,29.85,13.11,16.73,-10.72,14.22,14.5,28
Wed Nov 30 06:45:27 GMT-03:00 2022,30-Nov-2022 06:45:29.249,-35.220797934083556,-5.82006884318793,0.0,6.0,34.90201730559691,300.43798828125,0.15,5.71,8.04,0.01,13.33,0,0.04,0,0,14.9,7.45,14.7,21.96,91,4.82,1.83,1006.71,14.5,481,1,-,-,244.73,2851,0,49,-,42.75,27.45,759.5,21.96,0.02,1.22,20.28,30.2,-0.78,-4.69,-5.47,-,0.01,6,34.9,300.44,-5.82,-35.22,17,0,-,30,0,12.47,8.02,3.33,0,35.22,0.73,0.92,10.1,0,89.9,1290.76,3.14,177,0,0,13.73,6,-,3.35,29.84,9.46,0.02,513.53,30.88,13.11,17.76,-10.48,14.22,14.5,28
Wed Nov 30 06:45:28 GMT-03:00 2022,30-Nov-2022 06:45:30.249,-35.220797934083556,-5.82006884318793,0.0,6.0,35.27377762982094,300.43798828125,1.41,6.39,7.76,0.04,18.43,0.03,0.18,0.08,-0.02,21.96,11.37,14.7,21.96,91,4.82,1.83,1006.76,14.5,481,1,-,-,244.73,2851,0,49,-,42.75,43.53,759.5,21.96,0.02,3.15,52.57,30.2,1.56,0,0,-,0.02,6,35.27,300.44,-5.82,-35.22,18,0,-,30,0,12.47,8.02,8.63,0,35.22,0.87,0.91,9.8,0,90.2,1290.76,8.24,178,0,0,17.65,4.5,-,3.34,29.9,9.45,0.02,513.53,31.84,13.11,18.73,-3.72,14.18,14.5,39
Wed Nov 30 06:45:29 GMT-03:00 2022,30-Nov-2022 06:45:31.249,-35.220809528896325,-5.820069861165273,0.7156223058700562,6.0,35.62350487969292,328.0420837402344,1.2,5.72,7.7,-0.01,18.04,-0.01,0.14,0,-0.02,25.88,13.33,14.7,21.96,91,4.75,1.9,1006.74,14.5,485.1,1,-,-,244.73,2851,0,49,1.58,44.71,46.67,1423.5,21.96,0.02,3.15,52.57,30.2,1.56,-3.12,-3.91,-,0.02,6,35.62,328.04,-5.82,-35.22,20,4,2.12,30,0,12.47,8.02,8.63,0,35.22,0.56,0.9,9.49,0,90.51,1613.45,7.84,178,2.58,4,18.04,18.5,10.61,3.34,29.9,9.45,0.02,513.53,32.85,14.08,18.77,-3.72,14.16,14.5,39
