GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Air Fuel Ratio(Commanded)(:1),Alcohol Fuel Percentage(%),Android device Battery Level(%),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel trim Bank 1 Sensor 2(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Positive Kinetic Energy (PKE)(km/hr²),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Thu Oct 06 06:37:30 GMT-03:00 2022,06-Oct-2022 06:37:33.749,-35.22088195669711,-5.820070461009304,0.0,32.0,53.29108744492977,0.0,-0.36,5.78,8.02,0,14.12,0,0,0.05,-0.04,14.9,7.45,14.7,25.88,91,2,0.29,1011.34,14.65,442.3,1,-,-,707.49,744,0,45,0.43,38.43,36.08,836.5,25.88,0.01,1.75,29.24,84.31,-4.69,-4.69,-5.47,-,0.01,32,53.29,0,-5.82,-35.22,10,2,0.57,30,0,12.91,7.75,4.8,0,36.47,0.67,0.46,0,0,100,-,4.31,138,0,2,14.51,6,4.86,1.24,80.53,3.51,0,119.4,20,1.9,18.1,-9.04,13.48,13.8,32
Thu Oct 06 06:37:31 GMT-03:00 2022,06-Oct-2022 06:37:34.750,-35.22087872028705,-5.8200583392288765,0.0,32.0,53.834719337623255,0.0,-0.16,5.23,8.99,0.05,14.12,0.06,0.01,0,0.06,14.9,7.45,14.7,25.88,91,2,0.29,1011.36,14.65,442.3,1,-,-,700.9,744,0,45,0.43,41.18,35.29,836.5,25.88,0.01,1.65,27.53,83.53,-4.69,-2.34,-2.34,-,0.01,32,53.83,0,-5.82,-35.22,11,2,0.57,30,1.21,12.91,7.75,4.52,3.42,36.46,0.73,0.46,0,0,100,-,3.92,139,0,2,14.51,3,4.86,1.24,80.68,3.5,0,119.4,21.02,2.92,18.1,-9.52,14.22,14.5,33
Thu Oct 06 06:37:32 GMT-03:00 2022,06-Oct-2022 06:37:35.749,-35.22088771542786,-5.820070681484028,0.0,24.0,53.309866678778995,0.0,0.25,5.29,8.61,0.02,14.12,0.02,0.02,0,0.01,14.9,7.45,14.7,25.88,91,2.67,0.53,1011.36,14.65,445.5,1,-,-,700.9,744,0,45,0.79,39.22,33.73,864,25.88,0.01,1.65,27.53,83.53,-4.69,-3.91,-4.69,-,0.01,24,53.31,0,-5.82,-35.22,13,4,1.06,30,1.21,12.91,7.75,4.52,3.42,36.46,0.76,0.46,0,0,100,4407.71,4.31,139,0,4,14.51,4.5,8.77,1.24,80.68,3.5,0,119.4,21.93,3.82,18.1,-9.52,14.22,14.5,33
Thu Oct 06 06:37:33 GMT-03:00 2022,06-Oct-2022 06:37:36.749,-35.22090788390199,-5.820087121124107,1.5604362487792969,24.0,51.064987651654,281.1402587890625,0.31,5.17,9.02,0.05,14.51,0.06,0.06,0,0.06,14.9,7.45,14.7,25.88,91,3.25,0.81,1011.39,14.65,447.6,1,-,-,697.56,744,0,45,0.4,38.82,33.73,909,25.88,0.01,1.79,29.91,83.14,-4.69,-1.56,-0.78,-,0.01,24,51.06,281.14,-5.82,-35.22,18,0.62,0.53,30,2.23,12.91,7.75,4.91,6.3,36.46,0.11,0.46,0,0,100,3441.68,4.31,140,5.62,5,14.51,6.5,4.15,1.31,76.6,3.69,0,119.41,23.02,4.92,18.1,-9.25,14.26,14.5,34
Thu Oct 06 06:37:34 GMT-03:00 2022,06-Oct-2022 06:37:37.751,-35.220888292197905,-5.82009837915482,1.3729519844055176,16.0,47.418861374134295,288.0309143066406,0.23,5.62,7.87,-0.02,14.51,0.01,0.07,0.03,-0.01,14.9,7.45,14.7,25.88,91,3.2,0.94,1011.36,14.65,447.6,1,-,-,697.51,744,0,45,0.4,41.18,34.9,872.5,25.88,0.01,1.85,30.76,83.14,-4.69,0,0,-,0.01,16,47.42,288.03,-5.82,-35.22,20,1.94,0.53,30,2.71,12.91,7.75,5.05,7.65,36.46,0.81,0.46,0,0,100,2411.79,4.31,141,4.94,3,14.51,3,4.15,1.39,71.78,3.94,0,119.41,24,5.9,18.1,-9.37,14.3,14.5,34
Thu Oct 06 06:37:35 GMT-03:00 2022,06-Oct-2022 06:37:38.751,-35.22089393688253,-5.820093732047622,0.990205705165863,16.0,44.692310406163784,302.2686462402344,0.36,4.46,9.02,0.02,14.12,0.02,0.06,-0.07,0.06,14.9,7.45,14.7,25.88,91,3.17,1.06,1011.39,14.65,447.6,1,-,-,704.04,744,0,45,0.4,40,35.29,846,25.88,0.01,1.68,28.08,83.92,-4.69,-3.91,-4.69,-,0.01,16,44.69,302.27,-5.82,-35.22,21,0.56,0.53,30,1.78,12.91,7.75,4.61,5.03,36.46,0.76,0.46,0,0,100,1925.13,4.31,142,3.56,3,14.12,3,4.15,1.42,70.62,4,0.01,119.41,24.99,6.89,18.1,-9.63,14.26,14.5,34
Thu Oct 06 06:37:36 GMT-03:00 2022,06-Oct-2022 06:37:39.751,-35.22089405880192,-5.820076512548803,0.635958194732666,16.0,41.004384593721284,305.00836181640625,0.24,6.07,7.72,-0.01,14.12,0,0.05,0.07,-0.06,14.9,7.45,14.7,25.88,91,3.17,1,1011.35,14.65,451.1,1,-,-,703.99,744,0,45,-,39.61,34.9,825,25.88,0.01,1.64,27.35,83.92,-4.69,-1.56,-4.69,-,0.01,16,41,305.01,-5.82,-35.22,20,2.29,-,30,1.83,12.9,7.75,4.49,5.16,36.45,0.76,0.46,0,0,100,1925.13,3.92,143,2.29,0,14.51,3,-,1.44,69.5,4.06,0.01,119.41,26.01,7.62,18.38,-9.61,14.26,14.5,34
Thu Oct 06 06:37:37 GMT-03:00 2022,06-Oct-2022 06:37:40.760,-35.220891707896406,-5.820075495209639,0.2860655188560486,12.0,39.82429046574112,307.0111999511719,0.19,6,7.91,0.01,14.12,0.01,0.05,0.07,-0.04,14.9,7.45,14.7,25.88,91,3.17,0.95,1011.36,14.65,451.1,1,-,-,694.07,744,0,46,-,39.61,34.51,812.5,25.88,0.01,1.66,27.71,82.75,-4.69,1.56,-0.78,-,0.01,12,39.82,307.01,-5.82,-35.22,15,1.03,-,30,0,12.9,7.75,4.55,0,36.45,0.08,0.46,0,0,100,1925.13,3.92,144,1.03,0,14.51,2,-,1.44,69.67,4.05,0.01,119.41,27.01,7.62,19.39,-9.41,14.26,14.4,34
Thu Oct 06 06:37:38 GMT-03:00 2022,06-Oct-2022 06:37:41.750,-35.220891707896406,-5.820075495209639,0.0,12.0,38.559031513654745,307.0111999511719,0.18,5.93,8.01,0.01,14.12,0.01,0.05,0.07,-0.04,14.9,7.45,14.7,25.88,91,3.17,0.9,1011.37,14.65,454.4,1,-,-,694.07,744,0,46,-,38.82,34.51,831.5,25.88,0.02,1.61,26.86,82.75,-4.69,1.56,1.56,-,0.01,12,38.56,307.01,-5.82,-35.22,18,0,-,30,0,12.9,7.75,4.41,0,36.45,0.77,0.45,0,0,100,1925.13,3.92,146,0,0,14.51,2,-,1.43,69.84,4.04,0.01,119.41,28.01,7.62,20.39,-9.5,14.26,14.5,34
Thu Oct 06 06:37:39 GMT-03:00 2022,06-Oct-2022 06:37:42.749,-35.220891707896406,-5.820075495209639,0.0,12.0,37.0652446210449,307.0111999511719,0.49,6.4,7.92,0.03,13.73,0.03,0.08,0.11,-0.04,22.35,11.37,14.7,25.88,91,3.17,0.86,1011.37,14.65,454.4,1,-,-,694.07,744,0,46,-,47.06,47.06,1287,25.88,0.02,2.87,47.88,82.75,-4.69,-3.12,1.56,-,0.01,12,37.07,307.01,-5.82,-35.22,19,0,-,30,0,12.9,7.75,7.86,0,36.45,0.82,0.46,0,0,100,1925.13,3.92,146,0,0,16.47,18,-,1.43,70,4.04,0.01,119.41,29,7.62,21.38,-5.67,14.24,14.5,41
