GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Air Fuel Ratio(Commanded)(:1),Alcohol Fuel Percentage(%),Android device Battery Level(%),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel trim Bank 1 Sensor 2(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Positive Kinetic Energy (PKE)(km/hr²),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Mon Oct 10 06:37:48 GMT-03:00 2022,10-Oct-2022 06:37:52.213,-35.220760873192305,-5.820100528004649,1.0450811386108398,8.0,38.25044341247655,270.7882080078125,0.29,5.28,8.51,0.01,14.12,-0.04,0.1,0,-0.07,14.9,7.45,14.7,20.39,92,3.75,1.36,1010.95,14.5,432.6,1,-,-,371.02,877,0,44,0.63,37.65,33.73,945,20.39,0.01,1.81,30.09,45.1,-7.03,-1.56,-0.78,-,0.01,8,38.25,270.79,-5.82,-35.22,16,1.24,0.85,29,2.77,12.66,7.9,4.94,7.82,35.75,0.09,0.46,0,0,100,0,4.31,140,3.76,5,14.51,0.5,6.39,1.68,59.64,4.74,0,154.01,7.81,4.09,3.72,-9.18,14.3,14.5,34
Mon Oct 10 06:37:49 GMT-03:00 2022,10-Oct-2022 06:37:53.212,-35.220770341843924,-5.820099546397116,1.4343527555465698,8.0,37.95580014928333,287.37506103515625,0.67,5.13,8.31,-0.02,14.12,0,0.1,0.01,-0.03,14.9,7.45,14.7,20.39,92,4,1.67,1010.98,14.5,432.6,1,-,-,371,877,0,44,0.63,35.29,30.59,963,20.39,0.01,1.68,28.08,45.1,-7.03,1.56,2.34,-,0.01,8,37.96,287.38,-5.82,-35.22,14,0.16,0.85,29,2.97,12.66,7.9,4.61,8.38,35.75,0.12,0.46,0,0,100,0,4.31,141,5.16,5,14.51,3.5,6.39,1.84,54.41,5.19,0,154.01,8.8,5.07,3.72,-9.89,14.38,14.5,34
Mon Oct 10 06:37:50 GMT-03:00 2022,10-Oct-2022 06:37:54.213,-35.22078230238836,-5.820095823840918,1.2002053260803223,8.0,37.69549888650895,303.6730651855469,-0.06,5.01,8.2,-0.04,14.12,-0.01,0.03,0,-0.02,14.9,7.45,14.7,20.39,92,4,1.85,1010.96,14.5,432.6,1,-,-,370.98,877,0,44,0.63,38.43,32.55,860.5,20.39,0.01,1.73,28.87,45.1,-7.03,3.12,3.12,-,0.01,8,37.7,303.67,-5.82,-35.22,16,0.32,0.85,29,2.89,12.65,7.9,4.74,8.15,35.75,0.83,0.46,0,0,100,0,3.92,142,4.32,4,14.51,3.5,6.39,1.95,51.16,5.52,0,154.01,9.79,6.07,3.72,-9.85,14.28,14.6,33
Mon Oct 10 06:37:51 GMT-03:00 2022,10-Oct-2022 06:37:55.215,-35.22078877410164,-5.820090050538431,0.6185315251350403,8.0,38.38531129689727,316.7185363769531,0.06,6,8.06,0.01,14.12,0.02,0.04,0.1,-0.05,14.9,7.45,14.7,20.39,92,4,1.85,1010.98,14.5,432.6,1,-,-,367.74,877,0,45,0.63,38.43,34.12,860.5,20.39,0.01,1.61,26.86,44.71,-7.03,3.12,3.12,-,0.01,8,38.39,316.72,-5.82,-35.22,19,0.32,0.85,29,2.48,12.65,7.9,4.41,7.01,35.75,0.83,0.46,0,0,100,0,3.92,143,2.23,4,14.51,3.5,6.39,2.01,49.82,5.67,0,154.01,10.82,7.1,3.72,-9.65,14.28,14.6,33
Mon Oct 10 06:37:52 GMT-03:00 2022,10-Oct-2022 06:37:56.214,-35.22078877410164,-5.820090050538431,0.0,8.0,38.18081776771335,316.7185363769531,-0.03,5.95,7.91,-0.01,13.73,0,0.03,0.09,-0.06,14.9,7.45,14.7,20.39,92,4,1.71,1010.98,14.5,438.2,1,-,-,367.72,877,0,45,-,39.22,34.51,820,20.39,0.01,1.56,26.01,44.71,-7.03,-2.34,-3.12,-,0.01,8,38.18,316.72,-5.82,-35.22,19,2.23,-,29,0,12.65,7.9,4.27,0,35.75,0.8,0.46,0,0,100,0,3.92,144,0,0,14.12,4.5,-,2,50.04,5.65,0,154.01,11.81,7.14,4.67,-9.58,14.36,14.6,33
Mon Oct 10 06:37:53 GMT-03:00 2022,10-Oct-2022 06:37:57.217,-35.22078877410164,-5.820090050538431,0.0,8.0,38.02437383390273,316.7185363769531,0.05,5.94,7.96,-0,13.73,0,0.05,0.09,-0.08,14.9,7.45,14.7,20.39,92,4,1.5,1010.96,14.5,438.2,1,-,-,367.72,877,0,45,-,39.61,34.51,779.5,20.39,0.01,1.58,26.37,44.71,-7.81,-5.47,-3.91,-,0.01,8,38.02,316.72,-5.82,-35.22,17,0,-,29,0,12.65,7.9,4.33,0,35.75,0.31,0.46,0,0,100,0,3.92,145,0,0,14.12,5,-,1.99,50.24,5.62,0,154.01,12.82,7.14,5.68,-9.23,14.34,14.6,33
Mon Oct 10 06:37:54 GMT-03:00 2022,10-Oct-2022 06:37:58.214,-35.22078877410164,-5.820090050538431,0.0,8.0,37.87388865581071,316.7185363769531,0.5,6.57,7.45,-0,13.73,0,0.08,0.15,-0.12,14.9,7.45,14.7,20.39,92,4,1.5,1010.97,14.5,438.2,1,-,-,367.72,877,0,45,-,41.57,34.51,779.5,20.39,0.01,1.58,26.37,44.71,-6.25,-0.78,-0.78,-,0.01,8,37.87,316.72,-5.82,-35.22,21,0,-,29,0,12.65,7.9,4.33,0,35.75,0.09,0.46,0,0,100,0,3.92,145,0,0,14.12,12.5,-,1.99,50.24,5.62,0,154.01,13.7,7.14,6.56,-9.23,14.36,14.6,33
Mon Oct 10 06:37:55 GMT-03:00 2022,10-Oct-2022 06:37:59.215,-35.22078877410164,-5.820090050538431,0.0,8.0,37.67953262056483,316.7185363769531,0.19,6.04,7.24,-0.05,17.25,0,0.02,0.13,-0.11,25.88,13.33,14.7,20.39,92,3.71,1.53,1010.99,14.5,438.2,1,-,-,345.14,877,0,45,-,52.55,44.71,1319,20.39,0.01,3.48,57.99,41.96,-6.25,-5.47,-0.78,-,0.01,8,37.68,316.72,-5.82,-35.22,19,2,-,29,0,12.65,7.9,9.52,0,35.75,0.09,0.46,0,0,100,0,7.45,147,0,2,18.04,18,-,1.98,50.42,5.6,0,154.01,14.79,7.44,7.35,-2.95,14.34,14.6,45
Mon Oct 10 06:37:56 GMT-03:00 2022,10-Oct-2022 06:38:00.214,-35.22078877410164,-5.820090050538431,0.0,6.0,37.618313761936605,316.7185363769531,0.48,6.48,7.93,0.03,17.65,0.04,0.02,0.16,-0.07,30.2,15.29,14.7,20.39,92,3.88,1.72,1010.94,14.5,447.7,1,-,-,345.14,877,0,45,1.55,59.22,50.98,1468.5,20.39,0.01,4.58,76.26,41.96,-5.47,2.34,-2.34,-,0.01,6,37.62,316.72,-5.82,-35.22,23,5,2.07,29,0.44,12.65,7.9,12.52,1.23,35.74,0.09,0.46,0,0,100,1048.46,7.84,148,0,5,20,18.5,10.05,1.87,53.39,5.29,0.01,154.01,15.81,8.46,7.35,-5.52,14.4,14.6,49
Mon Oct 10 06:37:57 GMT-03:00 2022,10-Oct-2022 06:38:01.213,-35.220800570118406,-5.820074833417587,1.5537526607513428,6.0,38.17145427005588,356.099609375,2.14,6.36,9.28,0.15,20.78,-0.09,0.08,0.15,-0.26,32.16,16.47,14.7,20.39,92,4.33,2.05,1010.94,14.5,447.7,1,-,-,345.12,877,0,45,1.55,60.39,54.12,1772.5,20.39,0.02,5.52,92.04,41.96,-4.69,3.12,1.56,-,0.01,6,38.17,356.1,-5.82,-35.22,22,2.41,2.07,29,0.91,12.65,7.9,15.11,2.56,35.74,0.79,0.46,1.99,0,98.01,2024.05,10.98,149,5.59,8,21.18,20,10.05,1.81,55.3,5.11,0.01,154.01,16.79,9.44,7.35,-4.77,14.34,14.5,53
