GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Air Fuel Ratio(Commanded)(:1),Alcohol Fuel Percentage(%),Android device Battery Level(%),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel trim Bank 1 Sensor 2(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Positive Kinetic Energy (PKE)(km/hr²),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Tue Oct 11 06:39:24 GMT-03:00 2022,11-Oct-2022 06:39:26.480,-35.22072073374026,-5.820167922133422,0.0,12.0,38.99365102036838,251.26492309570312,-0.42,5.22,8.39,0,13.33,0.01,0.01,0.1,-0.04,14.9,7.45,14.7,24.31,98,3.2,1.14,1011.85,14.65,484.7,1,-,-,533.96,927,0,45,-,32.94,29.02,785.5,24.31,0.01,1.29,21.44,65.1,-8.59,-2.34,-3.91,-,0.01,12,38.99,251.26,-5.82,-35.22,18,0,-,28,0,12.62,7.92,3.52,0,35.65,0.81,0.71,14.93,0,85.07,1515.92,3.53,146,0,0,13.73,9,-,2.74,36.46,7.75,0.01,166.88,19.57,8.68,10.89,-10.42,14.44,14.5,29
Tue Oct 11 06:39:25 GMT-03:00 2022,11-Oct-2022 06:39:27.478,-35.22072073374026,-5.820167922133422,0.0,12.0,37.66861460549021,251.26492309570312,-0.55,5.19,8.32,-0,13.33,0,0,0.09,-0.05,14.9,7.45,14.7,24.31,98,3.2,1.14,1011.85,14.65,486.5,1,-,-,533.96,927,0,45,-,32.94,28.63,785.5,24.31,0.01,1.29,21.44,65.1,-8.59,-2.34,-1.56,-,0.01,12,37.67,251.26,-5.82,-35.22,13,0,-,29,0,12.62,7.92,3.52,0,35.65,0.09,0.82,14.22,0,85.78,1515.92,3.53,146,0,0,13.73,4.5,-,2.74,36.46,7.75,0.01,166.88,20.55,8.68,11.86,-10.42,14.36,14.5,29
Tue Oct 11 06:39:26 GMT-03:00 2022,11-Oct-2022 06:39:28.479,-35.22072073374026,-5.820167922133422,0.0,12.0,36.90945949478863,251.26492309570312,-0.51,5.57,8.16,0,13.33,0,0,0.14,-0.07,14.9,7.45,14.7,24.31,98,3.2,1.07,1011.86,14.65,487.3,1,-,-,533.95,927,0,45,-,32.16,27.84,809,24.31,0.01,1.34,22.29,65.1,-8.59,0.78,0.78,-,0.01,12,36.91,251.26,-5.82,-35.22,10,0,-,29,0,12.62,7.92,3.66,0,35.65,0.8,0.86,13.57,0,86.43,1515.92,3.14,148,0,0,13.73,4.5,-,2.73,36.61,7.72,0.01,166.88,21.54,8.68,12.85,-10.24,14.38,14.6,29
Tue Oct 11 06:39:27 GMT-03:00 2022,11-Oct-2022 06:39:29.478,-35.22072073374026,-5.820167922133422,0.0,12.0,36.55373070211983,251.26492309570312,-0.68,5.55,8.07,-0,13.33,0,0,0.14,-0.09,14.9,7.45,14.7,24.31,98,3.2,1,1011.82,14.65,487.3,1,-,-,533.95,927,0,45,-,32.16,28.24,790.5,24.31,0.01,1.29,21.44,65.1,-8.59,-2.34,-3.12,-,0.01,12,36.55,251.26,-5.82,-35.22,11,0,-,29,0,12.62,7.92,3.52,0,35.65,0.81,0.87,12.96,0,87.04,1515.92,3.53,149,0,0,13.73,4.5,-,2.72,36.74,7.69,0.01,166.88,22.55,8.68,13.87,-10.53,14.4,14.6,29
Tue Oct 11 06:39:28 GMT-03:00 2022,11-Oct-2022 06:39:30.479,-35.22073596756225,-5.820162752277328,1.2179073095321655,12.0,36.298200047634246,281.8304748535156,-0.29,4.83,7.84,-0.07,13.73,-0.01,0.07,0.06,-0.05,14.9,7.45,14.7,24.31,98,3.17,1.12,1011.84,14.65,488.5,1,-,-,530.73,927,0,45,0.47,32.94,28.24,783.5,24.31,0.01,1.28,21.26,64.71,-8.59,-5.47,-5.47,-,0.01,12,36.3,281.83,-5.82,-35.22,14,3,0.63,29,0,12.62,7.92,3.49,0,35.65,0.72,0.88,12.41,0,87.59,1515.92,3.53,150,4.38,3,13.73,1.5,5.69,2.71,36.87,7.66,0.01,166.88,23.55,9.35,14.2,-10.47,14.3,14.5,29
Tue Oct 11 06:39:29 GMT-03:00 2022,11-Oct-2022 06:39:31.480,-35.220756160984386,-5.820160544062008,1.17340087890625,8.0,36.069244631735245,277.22802734375,0.1,5.09,8.48,0,13.73,0,0.06,0.08,-0.04,14.9,7.45,14.7,24.31,98,3.17,1.12,1011.85,14.65,488.5,1,-,-,524.3,927,0,45,0.47,32.94,32.94,783.5,24.31,0.01,1.85,30.76,63.92,-8.59,-5.47,-5.47,-,0.01,8,36.07,277.23,-5.82,-35.22,15,3,0.63,29,1.63,12.62,7.93,5.05,4.59,35.64,0.72,0.88,11.9,0,88.1,1515.92,3.53,151,4.22,3,13.73,1.5,5.69,2.64,37.88,7.46,0.01,166.88,24.55,10.35,14.2,-8.55,14.3,14.5,32
Tue Oct 11 06:39:30 GMT-03:00 2022,11-Oct-2022 06:39:32.481,-35.220772328156,-5.82015734520984,1.0545234680175781,8.0,35.67766100352617,282.72216796875,0.15,5.37,8.12,-0.01,14.51,0,0.05,0.14,-0.08,14.9,7.45,14.7,24.31,98,3.29,1.28,1011.8,14.65,490,1,-,-,524.3,927,0,45,0.24,40,34.9,918.5,24.31,0.01,1.85,30.76,63.92,-7.03,0,0,-,0.01,8,35.68,282.72,-5.82,-35.22,14,0.22,0.32,29,1.63,12.62,7.93,5.05,4.59,35.64,0.19,0.9,11.43,0,88.57,1680.06,4.31,153,3.8,4,14.9,2,2.52,2.64,37.88,7.46,0.01,166.88,25.57,11.38,14.2,-8.55,14.3,14.5,32
Tue Oct 11 06:39:31 GMT-03:00 2022,11-Oct-2022 06:39:33.480,-35.22078606373253,-5.820144127053535,1.138465166091919,8.0,36.018068616399475,312.1466979980469,-0.37,5.29,7.94,-0.03,14.51,-0.01,0.02,0.13,-0.1,14.9,7.45,14.7,24.31,98,3.38,1.42,1011.88,14.65,490,1,-,-,524.27,927,0,45,0.24,40.39,34.9,883.5,24.31,0.01,1.83,30.58,63.92,-7.03,-3.91,-2.34,-,0.01,8,36.02,312.15,-5.82,-35.22,15,0.2,0.32,29,2.18,12.62,7.93,5.02,6.16,35.64,0.33,0.89,11.01,0,88.99,1410.86,4.31,153,4.1,4,14.51,3,2.52,2.61,38.3,7.38,0.01,166.88,26.55,12.35,14.2,-9.48,14.34,14.6,33
Tue Oct 11 06:39:32 GMT-03:00 2022,11-Oct-2022 06:39:34.481,-35.220795752033276,-5.82013547798068,0.9037213921546936,8.0,36.100576061313305,304.8712158203125,-0.39,5.66,8.23,0.01,14.12,0,0.04,0.14,-0.09,14.9,7.45,14.7,24.31,98,3.22,1.45,1011.84,14.65,491.4,1,-,-,521.03,927,0,45,0.24,40,36.08,839.5,24.31,0.01,1.67,27.9,63.53,-7.81,0,0,-,0.01,8,36.1,304.87,-5.82,-35.22,14,2.1,0.32,29,2.39,12.62,7.93,4.58,6.75,35.64,0.8,0.88,10.61,0,89.39,1290.45,4.31,154,3.25,2,14.51,3.5,2.52,2.6,38.49,7.34,0.01,166.88,27.54,13.35,14.2,-9.74,14.3,14.5,33
Tue Oct 11 06:39:33 GMT-03:00 2022,11-Oct-2022 06:39:35.481,-35.22079390502103,-5.820131485276011,0.46393564343452454,8.0,36.0686917505358,299.4185791015625,-0.34,5.07,8.42,-0,13.73,0.02,0.02,0.09,-0.02,14.9,7.45,14.7,24.31,98,3.22,1.38,1011.81,14.65,491.4,1,-,-,521.01,927,0,45,-,39.61,34.51,832.5,24.31,0.01,1.66,27.71,63.53,-7.81,-3.91,-4.69,-,0.01,8,36.07,299.42,-5.82,-35.22,15,3.25,-,28,1.2,12.62,7.93,4.55,3.4,35.64,0.73,0.88,10.23,0,89.77,1290.45,3.92,155,1.67,0,14.51,4.5,-,2.52,39.67,7.12,0.01,166.88,28.56,14.05,14.51,-9.52,14.3,14.5,33
