GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Air Fuel Ratio(Commanded)(:1),Alcohol Fuel Percentage(%),Android device Battery Level(%),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel trim Bank 1 Sensor 2(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Positive Kinetic Energy (PKE)(km/hr²),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Fri Oct 14 06:42:14 GMT-03:00 2022,14-Oct-2022 06:42:14.506,-35.22091523859906,-5.820012655634883,0.0,64.0,64.97704185233168,0.0,-0.35,5.2,8.24,-0.01,13.73,0,0,-0.02,0,16.86,8.63,14.7,23.14,92,5.33,3.2,1012.05,14.65,433,1,-,-,157.36,1068,0,44,1.49,32.55,29.02,962,23.14,0.01,1.59,26.56,19.22,-7.03,-3.12,-3.12,-,0.01,64,64.98,0,-5.82,-35.22,5,7,2,29,4.39,12.6,7.94,4.36,12.41,35.59,0.09,0.46,26.02,0,73.98,2126.77,3.92,132,0,7,14.12,3.5,12.69,2.68,37.32,7.57,0.01,192.77,5.21,5.21,0,-10.98,14.3,14.6,34
Fri Oct 14 06:42:15 GMT-03:00 2022,14-Oct-2022 06:42:15.506,-35.220870741011005,-5.820021153691336,0.0,64.0,52.63423904247355,0.0,-0.14,5.04,8.52,0.01,13.73,0,0.03,-0.01,0,14.9,7.45,14.7,23.14,92,5.43,3.45,1012.1,14.65,433,1,-,-,160.57,1068,0,45,1.49,34.12,28.24,959.5,23.14,0.01,1.59,26.56,19.61,-7.03,-3.12,-3.91,-,0.01,64,52.63,0,-5.82,-35.22,6,6,2,29,4.39,12.6,7.94,4.36,12.41,35.59,0.79,0.46,37.52,0,62.48,1610.41,3.92,132,0,6,14.12,5,12.69,2.97,33.72,8.38,0.01,192.77,6.17,6.17,0,-10.36,14.26,14.6,33
Fri Oct 14 06:42:16 GMT-03:00 2022,14-Oct-2022 06:42:16.508,-35.22088240014354,-5.82002708255404,0.0,128.0,52.56205542361733,0.0,-0.16,4.64,8.76,0.01,14.12,0,0.01,-0.07,0.04,14.9,7.45,14.7,23.14,92,5.25,3.5,1012.08,14.65,439,1,-,-,160.56,1068,0,45,1.49,37.65,30.59,885,23.14,0.01,1.82,30.39,19.61,-7.03,-6.25,-4.69,-,0.01,128,52.56,0,-5.82,-35.22,7,4,2,29,3.29,12.6,7.94,4.99,9.29,35.59,0.34,0.46,40.4,0,59.6,1352.3,4.31,134,0,4,14.9,13.5,12.69,3.01,33.2,8.51,0.01,192.77,7.21,7.21,0,-9.73,14.26,14.5,33
Fri Oct 14 06:42:17 GMT-03:00 2022,14-Oct-2022 06:42:17.508,-35.22087966610078,-5.8200225621940245,0.0,96.0,53.14181306047469,0.0,-0.5,5.54,8.21,0.01,14.12,0.01,0,0.01,0,14.9,7.45,14.7,23.14,92,5.25,3.23,1012.07,14.65,439,1,-,-,160.56,1068,0,45,-,41.57,36.47,867.5,23.14,0.01,1.82,30.27,19.61,-7.03,-3.12,-3.12,-,0.01,96,53.14,0,-5.82,-35.22,7,0,-,29,2.2,12.6,7.94,4.97,6.22,35.58,0.8,0.46,35.57,0,64.43,1352.3,4.31,134,0,0,14.51,2,-,2.91,34.36,8.22,0.01,192.77,8.19,7.67,0.52,-9.33,14.16,14.5,34
Fri Oct 14 06:42:18 GMT-03:00 2022,14-Oct-2022 06:42:18.509,-35.22082279917899,-5.82002726123461,0.0,48.0,55.43319088498581,0.0,-0.12,5.28,8.44,0.01,14.12,0.03,0,-0.09,0.09,14.9,7.45,14.7,23.14,92,5.25,3,1012.12,14.65,444.2,1,-,-,170.19,1068,0,45,-,34.51,34.9,762,23.14,0.01,1.22,20.28,20.78,-7.81,-6.25,-7.03,-,0.01,48,55.43,0,-5.82,-35.22,9,0,-,29,0,12.6,7.94,3.33,0,35.58,0.78,0.45,31.66,0,68.34,1352.3,4.31,135,0,0,13.33,1.5,-,2.9,34.54,8.18,0.01,192.77,9.2,7.67,1.53,-11.02,14.24,14.5,31
Fri Oct 14 06:42:19 GMT-03:00 2022,14-Oct-2022 06:42:19.506,-35.22078330882888,-5.820058938543175,0.0,48.0,59.571828064453356,0.0,-0.27,5.26,8.33,0,13.33,0,0,0,0,14.9,7.45,14.7,23.14,92,5.25,2.8,1012.04,14.65,444.2,1,-,-,170.19,1068,0,45,-,32.55,28.63,760,23.14,0.01,1.26,20.95,20.78,-7.81,-4.69,-4.69,-,0.01,48,59.57,0,-5.82,-35.22,8,0,-,29,0,12.6,7.94,3.44,0,35.58,0.07,0.46,28.54,0,71.46,1352.3,3.14,137,0,0,13.73,3,-,2.88,34.71,8.14,0.01,192.77,10.21,7.67,2.53,-10.38,14.3,14.4,31
Fri Oct 14 06:42:20 GMT-03:00 2022,14-Oct-2022 06:42:20.508,-35.22077863767974,-5.820049233339532,0.0,48.0,58.40542041583057,0.0,-0.33,5.28,8.36,0.01,13.33,0.01,0.01,0,0.01,14.9,7.45,14.7,23.14,92,5.25,2.62,1012.11,14.65,444.2,1,-,-,170.18,1068,0,45,-,32.16,27.84,776,23.14,0.01,1.27,21.14,20.78,-7.81,-2.34,-2.34,-,0.01,48,58.41,0,-5.82,-35.22,9,0,-,29,0,12.6,7.94,3.47,0,35.58,0.09,0.46,26.04,0,73.96,1352.3,3.53,137,0,0,13.73,4.5,-,2.87,34.86,8.1,0.01,192.77,11.19,7.67,3.51,-10.33,14.28,14.5,30
Fri Oct 14 06:42:20 GMT-03:00 2022,14-Oct-2022 06:42:21.508,-35.22076469615051,-5.820047839557768,0.0,48.0,48.25854660404277,0.0,-0.36,5.34,8.32,0.01,13.33,0,0,-0.01,0,14.9,7.45,14.7,23.14,92,5.25,2.47,1012.13,14.65,447.7,1,-,-,176.61,1068,0,45,-,32.16,27.84,799,23.14,0.01,1.34,22.29,21.57,-7.81,0,0.78,-,0.01,48,48.26,0,-5.82,-35.22,9,0,-,30,0,12.6,7.94,3.66,0,35.58,0.25,0.46,23.86,0,76.14,1352.3,3.53,138,0,0,13.73,3.5,-,2.86,35,8.07,0.01,192.77,12.21,7.67,4.54,-10.19,14.36,14.5,30
Fri Oct 14 06:42:21 GMT-03:00 2022,14-Oct-2022 06:42:22.508,-35.22076614805229,-5.8200504878722406,0.0,32.0,44.06727944277632,0.0,-0.3,5.31,8.38,0.01,13.33,0,0,-0.01,0,14.9,7.45,14.7,23.14,92,5.25,2.33,1012.13,14.65,447.7,1,-,-,176.61,1068,0,45,-,33.73,27.84,814,23.14,0.01,1.44,24,21.57,-7.03,0.78,-0.78,-,0.01,32,44.07,0,-5.82,-35.22,9,0,-,30,0,12.6,7.94,3.94,0,35.58,0.82,0.46,22.1,0,77.9,1352.3,3.53,140,0,0,14.12,0.5,-,2.85,35.13,8.04,0.01,192.77,13.18,7.67,5.51,-9.97,14.34,14.5,31
Fri Oct 14 06:42:22 GMT-03:00 2022,14-Oct-2022 06:42:23.506,-35.220773169977406,-5.820056570697618,0.0,32.0,41.78401885046465,0.0,-0.24,5.34,8.31,0.01,14.12,0,0.01,0,0,14.9,7.45,14.7,23.14,92,5.25,2.21,1012.14,14.65,447.7,1,-,-,176.61,1068,0,45,-,38.04,30.2,801.5,23.14,0.01,1.68,28.08,21.57,-7.03,-3.12,-3.91,-,0.01,32,41.78,0,-5.82,-35.22,10,0,-,30,0,12.6,7.94,4.61,0,35.58,0.8,0.46,20.53,0,79.47,1352.3,4.31,140,0,0,14.51,11,-,2.84,35.24,8.01,0.01,192.77,14.19,7.67,6.52,-9.27,13.36,13.6,32
Fri Oct 14 06:42:23 GMT-03:00 2022,14-Oct-2022 06:42:24.508,-35.22077393045741,-5.820059027362787,0.0,24.0,38.86047732089256,0.0,-0.33,5.37,8.3,0.01,14.12,0.01,0,0,0.01,14.9,7.45,14.7,23.14,92,5.25,2.1,1012.16,14.65,451.8,1,-,-,173.39,1068,0,45,-,40,34.9,818,23.14,0.01,1.67,27.9,21.18,-7.03,-3.91,-3.12,-,0.01,24,38.86,0,-5.82,-35.22,10,0,-,30,0,12.6,7.94,4.58,0,35.58,0.09,0.46,19.18,0,80.82,1352.3,4.31,141,0,0,14.51,5,-,2.83,35.36,7.99,0.01,192.77,15.19,7.67,7.51,-9.22,14.2,14.5,33
Fri Oct 14 06:42:24 GMT-03:00 2022,14-Oct-2022 06:42:25.508,-35.220776476817605,-5.8200784563988455,0.0,24.0,31.69494215216373,0.0,-0.3,5.37,8.35,0.01,14.12,0,0,0,0,14.9,7.45,14.7,23.14,92,5.25,2,1012.11,14.65,451.8,1,-,-,173.39,1068,0,45,-,40,35.29,840.5,23.14,0.01,1.68,28.08,21.18,-7.03,0,0,-,0.01,24,31.69,0,-5.82,-35.22,12,0,-,30,0,12.6,7.94,4.61,0,35.58,0.51,0.46,17.97,0,82.03,1352.3,3.92,142,0,0,14.51,3.5,-,2.82,35.46,7.97,0.01,192.77,16.21,7.67,8.53,-9.3,14.28,14.5,34
Fri Oct 14 06:42:25 GMT-03:00 2022,14-Oct-2022 06:42:26.508,-35.22077929308557,-5.820084610301761,0.0,16.0,30.053176218998086,0.0,-0.31,5.8,7.96,0,14.12,0,0,0.03,-0.02,14.9,7.45,14.7,23.14,92,5.25,1.91,1012.09,14.65,451.8,1,-,-,173.39,1068,0,45,-,40,34.9,824.5,23.14,0.02,1.67,27.9,21.18,-7.03,0,-2.34,-,0.01,16,30.05,0,-5.82,-35.22,12,0,-,30,0,12.6,7.94,4.58,0,35.58,0.81,0.46,16.94,0,83.06,1352.3,3.92,143,0,0,14.51,4.5,-,2.81,35.56,7.94,0.01,192.77,17.19,7.67,9.52,-9.48,14.28,14.5,34
Fri Oct 14 06:42:26 GMT-03:00 2022,14-Oct-2022 06:42:27.508,-35.220772506968764,-5.820096305640997,0.0,16.0,31.10066897952805,0.0,-0.28,5.72,8.01,0,14.12,0,0,0.02,-0.03,14.9,7.45,14.7,23.14,92,5.25,1.83,1012.12,14.65,456.3,1,-,-,170.18,1068,0,46,-,40.39,35.29,815.5,23.14,0.02,1.67,27.9,20.78,-7.03,-4.69,-5.47,-,0.01,16,31.1,0,-5.82,-35.22,12,0,-,30,0,12.6,7.94,4.58,0,35.58,0.54,0.46,16,0,84,1352.3,3.92,144,0,0,14.51,3.5,-,2.8,35.66,7.92,0.01,192.77,18.2,7.67,10.53,-9.37,14.26,14.5,34
Fri Oct 14 06:42:27 GMT-03:00 2022,14-Oct-2022 06:42:28.507,-35.22076874802477,-5.820100805891766,0.0,16.0,31.060180988893144,0.0,-0.76,4.94,8.24,-0.01,14.12,-0.02,0,-0.01,-0.02,14.9,7.45,14.7,23.14,92,5,1.88,1012.14,14.65,456.3,1,-,-,170.18,1068,0,46,0.92,38.43,34.9,827.5,23.14,0.02,1.56,26.01,20.78,-7.03,-0.78,-0.78,-,0.01,16,31.06,0,-5.82,-35.22,13,3,1.23,30,0,12.6,7.94,4.27,0,35.58,0.58,0.46,15.17,0,84.83,1352.3,4.31,145,0,3,14.12,6,10.6,2.8,35.75,7.9,0.01,192.77,19.2,8.2,11,-9.68,14.22,14.5,34
Fri Oct 14 06:42:28 GMT-03:00 2022,14-Oct-2022 06:42:29.506,-35.22076874802477,-5.820100805891766,0.0,16.0,32.47290595373201,0.0,0.48,4.93,8.69,0.02,14.12,0.01,0.09,-0.04,0.04,14.9,7.45,14.7,23.14,92,5,2,1012.13,14.65,456.3,1,-,-,170.18,1068,0,46,0.92,38.04,33.73,894,23.14,0.02,1.71,28.57,20.78,-7.03,-3.12,-3.91,-,0.01,16,32.47,0,-5.82,-35.22,13,5,1.23,30,1.75,12.6,7.94,4.69,4.94,35.58,0.71,0.46,14.43,0,85.57,1714.6,4.31,146,0,5,14.51,4.5,10.6,2.75,36.43,7.75,0.01,192.78,20.18,9.18,11,-9.27,14.24,14.5,35
Fri Oct 14 06:42:29 GMT-03:00 2022,14-Oct-2022 06:42:30.508,-35.22076874802477,-5.820100805891766,0.0,16.0,33.555385912187454,0.0,-0.08,4.65,8.81,0.01,14.12,0.01,0.02,-0.09,0.07,14.9,7.45,14.7,23.14,92,5,2.12,1012.16,14.65,460.7,1,-,-,170.17,1068,0,46,0.56,36.47,32.55,872,23.14,0.02,1.74,29.05,20.78,-7.81,-0.78,0,-,0.01,16,33.56,0,-5.82,-35.22,15,5,0.75,30,2.87,12.6,7.94,4.77,8.1,35.58,0.1,0.46,13.74,0,86.26,1502.63,4.31,147,0,5,13.73,-2.5,6.09,2.75,36.35,7.77,0.01,192.78,21.2,10.2,11,-9.58,14.14,14.3,35
Fri Oct 14 06:42:30 GMT-03:00 2022,14-Oct-2022 06:42:31.508,-35.22076874802477,-5.820100805891766,0.0,16.0,33.00064993360322,0.0,-0.02,5.55,8.07,-0,13.73,0.02,0.03,0.02,0.01,14.9,7.45,14.7,23.14,92,4.75,2.11,1012.1,14.65,460.7,1,-,-,170.17,1068,0,46,0.56,31.76,27.84,826.5,23.14,0.02,1.34,22.29,20.78,-7.81,2.34,2.34,-,0.01,16,33,0,-5.82,-35.22,22,2,0.75,30,3.74,12.6,7.94,3.66,10.56,35.58,0.12,0.46,13.13,0,86.87,1377.18,3.14,148,0,2,13.33,4.5,6.09,2.8,35.77,7.9,0.01,192.78,22.18,11.18,11,-10.66,14.26,14.5,33
Fri Oct 14 06:42:31 GMT-03:00 2022,14-Oct-2022 06:42:32.508,-35.22076874802477,-5.820100805891766,0.0,12.0,32.56229316719075,0.0,-0.16,5.61,8.1,0,13.33,0,0.03,0.02,-0.02,14.9,7.45,14.7,23.14,92,4.75,2.04,1012.12,14.65,460.7,1,-,-,170.16,1068,0,46,0.56,30.98,27.06,789,23.14,0.02,1.24,20.59,20.78,-7.81,3.12,3.12,-,0.01,12,32.56,0,-5.82,-35.22,20,0,0.75,30,1.62,12.59,7.94,3.38,4.57,35.58,0.82,0.46,12.61,0,87.39,1377.18,3.14,149,0,0,13.33,4.5,6.09,2.74,36.43,7.75,0.01,192.78,23.09,11.62,11.47,-10.77,14.3,14.5,31
