GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Air Fuel Ratio(Commanded)(:1),Alcohol Fuel Percentage(%),Android device Battery Level(%),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel trim Bank 1 Sensor 2(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Positive Kinetic Energy (PKE)(km/hr²),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Wed Oct 19 06:35:21 GMT-03:00 2022,19-Oct-2022 06:35:23.101,-35.220700865701815,-5.820087900322033,0.0,16.0,34.17283820639822,0.0,-0.4,5.34,8.3,0.02,14.12,0,-0.03,0.09,-0.03,14.9,7.45,14.7,23.92,67,4.71,2.36,1012.61,14.65,406.7,1,-,-,188.01,1318,0,42,-,39.61,34.9,825,23.92,0.01,1.67,27.9,23.14,-11.72,-0.78,0,-,0.01,16,34.17,0,-5.82,-35.22,14,0,-,30,0,12.5,8,4.58,0,35.31,0.48,0.45,25.25,0,74.75,720.79,3.92,122,0,0,14.51,3.5,-,3.47,28.83,9.8,0.01,231.56,15.49,9.24,6.25,-9.32,14.28,14.6,34
Wed Oct 19 06:35:22 GMT-03:00 2022,19-Oct-2022 06:35:24.102,-35.22070559874546,-5.820091311389458,0.0,16.0,35.455511218812724,0.0,-0.4,5.42,8.31,0.03,14.12,0,-0.04,0.09,-0.03,14.9,7.45,14.7,23.92,67,4.71,2.2,1012.66,14.65,412.4,1,-,-,188.01,1318,0,42,-,39.61,34.9,820,23.92,0.01,1.66,27.71,23.14,-11.72,0,-2.34,-,0.01,16,35.46,0,-5.82,-35.22,14,0,-,30,0,12.5,8,4.55,0,35.31,0.82,0.46,23.68,0,76.32,720.79,3.92,123,0,0,14.51,3.5,-,3.45,28.95,9.76,0.01,231.56,16.51,9.24,7.28,-9.41,14.4,14.6,34
Wed Oct 19 06:35:23 GMT-03:00 2022,19-Oct-2022 06:35:25.102,-35.22071175707235,-5.820093096483713,0.0,12.0,34.0754735182536,0.0,-0.49,6.12,7.55,0.01,13.73,0,-0.04,0.17,-0.1,14.9,7.45,14.7,23.92,67,4.71,2.06,1012.64,14.65,412.4,1,-,-,188.01,1318,0,42,-,39.22,34.51,795,23.92,0.01,1.6,26.68,23.14,-11.72,-4.69,-5.47,-,0.01,12,34.08,0,-5.82,-35.22,14,0,-,30,0,12.5,8,4.38,0,35.31,0.77,0.46,22.34,0,77.66,720.79,3.92,124,0,0,14.12,6,-,3.44,29.07,9.72,0.01,231.56,17.51,9.24,8.27,-9.58,14.38,14.6,34
Wed Oct 19 06:35:24 GMT-03:00 2022,19-Oct-2022 06:35:26.105,-35.22071924403665,-5.820091045277919,0.0,12.0,34.53826420035736,0.0,-0.45,5.75,8.02,0.02,13.73,0.01,-0.01,0.13,-0.05,14.9,7.45,14.7,23.92,67,4.38,2.06,1012.65,14.65,417.7,1,-,-,184.82,1318,0,43,-,39.61,34.12,777.5,23.92,0.01,1.62,27.04,22.75,-12.5,-3.91,-3.91,-,0.01,12,34.54,0,-5.82,-35.22,15,2,-,30,0,12.5,8,4.44,0,35.31,0.08,0.46,21.15,0,78.85,720.79,3.92,125,0,2,13.73,-3,-,3.43,29.18,9.68,0.01,231.56,18.5,9.77,8.73,-9.35,14.38,14.5,35
Wed Oct 19 06:35:25 GMT-03:00 2022,19-Oct-2022 06:35:27.104,-35.22072415336806,-5.820091053298903,0.8821983337402344,12.0,34.58892665400542,269.2916564941406,0.26,5.16,8.73,0.05,12.94,0.03,0.02,0.07,0.01,14.9,7.45,14.7,23.92,67,4.33,2.17,1012.68,14.65,417.7,1,-,-,184.82,1318,0,43,0.84,30.2,27.45,757,23.92,0.01,1.23,20.47,22.75,-13.28,-1.56,-0.78,-,0.01,12,34.59,269.29,-5.82,-35.22,14,4,1.13,30,1.63,12.5,8,3.36,4.6,35.31,0.13,0.46,20.05,0,79.95,1037.18,3.14,126,3.18,4,13.73,5,10.63,3.3,30.31,9.32,0.01,231.56,19.5,10.78,8.73,-10.55,14.34,14.5,33
Wed Oct 19 06:35:26 GMT-03:00 2022,19-Oct-2022 06:35:28.105,-35.22073504130458,-5.8200948420430505,1.3438730239868164,12.0,34.99180994075447,284.1388244628906,0.16,5.04,8.62,0.03,13.33,0.04,0.03,0.1,0.01,14.9,7.45,14.7,23.92,67,4.4,2.32,1012.69,14.65,417.7,1,-,-,184.81,1318,0,43,0.84,29.8,25.88,906.5,23.92,0.01,1.38,22.96,22.75,-12.5,0.78,1.56,-,0.01,12,34.99,284.14,-5.82,-35.22,15,1.82,1.13,30,2.9,12.5,8,3.77,8.2,35.31,0.09,0.46,19.07,0,80.93,1358.59,3.53,127,4.84,5,13.73,3.5,10.63,3.27,30.56,9.24,0.01,231.56,20.5,11.78,8.73,-9.92,14.36,14.6,33
Wed Oct 19 06:35:27 GMT-03:00 2022,19-Oct-2022 06:35:29.104,-35.22075901666255,-5.820095066602474,1.6129053831100464,8.0,35.199139809305066,295.3876647949219,0.18,5.09,8.25,0,13.33,-0.01,0.02,0.07,-0.03,14.9,7.45,14.7,23.92,67,4.55,2.5,1012.69,14.65,422.1,1,-,-,181.62,1318,0,43,0.66,27.06,25.49,954.5,23.92,0.01,1.29,21.44,22.35,-12.5,0.78,0,-,0.01,8,35.2,295.39,-5.82,-35.22,20,1.16,0.89,30,3.89,12.5,8,3.52,10.98,35.31,0.82,0.46,20.61,0,79.39,1649.19,3.53,128,5.81,6,13.73,9.5,6.62,3.31,30.2,9.35,0.01,231.57,21.52,12.8,8.73,-10.96,14.4,14.6,31
Wed Oct 19 06:35:28 GMT-03:00 2022,19-Oct-2022 06:35:30.106,-35.22078040809263,-5.820088280870032,1.4267877340316772,8.0,35.82377566542191,302.59295654296875,-0.13,4.79,8.74,0.03,13.33,0.02,0,0.04,0.02,14.9,7.45,14.7,23.92,67,4.5,2.57,1012.69,14.65,422.1,1,-,-,181.62,1318,0,43,0.66,32.16,26.27,857.5,23.92,0.01,1.46,24.3,22.35,-12.5,-2.34,-2.34,-,0.01,8,35.82,302.59,-5.82,-35.22,24,1.81,0.89,30,4.11,12.5,8,3.99,11.62,35.31,0.79,0.46,22.11,0,77.89,1484.44,3.53,129,5.14,4,13.73,4.5,6.62,3.36,29.78,9.49,0.02,231.57,22.51,13.78,8.73,-10.68,14.34,14.6,30
Wed Oct 19 06:35:29 GMT-03:00 2022,19-Oct-2022 06:35:31.103,-35.22079625976082,-5.820079800166242,0.7376620173454285,8.0,36.39261329661106,301.218505859375,0.08,5.9,8.19,0.05,13.33,0,0.01,0.13,-0.05,14.9,7.45,14.7,23.92,67,4.5,2.45,1012.65,14.65,422.1,1,-,-,181.61,1318,0,43,0.66,32.55,28.24,794.5,23.92,0.01,1.33,22.11,22.35,-12.5,-4.69,-4.69,-,0.01,8,36.39,301.22,-5.82,-35.22,27,5.14,0.89,30,3.02,12.5,8,3.63,8.52,35.31,0.75,0.46,21.18,0,78.82,1484.44,3.14,130,2.66,0,13.73,5,6.62,3.34,29.95,9.43,0.02,231.57,23.49,14.25,9.24,-10.63,14.36,14.5,29
Wed Oct 19 06:35:30 GMT-03:00 2022,19-Oct-2022 06:35:32.104,-35.22080265469087,-5.820079528776527,0.3246539831161499,8.0,37.135001336282386,300.599609375,0.12,5.82,7.87,0.01,13.33,0,0.01,0.14,-0.06,14.9,7.45,14.7,23.92,67,4.5,2.45,1012.68,14.65,422.1,1,-,-,181.61,1318,0,44,0.66,32.55,28.24,794.5,23.92,0.01,1.44,24,22.35,-12.5,-4.69,-4.69,-,0.01,8,37.14,300.6,-5.82,-35.22,26,5.14,0.89,30,0,12.5,8,3.94,0,35.31,0.75,0.46,20.35,0,79.65,1484.44,3.14,131,1.17,0,13.73,5,6.62,3.33,30.02,9.41,0.02,231.57,24.44,14.25,10.19,-9.94,14.36,14.5,30
