GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Air Fuel Ratio(Commanded)(:1),Alcohol Fuel Percentage(%),Android device Battery Level(%),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel Level (From Engine ECU)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel trim Bank 1 Sensor 2(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Mon Sep 26 06:36:24 GMT-03:00 2022,26-Sep-2022 06:36:24.424,-35.2207336610153,-5.820106445028792,0.0,8.0,42.55596177627559,282.4593811035156,-0.3,5.32,8.19,-0.01,13.33,0,0,0,0,14.9,7.45,14.7,19.61,95,5.15,1011.72,14.65,492,1,157.92,220,0,46,-,32.16,27.84,780.5,19.61,0.91,1.28,50.59,-6.25,-5.47,-5.47,-,0.02,8,42.56,282.46,-5.82,-35.22,16,0,-,28,0,4.87,20.55,3.49,0,13.74,0.7,0.85,3.14,162,0,0,13.73,5,-,4.87,20.55,13.74,0.04,30.29,19.78,10.51,-10.44,14.34,14.6,31
Mon Sep 26 06:36:25 GMT-03:00 2022,26-Sep-2022 06:36:25.416,-35.2207336610153,-5.820106445028792,0.0,8.0,42.71808871283459,282.4593811035156,-0.28,5.71,7.94,-0.01,13.33,0,0,0.05,-0.03,14.9,7.45,14.7,19.61,95,4.9,1011.71,14.65,492,1,158.75,220,0,46,-,33.73,28.63,793.5,19.61,0.94,1.3,50.98,-6.25,-2.34,-5.47,-,0.02,8,42.72,282.46,-5.82,-35.22,15,0,-,28,0,4.85,20.6,3.55,0,13.71,0.7,0.85,3.53,163,0,0,13.73,2,-,4.85,20.6,13.71,0.04,31.43,19.78,11.65,-10.36,14.34,14.6,30
Mon Sep 26 06:36:26 GMT-03:00 2022,26-Sep-2022 06:36:26.418,-35.2207336610153,-5.820106445028792,0.0,8.0,42.58963472423519,282.4593811035156,-0.36,6.1,7.73,0,16.47,0,0,0.06,-0.06,23.14,11.76,14.7,19.61,95,4.9,1011.69,14.65,494,1,158.37,220,0,46,-,33.73,41.18,1179.5,19.61,0.98,2.23,50.98,-5.47,-2.34,-1.56,-,0.02,8,42.59,282.46,-5.82,-35.22,16,0,-,28,0,4.84,20.65,6.11,0,13.68,0.08,0.83,6.27,164,0,0,13.73,2,-,4.84,20.65,13.68,0.04,32.41,19.78,12.63,-7.39,14.32,14.5,35
Mon Sep 26 06:36:27 GMT-03:00 2022,26-Sep-2022 06:36:27.418,-35.220765124353,-5.820121776189714,1.0980850458145142,8.0,42.5233393431907,276.5332336425781,0.5,5.17,8.23,-0.01,14.12,0.04,0.11,0,0.03,14.9,7.45,14.7,19.61,95,4.86,1011.72,14.65,494,1,154.36,220,0,46,1.38,38.04,28.63,1179.5,19.61,1,1.29,49.8,-4.69,-4.69,-2.34,-,0.02,8,42.52,276.53,-5.82,-35.22,18,4,1.86,28,3.11,4.76,20.99,3.52,8.78,13.46,0.09,0.83,4.31,165,3.95,4,14.9,2,11.21,4.76,20.99,13.46,0.04,33.4,20.77,12.63,-11.83,14.34,14.6,31
Mon Sep 26 06:36:28 GMT-03:00 2022,26-Sep-2022 06:36:28.419,-35.220776646101896,-5.8201235488671745,1.2814767360687256,8.0,42.84733745094491,276.2139892578125,0.33,4.62,8.96,0.03,12.94,0.12,0.08,-0.11,0.19,14.9,7.45,14.7,19.61,95,4.91,1011.71,14.65,496.5,1,154.36,220,0,46,1.25,29.8,28.63,941.5,19.61,1,1.29,49.8,-5.47,-3.12,-3.91,-,0.02,8,42.85,276.21,-5.82,-35.22,20,2.05,1.67,28,3.11,4.76,20.99,3.52,8.78,13.46,0.83,0.82,3.14,165,4.61,6,13.33,0.5,12.63,4.76,20.99,13.46,0.04,34.39,21.76,12.63,-11.83,14.28,14.5,31
Mon Sep 26 06:36:29 GMT-03:00 2022,26-Sep-2022 06:36:29.420,-35.22078932127712,-5.82012310992987,0.7276434898376465,8.0,43.018705672416466,276.92083740234375,-0.4,5.59,8.35,0.02,12.94,0.02,0.02,0.04,0,14.9,7.45,14.7,19.61,95,4.88,1011.74,14.65,497.6,1,150.66,220,0,46,1.25,34.9,23.92,882.5,19.61,1.04,1.74,49.41,-5.47,-3.91,-3.12,-,0.02,8,43.02,276.92,-5.82,-35.22,22,1.38,1.67,28,3.44,4.71,21.25,4.77,9.72,13.3,0.08,0.81,3.14,166,2.62,4,14.12,2,12.63,4.71,21.25,13.3,0.04,35.42,22.79,12.63,-9.87,14.48,14.6,31
Mon Sep 26 06:36:30 GMT-03:00 2022,26-Sep-2022 06:36:30.420,-35.220799069935595,-5.82011954100437,0.3714548647403717,8.0,42.757796422715636,280.03521728515625,-0.22,4.56,8.65,-0,13.73,0.01,0.02,-0.06,0.04,14.9,7.45,14.7,19.61,95,4.76,1011.73,14.65,497.6,1,148.84,220,0,46,1.25,37.25,31.37,837,19.61,1.07,1.55,49.41,-5.47,0,-3.12,-,0.02,8,42.76,280.04,-5.82,-35.22,23,0.66,1.67,28,2.58,4.62,21.65,4.24,7.29,13.05,0.08,0.81,3.92,168,1.34,2,14.51,8,12.63,4.62,21.65,13.05,0.04,36.39,23.77,12.63,-10.12,13.76,14.6,31
Mon Sep 26 06:36:31 GMT-03:00 2022,26-Sep-2022 06:36:31.418,-35.220799069935595,-5.82011954100437,0.0,8.0,42.31814686334697,280.03521728515625,0.07,6.01,7.83,0,14.12,0,0.03,0.06,-0.04,14.9,7.45,14.7,19.61,95,4.58,1011.74,14.65,498.7,1,143.72,220,0,47,-,39.61,35.69,838.5,19.61,1.11,1.67,48.63,-5.47,-0.78,0.78,-,0.02,8,42.32,280.04,-5.82,-35.22,21,0,-,28,1.19,4.48,22.32,4.58,3.38,12.66,0.17,0.81,4.31,169,0,0,14.51,8,-,4.48,22.32,12.66,0.04,37.39,24.64,12.75,-9.49,13.76,14.2,32
Mon Sep 26 06:36:32 GMT-03:00 2022,26-Sep-2022 06:36:32.417,-35.220799069935595,-5.82011954100437,0.0,8.0,42.255832429769974,280.03521728515625,0.33,6.54,7.59,0.02,14.12,0,0.05,0.09,-0.07,20,10.2,14.7,19.61,95,4.41,1011.73,14.65,498.7,1,139.46,220,0,47,-,39.61,33.73,838.5,19.61,1.16,3.1,48.63,-5.47,-0.78,-1.56,-,0.02,8,42.26,280.04,-5.82,-35.22,21,0,-,28,0,4.47,22.36,8.49,0,12.64,0.79,0.81,3.53,170,0,0,14.51,3.5,-,4.47,22.36,12.64,0.04,38.39,24.64,13.76,-5.1,14.36,14.5,40
Mon Sep 26 06:36:33 GMT-03:00 2022,26-Sep-2022 06:36:33.420,-35.220799069935595,-5.82011954100437,0.0,8.0,42.240497219488724,280.03521728515625,0.52,6.23,7.14,-0.04,16.47,0,0.06,0.11,-0.08,17.25,9.02,14.7,19.61,95,4.41,1011.7,14.65,501.6,1,139.46,220,0,47,-,53.33,41.18,838.5,19.61,1.16,3.1,45.88,-3.91,-2.34,-3.12,-,0.02,8,42.24,280.04,-5.82,-35.22,23,0,-,28,0,4.47,22.36,8.49,0,12.64,0.73,0.8,6.67,171,0,0,17.25,17,-,4.47,22.36,12.64,0.04,39.42,24.64,14.78,-5.1,14.28,14.6,40
