GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Air Fuel Ratio(Commanded)(:1),Alcohol Fuel Percentage(%),Android device Battery Level(%),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel Level (From Engine ECU)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel trim Bank 1 Sensor 2(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Tue Sep 27 06:41:05 GMT-03:00 2022,27-Sep-2022 06:41:06.319,-35.22084083867821,-5.820107536532623,1.569746971130371,8.0,44.85742268601161,337.6282043457031,1.87,6.32,7.93,0.04,16.86,0.1,0.22,0.12,0,24.71,12.55,14.7,25.88,90,2.71,1012.07,14.65,407.9,1,79.16,273,0,42,0.63,53.73,49.8,1435.5,25.88,0.46,3.69,56.86,-3.12,-0.78,-1.56,-,0.01,8,44.86,337.63,-5.82,-35.22,18,0.38,0.84,28,1.62,2.13,46.97,10.11,4.59,6.01,0.82,0.46,7.06,124,5.65,6,18.04,18.5,6.18,2.13,46.97,6.01,0.01,19.07,12.88,6.2,-4.79,14.34,14.6,41
Tue Sep 27 06:41:06 GMT-03:00 2022,27-Sep-2022 06:41:07.320,-35.220839908886994,-5.820089960765976,1.7800571918487549,8.0,44.782354815393504,356.21142578125,-0.58,7.25,7.46,0.05,17.25,0.09,-0.04,0.14,-0.01,27.06,13.73,14.7,25.88,90,3,1012.1,14.65,407.9,1,75.88,273,0,42,0.37,47.84,40.78,1487,25.88,0.53,3.66,55.69,-3.12,-3.12,-1.56,-,0.01,8,44.78,356.21,-5.82,-35.22,19,1.35,0.5,27,1.64,2.09,47.81,10.02,4.63,5.91,0.82,0.46,7.45,125,6.41,7,18.04,21,2.41,2.09,47.81,5.91,0.01,20.07,13.87,6.2,-8.07,14.42,14.6,42
Tue Sep 27 06:41:07 GMT-03:00 2022,27-Sep-2022 06:41:08.321,-35.22084063646461,-5.820074339943424,2.519749402999878,8.0,44.719685860089974,0.7360124588012695,0.18,5.87,7.04,-0.07,19.22,0,0.06,0.1,-0.11,30.59,15.69,14.7,25.88,90,3.44,1012.03,14.65,407.9,1,74.54,273,0,42,0.37,54.9,47.45,1785,25.88,0.6,5.07,55.69,-3.12,2.34,0.78,-,0.01,8,44.72,0.74,-5.82,-35.22,19,3.59,0.5,27,1.38,2.04,49,13.86,3.9,5.76,0.64,0.46,9.41,126,9.07,10,20.78,21,2.41,2.04,49,5.76,0.02,21.07,14.88,6.2,-5.89,14.38,14.6,46
Tue Sep 27 06:41:08 GMT-03:00 2022,27-Sep-2022 06:41:09.315,-35.22083370676657,-5.820048255556676,3.0318522453308105,8.0,44.72662148399815,15.65812873840332,0.41,7.18,7.68,0.06,21.18,0.02,0.12,0.04,-0.02,29.41,14.9,14.7,25.88,90,4,1012,14.65,426.7,1,70.68,273,0,42,3.92,56.47,51.76,2021,25.88,0.72,6.01,54.12,-2.34,-3.12,0.78,-,0.01,8,44.73,15.66,-5.82,-35.22,18,3.93,5.26,27,1.66,2.02,49.61,16.44,4.7,5.69,0.64,0.46,10.98,127,10.91,13,20.78,21.5,18.54,2.02,49.61,5.69,0.02,22.06,15.86,6.2,-5.99,14.38,14.6,49
Tue Sep 27 06:41:09 GMT-03:00 2022,27-Sep-2022 06:41:10.315,-35.22081922842009,-5.820016418742105,3.8889596462249756,8.0,43.442788718698125,29.321104049682617,0.12,4.39,9.57,0.06,21.18,0.09,-0.03,0.04,0.07,28.63,14.9,14.7,25.88,90,4.67,1012.01,14.65,426.7,1,69.81,273,0,42,3.92,58.43,52.16,2032.5,25.88,0.81,6.21,54.12,-2.34,-3.91,-1.56,-,0.01,8,43.44,29.32,-5.82,-35.22,15,5.09,5.26,27,2.09,2.02,49.49,16.99,5.91,5.71,0.1,0.46,10.98,128,14,16,21.18,21.5,18.54,2.02,49.49,5.71,0.02,23.08,16.88,6.2,-6.75,14.4,14.6,50
Tue Sep 27 06:41:10 GMT-03:00 2022,27-Sep-2022 06:41:11.317,-35.22079849084509,-5.819977936920081,4.47669792175293,8.0,42.86926737676097,24.741424560546875,-2.57,6.94,6.4,-0.01,20.39,0.04,-0.12,-0.1,0.09,23.14,12.16,14.7,25.88,90,5.42,1012.02,14.65,426.7,1,68.97,273,0,43,5.97,45.49,48.63,1788.5,25.88,0.88,3.8,53.33,-2.34,-3.12,-5.47,-,0.02,8,42.87,24.74,-5.82,-35.22,16,5,8,27,4.21,2.15,46.53,10.41,11.88,6.07,0.75,0.46,10.59,129,16.12,19,21.57,21.5,31.86,2.15,46.53,6.07,0.03,24.07,17.88,6.2,-9.83,14.34,14.6,46
Tue Sep 27 06:41:11 GMT-03:00 2022,27-Sep-2022 06:41:12.315,-35.22077325647843,-5.8199322436888,4.673202037811279,8.0,41.78676017356091,23.839136123657227,-2.29,6.74,8.97,0.16,14.51,-0.08,0.05,-0.06,-0.07,14.9,7.45,14.7,25.88,90,5.42,1011.96,14.65,456,1,68.97,273,0,43,5.97,45.49,26.67,1788.5,25.88,0.88,3.8,53.33,-3.91,-3.12,-4.69,-,0.02,8,41.79,23.84,-5.82,-35.22,15,5,8,27,4.21,2.15,46.53,10.41,11.88,6.07,0.74,0.46,4.71,130,16.82,19,16.47,-1,31.86,2.15,46.53,6.07,0.03,25.08,18.88,6.2,-9.83,14.4,14.6,46
Tue Sep 27 06:41:12 GMT-03:00 2022,27-Sep-2022 06:41:13.316,-35.22075035727056,-5.819884645430137,4.22059965133667,8.0,40.683620191755395,21.182947158813477,0.37,4.19,9.28,0.03,12.55,0.08,-0.06,-0.16,0.12,14.9,7.45,14.7,25.88,90,6,1011.95,14.65,456,1,99.43,273,0,43,5.97,22.35,18.04,907.5,25.88,0.92,1,53.33,-7.03,-8.59,-8.59,-,0.02,8,40.68,21.18,-5.82,-35.22,17,0.18,8,27,16.98,3.65,27.37,2.74,47.96,10.32,0.85,0.46,2.35,131,15.19,17,12.94,3.5,31.86,3.65,27.37,10.32,0.04,26.07,19.87,6.2,-12.36,14.36,14.6,32
Tue Sep 27 06:41:12 GMT-03:00 2022,27-Sep-2022 06:41:14.315,-35.22075035727056,-5.819884645430137,4.22059965133667,8.0,40.683620191755395,21.182947158813477,0.33,4.98,8.48,-0.01,13.33,0.03,0,-0.04,0.06,14.9,7.45,14.7,25.88,90,6.38,1011.9,14.65,456,1,99.43,273,0,43,5.97,22.35,22.35,907.5,25.88,0.92,1,53.33,-7.03,-10.16,-10.94,-,0.02,8,40.68,21.18,-5.82,-35.22,17,1.19,8,27,16.98,3.65,27.37,2.74,47.96,10.32,0.88,0.46,3.14,132,15.19,14,13.33,1.5,31.86,3.65,27.37,10.32,0.04,27.07,20.87,6.2,-12.36,14.4,14.6,32
Tue Sep 27 06:41:13 GMT-03:00 2022,27-Sep-2022 06:41:15.315,-35.22073325908108,-5.819840966408413,3.4380440711975098,8.0,40.921735460641564,19.589876174926758,0.59,5.56,9.17,0.09,13.73,0,0.04,-0.04,0.02,14.9,7.84,14.7,25.88,90,6.64,1011.91,14.65,461.9,1,124.69,273,0,43,-,31.37,29.8,868,25.88,0.94,1.27,53.33,-4.69,-13.28,-11.72,-,0.02,8,40.92,19.59,-5.82,-35.22,17,0.38,-,27,11.04,4.02,24.86,3.47,31.18,11.36,0.31,0.45,3.92,132,12.38,12,14.51,0.5,-,4.02,24.86,11.36,0.04,28.08,21.88,6.2,-11.05,13.7,14.1,30
Tue Sep 27 06:41:15 GMT-03:00 2022,27-Sep-2022 06:41:16.318,-35.2207105899444,-5.819782777843376,2.0145387649536133,8.0,42.09587669911287,31.405881881713867,0.48,5.61,7.89,-0.02,13.73,0.11,0.07,0.07,0.07,14.9,7.84,14.7,25.88,90,6.74,1011.89,14.65,461.9,1,137.3,273,0,43,-,32.55,29.8,996.5,25.88,0.97,1.61,53.33,-4.69,-9.38,-7.03,-,0.02,8,42.1,31.41,-5.82,-35.22,17,0.82,-,27,7.45,4.19,23.89,4.41,21.03,11.82,0.06,0.45,3.92,133,7.25,9,15.29,19.5,-,4.19,23.89,11.82,0.04,29.07,22.87,6.2,-9.87,14.36,14.1,30
Tue Sep 27 06:41:15 GMT-03:00 2022,27-Sep-2022 06:41:17.318,-35.2207105899444,-5.819782777843376,2.0145387649536133,8.0,42.09587669911287,31.405881881713867,-0.29,4.93,8.77,0.02,16.08,0.02,0,-0.08,0.07,21.57,10.98,14.7,25.88,90,6.79,1011.91,14.65,465.2,1,143.91,273,0,44,-,44.31,35.29,1381,25.88,1.04,3.07,53.73,-3.12,-3.12,-2.34,-,0.02,8,42.1,31.41,-5.82,-35.22,17,0.75,-,27,2.93,4.13,24.22,8.41,8.27,11.66,0.1,0.46,6.27,135,7.25,8,17.25,21,-,4.13,24.22,11.66,0.05,30.05,23.85,6.2,-6.72,14.4,14.6,36
