GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Air Fuel Ratio(Commanded)(:1),Alcohol Fuel Percentage(%),Android device Battery Level(%),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel Level (From Engine ECU)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel trim Bank 1 Sensor 2(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Wed Sep 28 06:39:42 GMT-03:00 2022,28-Sep-2022 06:39:46.367,-35.22079092812792,-5.820118626165996,0.7704839706420898,6.0,44.844425442591465,273.0102844238281,0.4,4.97,8.46,-0.02,13.33,0,0.01,-0.11,0.04,14.9,7.45,14.7,23.53,98,2.16,1011.47,14.65,440.9,1,55.17,322,0,42,0.43,29.02,28.63,881.5,23.53,0.59,1.27,41.18,-6.25,-3.12,-3.12,-,0.01,6,44.84,273.01,-5.82,-35.22,19,2.44,0.58,27,3.15,2.15,46.46,3.47,8.91,6.08,0.69,0.46,3.53,136,2.77,5,13.73,4.5,4.69,2.15,46.46,6.08,0.01,22.14,13.65,8.49,-10.61,14.36,14.7,32
Wed Sep 28 06:39:43 GMT-03:00 2022,28-Sep-2022 06:39:47.364,-35.22079863908129,-5.820119313425471,0.584222674369812,6.0,44.917975768994346,272.6225891113281,0.38,5.42,8.86,0.03,13.33,0.03,0.01,-0.08,0.06,14.9,7.45,14.7,23.53,98,2.2,1011.49,14.65,440.9,1,56.72,322,0,42,0.43,30.98,26.27,864,23.53,0.61,1.38,41.18,-6.25,0,0,-,0.01,6,44.92,272.62,-5.82,-35.22,19,0.23,0.58,27,3.63,2.23,44.84,3.77,10.25,6.3,0.32,0.46,3.14,137,2.1,3,13.73,6,4.69,2.23,44.84,6.3,0.01,23.09,14.61,8.49,-10.63,14.42,14.6,31
Wed Sep 28 06:39:44 GMT-03:00 2022,28-Sep-2022 06:39:48.365,-35.220807960705415,-5.8201130937630525,0.7787737250328064,6.0,45.03082799150614,277.1105041503906,-0.13,5.75,8.02,-0.02,13.33,0,-0.04,-0.03,0,14.9,7.45,14.7,23.53,98,2.19,1011.5,14.65,444.2,1,59.89,322,0,42,0.43,31.37,27.84,780,23.53,0.63,1.3,41.96,-7.03,0,0,-,0.01,6,45.03,277.11,-5.82,-35.22,22,0.1,0.58,27,2.31,2.23,44.76,3.55,6.53,6.31,0.85,0.46,3.14,138,2.8,2,13.33,4.5,4.69,2.23,44.76,6.31,0.01,24.13,15.64,8.49,-10.79,14.36,14.6,30
Wed Sep 28 06:39:45 GMT-03:00 2022,28-Sep-2022 06:39:49.368,-35.22081464192456,-5.82011128156965,0.665406346321106,6.0,45.1273201725477,289.5653381347656,0.05,5.85,7.88,-0.03,13.33,0,-0.02,-0.02,-0.01,14.9,7.45,14.7,23.53,98,2.18,1011.54,14.65,444.2,1,60,322,0,42,-,30.98,27.45,773.5,23.53,0.65,1.24,41.96,-7.03,-3.12,-3.12,-,0.01,6,45.13,289.57,-5.82,-35.22,23,0.8,-,27,1.62,2.2,45.35,3.38,4.57,6.23,0.82,0.46,3.14,139,2.4,2,13.33,6.5,-,2.2,45.35,6.23,0.02,25.13,16.64,8.49,-10.58,14.34,14.6,29
Wed Sep 28 06:39:46 GMT-03:00 2022,28-Sep-2022 06:39:50.365,-35.22081967899454,-5.82010949821862,0.6850914359092712,6.0,45.15224369010744,292.66558837890625,0.12,5,8.66,-0.01,13.33,0.01,-0.02,-0.11,0.05,14.9,7.45,14.7,23.53,98,2.09,1011.54,14.65,444.2,1,59.21,322,0,42,-,30.59,27.84,789,23.53,0.67,1.26,41.96,-6.25,-5.47,-3.91,-,0.01,6,45.15,292.67,-5.82,-35.22,22,2.4,-,27,1.59,2.18,45.93,3.44,4.49,6.15,0.38,0.45,3.14,140,2.47,0,13.73,5,-,2.18,45.93,6.15,0.02,26.13,17,9.13,-10.47,14.42,14.6,29
Wed Sep 28 06:39:47 GMT-03:00 2022,28-Sep-2022 06:39:51.366,-35.22081967899454,-5.82010949821862,0.0,6.0,45.07884489159535,292.66558837890625,0.03,5.87,7.95,-0.02,13.33,0,-0.02,-0.01,0,14.9,7.45,14.7,23.53,98,2,1011.52,14.65,444.2,1,56.28,322,0,43,-,32.16,27.84,808,23.53,0.69,1.34,40.39,-6.25,-1.56,-0.78,-,0.01,6,45.08,292.67,-5.82,-35.22,23,2.47,-,27,0,2.17,46.03,3.66,0,6.14,0.08,0.45,3.14,141,0,0,13.73,3,-,2.17,46.03,6.14,0.02,27.08,17,10.08,-10.29,14.4,14.6,29
Wed Sep 28 06:39:48 GMT-03:00 2022,28-Sep-2022 06:39:52.365,-35.22081967899454,-5.82010949821862,0.0,6.0,44.28258347160428,292.66558837890625,0.09,5.88,7.89,-0.02,13.73,0,-0.01,0,-0.02,14.9,7.45,14.7,23.53,98,1.92,1011.48,14.65,447,1,56.16,322,0,43,-,33.73,29.41,843.5,23.53,0.72,1.46,40.39,-6.25,1.56,2.34,-,0.01,6,44.28,292.67,-5.82,-35.22,23,0,-,27,0,2.17,46.12,3.99,0,6.12,0.16,0.45,3.53,142,0,0,13.73,-1.5,-,2.17,46.12,6.12,0.02,28,17,11.01,-10.01,14.36,14.6,29
Wed Sep 28 06:39:49 GMT-03:00 2022,28-Sep-2022 06:39:53.365,-35.22081967899454,-5.82010949821862,0.0,6.0,43.60148533339226,292.66558837890625,0.17,6.04,7.67,-0.03,14.12,0,-0.01,0,-0.03,14.9,7.45,14.7,23.53,98,1.85,1011.5,14.65,447,1,54.96,322,0,43,-,38.04,34.51,840.5,23.53,0.75,1.64,39.61,-5.47,2.34,2.34,-,0.01,6,43.6,292.67,-5.82,-35.22,23,0,-,27,0,2.16,46.21,4.49,0,6.11,0.16,0.46,4.31,143,0,0,14.12,6,-,2.16,46.21,6.11,0.02,29.14,17,12.14,-9.65,13.64,14.5,30
Wed Sep 28 06:39:50 GMT-03:00 2022,28-Sep-2022 06:39:54.366,-35.22081967899454,-5.82010949821862,0.0,6.0,43.42309296346429,292.66558837890625,0.43,5.97,7.86,-0.02,14.12,0,0,0,-0.02,14.9,7.45,14.7,23.53,98,1.78,1011.49,14.65,449.5,1,54.86,322,0,43,-,39.22,34.51,809.5,23.53,0.78,1.64,39.61,-5.47,2.34,2.34,-,0.01,6,43.42,292.67,-5.82,-35.22,24,0,-,27,0,2.16,46.29,4.49,0,6.1,0.85,0.46,3.92,145,0,0,14.12,6,-,2.16,46.29,6.1,0.02,30.14,17,13.15,-9.63,13.64,13.9,31
Wed Sep 28 06:39:51 GMT-03:00 2022,28-Sep-2022 06:39:55.368,-35.22081967899454,-5.82010949821862,0.0,6.0,43.348587132010536,292.66558837890625,0.17,5.96,7.79,-0.03,13.73,0,-0.01,0,-0.02,14.9,7.45,14.7,23.53,98,1.71,1011.48,14.65,449.5,1,52.59,322,0,43,-,39.22,33.73,816,23.53,0.81,1.58,38.04,-5.47,-2.34,-2.34,-,0.01,6,43.35,292.67,-5.82,-35.22,25,0,-,27,0,2.16,46.38,4.33,0,6.09,0.8,0.46,3.92,146,0,0,14.12,3.5,-,2.16,46.38,6.09,0.02,31.13,17,14.13,-9.62,14.26,14.5,32
