GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Air Fuel Ratio(Commanded)(:1),Alcohol Fuel Percentage(%),Android device Battery Level(%),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel Level (From Engine ECU)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel trim Bank 1 Sensor 2(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Thu Sep 29 06:40:06 GMT-03:00 2022,29-Sep-2022 06:40:08.672,-35.22085340114035,-5.820067649588309,0.0,12.0,36.25480017451215,0.0,0.35,7.41,6.82,0.04,12.94,0.02,0.01,0.17,-0.11,14.9,7.45,14.7,19.61,100,0.43,1011.15,14.5,544.1,1,15.01,370,0,59,-,68.24,25.1,949,19.61,0.27,4.88,24.71,-8.59,1.56,0,-,0,12,36.25,0,-5.82,-35.22,15,0,-,32,0,0.94,106.03,13.36,0,2.66,0.77,0.88,3.14,347,0,0,25.1,7.5,-,0.94,106.03,2.66,-,10.56,2.81,7.75,1.92,14.14,14.5,49
Thu Sep 29 06:40:07 GMT-03:00 2022,29-Sep-2022 06:40:09.671,-35.22085348295405,-5.820064653683573,0.0,12.0,35.31044657246625,0.0,1.38,5.46,8.58,0.05,20,0.08,0.11,0.01,0.08,14.9,7.45,14.7,19.61,100,1,1011.15,14.5,545.2,1,14.91,370,0,59,2.55,51.37,54.51,1095.5,19.61,0.32,2.75,24.71,-4.69,2.34,0,-,0.01,12,35.31,0,-5.82,-35.22,16,5,3.41,32,0,0.94,106.67,7.52,0,2.65,0.77,0.88,9.8,348,0,5,25.1,-4.5,22.19,0.94,106.67,2.65,-,11.32,2.93,8.39,-6.93,14.14,14.6,49
Thu Sep 29 06:40:08 GMT-03:00 2022,29-Sep-2022 06:40:10.671,-35.220860517041224,-5.820052808474645,1.4244633913040161,12.0,34.89497578083391,301.5895690917969,1.18,5.61,7.98,0.01,20,0.03,0.05,-0.04,0.08,14.9,7.45,14.7,19.61,100,1,1011.14,14.5,548.8,1,14.91,370,0,59,2.55,51.37,54.51,1095.5,19.61,0.32,2.75,24.71,-5.47,2.34,-0.78,-,0.01,12,34.89,301.59,-5.82,-35.22,19,5,3.41,32,0,0.94,106.67,7.52,0,2.65,0.85,0.83,9.8,348,5.13,5,14.51,-4.5,22.19,0.94,106.67,2.65,-,12.55,4.16,8.39,-6.93,14.26,14.4,49
Thu Sep 29 06:40:09 GMT-03:00 2022,29-Sep-2022 06:40:11.670,-35.22086673481946,-5.820042196826326,1.6402809619903564,12.0,34.811124785958135,334.1692199707031,1.23,6.23,8.15,0.06,17.65,0.01,0,0.08,-0.04,25.49,12.94,14.7,19.61,100,1.67,1011.15,14.5,548.8,1,14.12,370,0,59,0.76,51.76,43.53,1427.5,19.61,0.43,3.58,23.53,-5.47,3.91,2.34,-,0.01,12,34.81,334.17,-5.82,-35.22,22,1.09,1.03,32,1.4,0.99,101.17,9.8,3.94,2.79,0.81,0.82,7.45,350,5.91,7,18.04,19.5,5.11,0.99,101.17,2.79,0,13.56,5.17,8.39,-5.95,14.2,14.4,51
Thu Sep 29 06:40:10 GMT-03:00 2022,29-Sep-2022 06:40:12.670,-35.22086530914853,-5.82002772885219,1.6977046728134155,12.0,35.46425192988387,355.4743957519531,-0.57,5.66,9.73,0.16,18.43,-0.05,0.08,0.02,-0.08,27.84,14.12,14.7,19.61,100,1.67,1011.11,14.5,552.6,1,14.39,370,0,59,0.76,51.76,47.84,1427.5,19.61,0.52,3.83,22.75,-5.47,3.91,2.34,-,0.01,12,35.46,355.47,-5.82,-35.22,22,1.09,1.03,32,1.83,1.07,93.27,10.49,5.16,3.03,0.81,0.82,8.24,351,6.11,7,18.04,19.5,5.11,1.07,93.27,3.03,0,14.54,6.14,8.39,-7.48,14.2,14.5,50
Thu Sep 29 06:40:11 GMT-03:00 2022,29-Sep-2022 06:40:13.670,-35.22085083543887,-5.820014983699706,2.25657320022583,8.0,36.22436520486887,23.224428176879883,-0.95,8.1,7.26,0.12,18.82,0.03,0.23,-0.11,0.08,26.27,13.33,14.7,19.61,100,2.4,1011.09,14.5,556.5,1,14.39,370,0,59,1.39,58.82,49.8,1316.5,19.61,0.52,3.83,22.75,-5.47,0,-1.56,-,0.01,8,36.22,23.22,-5.82,-35.22,24,2.89,1.87,32,1.83,1.07,93.27,10.49,5.16,3.03,0.82,0.8,9.02,351,8.12,9,18.43,17,10.09,1.07,93.27,3.03,0.01,15.56,7.16,8.39,-7.48,14.26,14.5,50
Thu Sep 29 06:40:12 GMT-03:00 2022,29-Sep-2022 06:40:14.669,-35.220833831090424,-5.819997451210216,3.4354372024536133,8.0,36.43690422734188,19.697956085205078,-2.53,8.43,7.3,0.17,18.04,-0.1,0.02,0.08,-0.19,20.39,13.33,14.7,19.61,100,3.36,1011.16,14.65,556.5,1,15.34,370,0,59,4.23,59.22,49.8,1462.5,19.61,0.62,4.5,22.35,-4.69,0,-1.56,-,0.01,8,36.44,19.7,-5.82,-35.22,22,4.88,5.68,32,2,1.16,86.45,12.3,5.66,3.27,0.77,0.83,8.24,352,12.37,13,19.22,18,27.64,1.16,86.45,3.27,0.01,16.56,8.16,8.39,-5.57,14.3,14.5,53
Thu Sep 29 06:40:13 GMT-03:00 2022,29-Sep-2022 06:40:15.669,-35.22081745472477,-5.819971186068299,4.030818462371826,8.0,36.883681725041484,21.483295440673828,-0.79,5.33,7.07,-0.09,18.04,0.08,-0.19,-0.07,0.14,20.39,10.59,14.7,19.61,100,4.33,1011.1,14.65,562.4,1,16.55,370,0,59,2.95,40,45.49,1364,19.61,0.66,2.85,22.35,-6.25,-3.91,-5.47,-,0.01,8,36.88,21.48,-5.82,-35.22,22,2.63,3.96,32,4.56,1.44,69.43,7.8,12.88,4.07,0.52,0.81,2.75,353,14.51,15,15.29,-1,20.68,1.44,69.43,4.07,0.01,17.56,9.17,8.39,-9.55,14.28,14.4,48
Thu Sep 29 06:40:14 GMT-03:00 2022,29-Sep-2022 06:40:16.670,-35.2207992601935,-5.819940554235855,4.032192230224609,8.0,37.093789318441814,21.188758850097656,1.03,5.5,7.77,-0.01,12.55,0.03,-0.03,0,0.05,19.61,10.2,14.7,19.61,100,5.08,1011.1,14.65,562.4,1,20.61,370,0,59,2.95,22.75,21.96,1286,19.61,0.69,1.43,22.35,-7.81,-8.59,-8.59,-,0.01,8,37.09,21.19,-5.82,-35.22,18,0.51,3.96,32,10.5,2.14,46.79,3.91,29.65,6.04,0.07,0.81,2.75,355,14.52,14,13.73,27.5,20.68,2.14,46.79,6.04,0.02,18.5,10.11,8.39,-11.91,14.26,14.4,41
Thu Sep 29 06:40:15 GMT-03:00 2022,29-Sep-2022 06:40:17.670,-35.220784716817555,-5.819907050378373,3.842402219772339,8.0,36.79753683513869,20.270559310913086,-0.04,5.83,8.3,0.04,13.73,-0.08,-0.06,0,-0.09,23.14,12.16,14.7,19.61,100,5.57,1011.07,14.65,562.4,1,30.57,370,0,59,2.95,41.18,29.41,1526,19.61,0.75,3.1,22.35,-7.81,-1.56,-8.59,-,0.01,8,36.8,20.27,-5.82,-35.22,15,1.83,3.96,32,4.51,2.31,43.35,8.49,12.75,6.52,0.07,0.81,3.92,356,13.83,12,13.73,23,20.68,2.31,43.35,6.52,0.02,19.52,11.13,8.39,-8.34,14.26,14.4,41
Thu Sep 29 06:40:16 GMT-03:00 2022,29-Sep-2022 06:40:18.670,-35.22076963527393,-5.819874915738769,3.2730395793914795,8.0,36.93660063778412,19.18012809753418,-0.08,5.13,8.04,-0.02,14.9,0.01,-0.12,0.11,-0.07,20,10.2,14.7,19.61,100,6,1011.02,14.5,565.1,1,33,370,0,59,-,26.67,26.27,1295,19.61,0.78,1.6,22.35,-5.47,-3.91,-0.78,-,0.01,8,36.94,19.18,-5.82,-35.22,16,0.22,-,32,7.5,2.65,37.7,4.38,21.18,7.49,0.09,0.8,4.71,357,11.78,12,16.47,23,-,2.65,37.7,7.49,0.03,20.55,12.15,8.39,-11.76,14.26,14.5,35
Thu Sep 29 06:40:17 GMT-03:00 2022,29-Sep-2022 06:40:19.670,-35.220756794947036,-5.819843936160449,3.32564377784729,8.0,37.15449003533906,18.72014808654785,-0.45,6.33,6.94,-0.03,12.94,-0.04,-0.04,0.06,-0.09,19.22,9.8,14.7,19.61,100,6,1011.04,14.5,565.1,1,33,370,0,60,-,26.67,16.47,1295,19.61,0.78,1.6,22.75,-8.59,-3.91,-4.69,-,0.01,8,37.15,18.72,-5.82,-35.22,19,0.22,-,32,7.5,2.65,37.7,4.38,21.18,7.49,0.88,0.79,2.75,358,11.97,12,13.33,25.5,-,2.65,37.7,7.49,0.03,21.54,13.15,8.39,-11.76,14.22,14.5,35
Thu Sep 29 06:40:18 GMT-03:00 2022,29-Sep-2022 06:40:20.670,-35.220743121880226,-5.819814239322759,3.2052230834960938,8.0,36.657802664343244,22.51825523376465,-0.81,5.16,8.76,0.05,12.55,-0.05,0,-0.02,-0.03,14.9,7.45,14.7,19.61,100,6.25,1011,14.5,566.5,1,38.61,370,0,60,-,18.04,16.47,1103.5,19.61,0.8,0.97,22.75,-9.38,-7.81,-7.81,-,0.01,8,36.66,22.52,-5.82,-35.22,18,1.97,-,32,12.34,3.26,30.69,2.66,34.87,9.2,0.8,0.79,2.35,358,11.54,10,13.33,13.5,-,3.26,30.69,9.2,0.03,22.45,14.06,8.39,-12.54,14.24,14.5,30
Thu Sep 29 06:40:19 GMT-03:00 2022,29-Sep-2022 06:40:21.675,-35.22073024191251,-5.8197853348910265,2.472982168197632,8.0,37.428183510137366,24.460582733154297,-0.28,5.79,8.51,0.06,12.55,0.05,-0.03,0,0.06,14.9,7.45,14.7,19.61,100,6.35,1011.03,14.5,567,1,48.25,370,0,60,-,37.65,16.47,1059,19.61,0.85,2.16,23.14,-6.25,-11.72,-9.38,-,0.01,8,37.43,24.46,-5.82,-35.22,17,3.54,-,32,4.63,3.34,29.95,5.91,13.08,9.43,0.06,0.87,2.35,359,8.9,8,15.29,22.5,-,3.34,29.95,9.43,0.03,23.54,15.15,8.39,-9.39,14.26,14.5,31
Thu Sep 29 06:40:20 GMT-03:00 2022,29-Sep-2022 06:40:22.670,-35.220718613463966,-5.8197672517441275,2.1487293243408203,8.0,36.965969191354446,32.80643844604492,0.82,5.68,7.62,-0.02,14.9,-0.02,0.06,-0.02,0,19.61,10.2,14.7,19.61,100,6.44,1011.01,14.5,567,1,49.44,370,0,60,-,30.2,28.24,1290.5,19.61,0.88,1.82,23.14,-6.25,-5.47,-4.69,-,0.02,8,36.97,32.81,-5.82,-35.22,18,0.9,-,32,4.4,3.4,29.43,4.97,12.44,9.6,0.06,0.85,4.71,361,7.74,8,14.9,23,-,3.4,29.43,9.6,0.03,24.35,15.95,8.39,-10.02,14.18,14.5,31
Thu Sep 29 06:40:21 GMT-03:00 2022,29-Sep-2022 06:40:23.670,-35.2207121747648,-5.819749724817872,1.8227914571762085,8.0,36.482432796633994,25.833988189697266,-0.04,5.1,6.89,-0.12,14.9,-0.12,0,-0.06,-0.09,24.31,12.55,14.7,19.61,100,6.53,1010.95,14.5,567,1,52.03,370,0,60,-,46.67,28.63,1579,19.61,0.95,3.75,23.92,-6.25,0.78,2.34,-,0.02,8,36.48,25.83,-5.82,-35.22,19,1.44,-,32,2.13,3.33,30.02,10.27,6.02,9.41,0.07,0.85,5.1,362,6.56,8,18.04,21.5,-,3.33,30.02,9.41,0.04,25.53,17.14,8.39,-6.9,14.22,14.5,36
Thu Sep 29 06:40:22 GMT-03:00 2022,29-Sep-2022 06:40:24.670,-35.220702508748936,-5.81973691154376,1.7267159223556519,8.0,36.589849189532224,51.10533142089844,-0.66,6.52,8.1,0.07,17.25,-0.01,0.06,0.05,-0.04,25.88,13.33,14.7,19.61,100,6.7,1010.98,14.5,568.8,1,51.01,370,0,60,1.79,45.1,37.65,1739.5,19.61,1.01,3.79,23.92,-5.47,5.47,2.34,-,0.02,8,36.59,51.11,-5.82,-35.22,22,3.78,2.4,32,2.11,3.27,30.57,10.36,5.97,9.24,0.07,0.81,7.06,363,6.22,10,18.04,21.5,9.83,3.27,30.57,9.24,0.04,26.53,18.13,8.39,-8.23,14.22,14.5,37
Thu Sep 29 06:40:23 GMT-03:00 2022,29-Sep-2022 06:40:25.672,-35.2206857186164,-5.819727428731521,2.2705719470977783,6.0,36.64290138359326,91.6778564453125,0.23,7.28,7.14,0.05,19.61,0.03,0.01,0.15,-0.07,27.45,14.12,14.7,19.61,100,7,1010.96,14.5,568.8,1,48.43,370,0,60,4.13,58.04,47.84,1868,19.61,1.11,5.07,23.14,-4.69,0.78,3.91,-,0.02,6,36.64,91.68,-5.82,-35.22,23,4.83,5.53,32,1.97,3.21,31.16,13.86,5.58,9.06,0.72,0.75,9.41,364,8.17,13,19.61,21.5,21.09,3.21,31.16,9.06,0.04,27.53,19.14,8.39,-6.89,14.26,14.5,41
