GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Air Fuel Ratio(Commanded)(:1),Alcohol Fuel Percentage(%),Android device Battery Level(%),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Commanded Equivalence Ratio(lambda),CO₂ in g/km (Average)(g/km),CO₂ in g/km (Instantaneous)(g/km),Distance to empty (Estimated)(km),Distance travelled since codes cleared(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine RPM(rpm),Ethanol Fuel %(%),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel trim Bank 1 Sensor 2(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Bank 1 Sensor 1 Voltage(V),O2 Bank 1 Sensor 2 Voltage(V),Percentage of City driving(%),Percentage of Highway driving(%),Percentage of Idle driving(%),Positive Kinetic Energy (PKE)(km/hr²),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Fri Sep 30 06:41:24 GMT-03:00 2022,30-Sep-2022 06:41:29.031,-35.2208143485963,-5.8201305690592235,0.6646207571029663,6.0,43.154457814722015,305.5081481933594,0.05,6.93,7.64,0.07,17.65,-0.03,-0.01,0.05,-0.04,30.2,15.29,14.7,24.31,88,6.56,3.75,1011.21,14.5,472.8,1,-,-,375.03,416,0,45,-,50.59,46.27,1539,24.31,0.03,3.93,65.42,50.2,-6.25,-1.56,-2.34,-,0.02,6,43.15,305.51,-5.82,-35.22,19,2.61,-,28,0,11.49,8.7,10.74,0,32.47,0.77,0.47,28.74,0,71.26,1355.52,7.84,145,2.39,5,18.04,19.5,-,3.88,25.8,10.95,0.04,2.23,40.57,24.1,16.47,-6.86,14.3,14.7,44
Fri Sep 30 06:41:25 GMT-03:00 2022,30-Sep-2022 06:41:30.031,-35.22081965101324,-5.820122550090894,1.5685615539550781,6.0,43.154792419162625,343.20172119140625,0.57,6.49,6.87,-0.01,17.25,0.03,0.1,0.12,-0.01,27.45,14.51,14.7,24.31,88,6.59,3.86,1011.18,14.5,472.8,1,-,-,354.48,416,0,45,2.52,49.41,41.57,1488,24.31,0.03,3.53,58.84,47.45,-6.25,-1.56,-0.78,-,0.02,6,43.15,343.2,-5.82,-35.22,19,1.35,3.38,28,1.42,11.47,8.72,9.66,4,32.4,0.09,0.49,29.06,0,70.94,1474.5,7.45,146,5.65,7,18.43,20,16.18,3.79,26.38,10.71,0.04,2.23,41.59,25.12,16.47,-8.58,14.34,14.7,43
Fri Sep 30 06:41:26 GMT-03:00 2022,30-Sep-2022 06:41:31.029,-35.22082307054126,-5.820104655282386,2.339048385620117,6.0,43.085704159576466,1.1047453880310059,1.92,6.48,5.97,-0.06,19.22,-0.01,0.08,0.12,-0.07,30.2,15.29,14.7,24.31,88,6.78,4.07,1011.19,14.5,483.3,1,-,-,353.75,416,0,45,3.12,54.12,46.67,1849.5,24.31,0.03,4.96,82.72,47.45,-5.47,1.56,-0.78,-,0.02,6,43.09,1.1,-5.82,-35.22,20,1.58,4.18,28,1.41,11.45,8.74,13.58,3.98,32.33,0.09,0.49,30.7,0,69.3,1634.96,8.63,147,8.42,10,20.39,21.5,16.09,3.71,26.95,10.48,0.04,2.24,42.61,26.15,16.47,-5.9,14.34,14.6,47
Fri Sep 30 06:41:27 GMT-03:00 2022,30-Sep-2022 06:41:32.028,-35.22082180636297,-5.820079779666442,3.200576066970825,6.0,43.35346320793935,7.32853364944458,-0.09,5.73,7.5,-0.02,20,-0.05,0.12,0.09,-0.1,29.02,14.9,14.7,24.31,88,7.11,4.35,1011.19,14.5,483.3,1,-,-,347.18,416,0,45,3.56,54.9,48.63,1960,24.31,0.03,5.55,92.52,46.67,-5.47,0,-0.78,-,0.02,6,43.35,7.33,-5.82,-35.22,19,1.48,4.77,28,1.8,11.42,8.75,15.19,5.09,32.27,0.8,0.54,32.27,0,67.73,1791.51,10.2,148,11.52,13,20.39,21.5,17.34,3.65,27.4,10.31,0.04,2.24,43.56,27.09,16.47,-6.76,14.34,14.6,48
Fri Sep 30 06:41:28 GMT-03:00 2022,30-Sep-2022 06:41:33.028,-35.22081226362326,-5.820040234672464,3.865617275238037,6.0,42.01063017954068,15.397624969482422,0.86,4.53,6.31,-0.18,19.61,-0.12,0.05,0,-0.12,22.35,11.76,14.7,24.31,88,7.11,4.35,1011.17,14.5,497.1,1,-,-,347.18,416,0,45,3.56,54.9,44.31,1960,24.31,0.03,5.55,92.52,46.67,-5.47,0,-2.34,-,0.02,6,42.01,15.4,-5.82,-35.22,22,1.48,4.77,28,1.8,11.42,8.75,15.19,5.09,32.27,0.76,0.6,33.82,0,66.18,1791.51,9.41,150,13.92,13,20.78,21.5,17.34,3.65,27.4,10.31,0.04,2.24,44.58,28.11,16.47,-6.76,14.34,14.6,48
Fri Sep 30 06:41:29 GMT-03:00 2022,30-Sep-2022 06:41:34.029,-35.22079885023372,-5.819990963385429,4.486748695373535,6.0,41.06879879862479,20.10240364074707,-0.38,5,7.31,-0.07,16.08,-0.09,0.1,-0.01,-0.06,24.71,12.55,14.7,24.31,88,7.55,4.72,1011.14,14.5,503.4,1,-,-,346.48,416,0,45,3.9,43.14,42.35,1712,24.31,0.03,3.68,61.4,46.67,-6.25,-4.69,-5.47,-,0.02,6,41.07,20.1,-5.82,-35.22,21,2.08,5.24,28,3.53,11.4,8.77,10.08,9.97,32.21,0.75,0.68,35.28,0,64.72,1922.78,6.27,150,16.15,16,16.86,22.5,21.78,3.65,27.43,10.3,0.05,2.25,45.58,29.12,16.47,-9.65,14.3,14.5,44
Fri Sep 30 06:41:30 GMT-03:00 2022,30-Sep-2022 06:41:35.029,-35.22078672974859,-5.819944874078213,4.448461055755615,6.0,41.21474483362347,20.937318801879883,-0.72,5.47,7.73,-0.01,19.61,0.12,0.08,0.22,0.02,21.18,10.98,14.7,24.31,88,7.95,5.06,1011.1,14.5,503.4,1,695.99,695.99,345.92,416,0,45,3.9,52.16,42.35,1571.5,24.31,0.04,4.21,70.17,46.67,-5.47,-2.34,0,-,0.03,6,41.21,20.94,-5.82,-35.22,21,0.15,5.24,28,3.8,11.39,8.78,11.52,10.74,32.16,0.18,0.75,36.65,0,63.35,1752.18,9.8,151,16.01,16,20,20,21.78,3.65,27.39,10.31,0.05,2.25,46.57,30.1,16.47,-8.16,14.3,14.6,44
Fri Sep 30 06:41:31 GMT-03:00 2022,30-Sep-2022 06:41:36.029,-35.22077238385975,-5.819902779959345,4.446347236633301,6.0,40.8854857641188,20.739595413208008,-1.59,5.78,9.12,0.13,19.61,0.11,-0.01,0.06,0.11,21.18,10.98,14.7,24.31,88,8.32,5.38,1011.05,14.65,513.5,1,624.7,553.41,345.38,416,0,45,3.9,42.75,46.27,1692,24.31,0.04,3.35,55.79,46.67,-7.03,-3.91,-2.34,-,0.03,6,40.89,20.74,-5.82,-35.22,23,0.01,5.24,28,4.78,11.37,8.79,9.16,13.5,32.12,0.09,0.79,38.02,0,61.98,1154,4.31,152,16.01,16,15.69,0.5,21.78,3.68,27.15,10.41,0.08,2.28,47.6,31.14,16.47,-9.01,14.3,14.6,42
Fri Sep 30 06:41:32 GMT-03:00 2022,30-Sep-2022 06:41:37.028,-35.22075650708942,-5.819863329567331,4.07567834854126,6.0,40.60389139852548,21.05100440979004,-0.38,5.23,8.71,0.06,14.51,-0.02,0.06,0,0,14.9,7.45,14.7,24.31,88,8.57,5.63,1011.04,14.65,513.5,1,497.42,242.87,347.8,416,0,46,-,27.45,27.84,1057,24.31,0.04,1.47,24.49,47.06,-7.03,-6.25,-2.34,-,0.03,6,40.6,21.05,-5.82,-35.22,22,0.67,-,28,10.89,11.37,8.8,4.02,30.76,32.12,0.09,0.79,39.31,0,60.69,1154,4.31,153,14.67,14,13.73,7.5,-,3.89,25.71,10.99,0.08,2.28,48.61,32.14,16.47,-12.41,14.3,14.6,35
Fri Sep 30 06:41:33 GMT-03:00 2022,30-Sep-2022 06:41:38.028,-35.22074346309584,-5.819827150614188,3.652937889099121,6.0,40.5546093188836,24.181848526000977,1.18,5.17,7.96,-0,13.33,-0.02,0.26,0,0,14.9,7.45,14.7,24.31,88,8.67,5.78,1011.07,14.5,515.5,1,440.56,269.97,347.77,416,0,46,-,30.2,25.1,928.5,24.31,0.04,1.43,23.82,47.06,-8.59,-9.38,-7.03,-,0.03,6,40.55,24.18,-5.82,-35.22,22,2.15,-,28,9.8,11.37,8.8,3.91,27.68,32.11,0.79,0.83,40.43,0,59.57,1154,3.53,154,13.15,11,13.73,16.5,-,4.05,24.67,11.45,0.08,2.28,49.52,33.06,16.47,-11.01,14.28,14.3,32
